milliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,68395.1407350903,999010.1556334232,100171.1838906437,999999986.7929474
100,70848.42386678736,1000014.7389359277,154380.138250814,999999773.402304
200,70075.27993233946,1002510.3250720535,157153.93351590686,999999159.615366
300,74394.73315615888,1006432.5482077566,157303.7192379947,999998604.6819675
400,75546.76939092776,1007558.4614537342,158154.09794876177,999998220.2073176
500,76155.1319898133,1008335.6575821675,157879.50500172004,999998310.2127444
600,74950.34394215743,1011358.4544854385,158312.3126950268,999997907.1314313
700,80017.61327335672,1012673.764378541,158961.25994395366,999997055.8239169
800,83037.05999996167,1015324.4912677505,159150.51809000724,999996993.4199972
900,82193.27218941617,1018807.1559804681,159887.21386817642,999996638.2969502
1000,83636.2588852029,1021219.3086427763,160481.41248515047,999995937.4246925
1100,87618.93678469051,1021140.4805409427,160767.52840919685,999995890.5647945
1200,88512.85625943469,1023562.1582792689,160428.04948144787,999995499.802751
1300,92077.74956666895,1025875.1557991392,161418.07696432667,999994990.8141075
1400,94573.7036422085,1029472.3479806196,161166.45521195975,999994831.7675986
1500,93157.59734143385,1031619.7948316901,162184.8315058694,999994418.1343682
1600,98730.28872818513,1033674.3503372185,161861.44274747852,999994056.288301
1700,100521.65934022177,1036089.9348092964,163020.54651108425,999993477.2206508
1800,104959.94609761641,1037677.9320882189,163314.9007220675,999993224.698634
1900,106195.98778085342,1039141.1840089852,163272.11917670694,999992806.9436915
2000,106263.91651336374,1042126.3189255284,163537.82220318893,999992471.0023144
2100,111536.44421196631,1044259.7569683301,163755.2176711941,999991515.4846474
2200,115633.03274774074,1043895.984521336,164351.78685911372,999991331.0258731
2300,114080.16179296443,1047697.1164078357,164836.9496999271,999990990.7721511
2400,119822.91379332538,1050129.1745981153,165057.47117786855,999990644.0542387
2500,123111.3456668622,1051180.283292822,165377.7431872255,999990152.795847
2600,126237.5525931399,1051974.558674405,165580.21805323532,999989707.127796
2700,126303.33599873334,1054099.236279831,166495.0382820519,999989072.1612618
2800,132681.1493631217,1055551.6670820096,166447.72525318956,999988667.47116
2900,133558.37659441636,1058668.6682833228,166859.1374518812,999988338.5376018
3000,139461.28554483945,1059874.986531283,166789.91612269153,999987767.854746
3100,142302.18280706365,1062199.4250992322,167623.82079107262,999987267.0746837
3200,144257.93133211677,1064881.9167448939,167968.29988776517,999987257.3795754
3300,153088.26550724776,1066623.348721984,167659.26132945865,999986491.0460377
3400,154221.31109689773,1067763.3371158014,167795.69866926188,999986146.5303267
3500,157803.16801518982,1067355.4095954595,168194.5860222038,999985598.0864599
3600,162469.79283368544,1070574.3763898653,169019.51069947777,999984878.8136249
3700,167577.90805311906,1072390.0520480606,168840.34987491032,999984211.0423267
3800,170329.76608788408,1072854.86272039,169267.25302475478,999984010.972941
3900,178379.737152287,1074790.6422394696,169825.5854492643,999983134.192067
4000,183129.6367229079,1075158.5221423435,170244.02264360743,999982792.2493173
4100,185527.78659103398,1076664.9667001136,170555.9196267276,999982124.2666246
4200,193779.75656089993,1079160.6170257325,170816.45996230838,999981832.2692736
4300,197722.27524223938,1078739.8238653648,170182.35317564433,999980672.9797393
4400,204459.86304667723,1080639.4037443406,170807.25736646575,999980509.067818
4500,210095.2694397191,1081404.508714305,170551.016236657,999979500.2945219
4600,217264.56840819825,1082790.0939118175,171356.57702155426,999979071.0655816
4700,221560.15117133447,1083198.9141972952,171250.15240092538,999978367.7929634
4800,230491.19447618068,1085051.5612917074,171403.54387454616,999977557.4900137
4900,240258.6833877932,1085917.78326114,171291.35586803147,999976691.213412
5000,246903.1390944319,1087732.8408731944,172270.28817017053,999975969.2736193
