miliseconds,x_Tumor_Cells,y_CD4_T_Cells,z_Cytokine,w_Healthy_Tissue
0,68737.84388255155,999878.4924698462,99958.52514276754,1000000263.5182794
100,70117.05635114622,999727.650268169,154803.5027461503,999999781.545384
200,70754.60754509896,1002627.4938472682,156826.57848630368,999999443.1858692
300,70354.03630527714,1003872.9560726732,157534.9185859308,999998770.8423419
400,76474.81901019778,1007381.198252356,157942.81307457743,999998195.6324465
500,76177.77996128716,1010053.2562829687,158516.14358728897,999997915.1688731
600,79593.10922460054,1011156.8502422054,158711.25112546244,999997693.8334483
700,77257.68669863747,1014316.4350729759,158756.892234748,999997387.1584913
800,80884.42238035316,1015407.978384423,159621.58224951825,999996681.3691285
900,85119.25572579556,1018149.6087646818,160146.8901307427,999996645.8850844
1000,83084.39876328339,1019612.5507437113,160180.60378865522,999996444.6321592
1100,86339.39244563911,1022277.4387728836,160637.24531752474,999995838.6743926
1200,87321.11349116222,1025351.8780475807,160522.68039981194,999995387.2338605
1300,89258.28492791104,1027759.6738602519,160877.7665721709,999995033.5042363
1400,91103.42902327741,1029483.3315303479,161277.82884984545,999994489.9344181
1500,94165.52912663526,1031893.3367283674,162251.31498341865,999993927.4299207
1600,95667.07054025146,1033293.4146415185,162586.25358936915,999993785.0034103
1700,98279.74297279427,1035517.2304844981,162516.19332042537,999993431.4605632
1800,103971.66650609336,1035880.7463194358,163313.4230188086,999992809.8785971
1900,106170.58198282955,1039072.5456752438,163148.59103171536,999992717.312906
2000,109100.22365278663,1042167.2747853949,163359.87726135092,999992508.5197273
2100,112954.842646996,1042270.6436109677,164339.28215559563,999991499.0153222
2200,111595.6262364238,1043933.9771125987,164104.62071082363,999991657.3485141
2300,113674.92676773977,1047106.5843509852,164910.88661745188,999990866.7569526
2400,117614.14673706226,1050272.0037639968,165373.8550272929,999990794.195446
2500,121575.63266522161,1052077.2151792045,165291.50761809433,999989872.4242002
2600,125165.86311573355,1053104.9333058326,166133.41272697554,999989905.7206398
2700,129538.23945866233,1053488.1055380257,166382.30261311473,999989081.4616609
2800,129601.98588616654,1056423.7793893002,166935.12907639059,999988582.4916067
2900,133418.55381819393,1058960.7644391889,166364.46507508325,999988677.5425618
3000,136763.14989913808,1059390.4514355715,167144.4624658865,999987644.9296428
3100,141445.5672268745,1063325.425301514,167859.52076577678,999987606.3644717
3200,144613.23240886242,1063115.8902758977,167203.8827612726,999987162.2363479
3300,148592.88475509564,1064349.0171447382,168048.37174610584,999986266.9461439
3400,152333.7128792005,1066808.6115045205,168588.400854954,999986154.0363548
3500,156775.92380731137,1068953.764164358,169025.56105032575,999985259.8827847
3600,163853.07281939924,1069554.502812308,169084.6640232836,999984775.6627184
3700,169646.83456524435,1071453.5540703016,169293.54357992898,999984185.6178395
3800,171574.84258742174,1073208.3535964692,169711.4172487878,999984088.6192077
3900,175270.70397245613,1074714.7399191565,169793.87365454365,999983414.4389422
4000,183190.4359969341,1075821.9407544953,170326.1187631249,999983008.8718963
4100,185817.43001884196,1076965.87315559,169949.1636215963,999981860.4627134
4200,191136.3925923452,1080025.9622563792,170507.98714338138,999981347.7369696
4300,201064.19032400986,1078888.6635327493,170649.3366944311,999980825.4979056
4400,205198.1733594755,1081682.484835496,171280.21559659354,999980277.7930388
4500,212613.0572646939,1081968.9318717583,170636.96810368568,999979835.5856607
4600,215331.78286299092,1083926.0983209459,171364.83845877377,999978932.9056584
4700,226049.17427829915,1084870.637487243,171310.79578761954,999978518.7143567
4800,229750.05379355792,1084693.0758824048,171675.34672881625,999977597.164271
4900,237681.96019128163,1086079.8612750699,171863.3875566778,999977152.4246386
5000,244756.9075903594,1087814.413599767,171971.66006058507,999976096.1668378
