miliseconds,Mb,Bc,Bcp,Bn,Cc,Mc,Ccp,Mp,Pc,Pcp,PCc,PCcp,PCn,Bnp,PCnp,In,Mr,Rc,Rn
0,-0.030242458585089685,-0.005295387907079799,0.0005716358463356975,-0.0010374410396781178,-0.0017765885712303293,-0.0007543365486246443,0.0001283135061199717,-0.001117588871929995,-0.00018494430957233878,4.95997580037865e-05,1.5034622892601604e-05,5.100643956436779e-06,-1.1352714133121131e-06,-0.0004900783206350902,-8.713952730600702e-07,-1.298894036635744e-07,0.0017423531833819208,0.00023249284258158038,3.914728362046033e-06
100,0.18349367010194917,-0.008814697961285782,-9.646380200393425e-05,-0.0004217417954266238,0.0048470049600277945,0.0024872541765070095,-0.0007220937062855774,-0.0015226373080459042,0.0002063403059739767,-8.046011229918768e-05,-2.1102570047504252e-05,3.908273730635415e-06,3.0501065386091935e-07,-0.0003362509425352104,6.114906230979428e-07,-1.4637626418085513e-07,0.0016441736532924426,-0.00023164177549447052,2.483563224333675e-05
200,0.27561562388539906,0.011148893128758202,-2.1294139651105502e-05,-0.004915073154958769,0.0022326030645856963,0.0002554160252070918,0.0005653692816596673,-0.0026309935424397948,2.058439304166262e-05,0.00014967148287412554,4.033951685293305e-06,3.4358875658100952e-06,2.2627122414291177e-06,-0.0002520121383560587,-2.942987321406597e-07,1.6066236470937337e-07,-0.001717995795518241,-0.00014554093748492435,8.705242812102002e-06
300,0.4522775461278356,0.02227890639394588,0.0015977743816268718,0.0011366746563514069,0.004330797092334133,0.0015428556572200948,-0.0005029079698496327,-0.0017661114102309188,0.0002506253866915082,8.465058350311781e-05,-5.961523382298063e-07,4.3110013107268675e-06,1.7261475069752554e-06,-0.0003475312131170277,7.507888639954319e-07,6.664341562791924e-08,-0.00074914068660401,-3.2994160367682536e-05,4.370434971998822e-05
400,0.505954845305093,0.02326447203154483,0.0031196074724816813,-0.003239208557246226,-0.0025283582152638667,0.0008030108469153616,0.0006533619373989006,-0.0007330362714023966,-3.408614578562689e-06,3.4199287503724437e-06,2.9413305467137474e-06,-8.642898088690903e-07,2.861436786273151e-06,0.0003047878048890408,3.5947407505550627e-07,-2.0237380992051737e-07,0.0010551016713852858,-0.00021915305319369647,1.9452652111716866e-05
500,0.6243725241279054,0.03796187414782631,0.0034162861929974745,0.00666882679430238,-0.004126708690798944,0.00018905179264047773,0.00022216699530171863,-0.0006369714297092065,7.801163089380409e-05,7.406858708536534e-05,-2.2541480146926653e-05,2.854896373778694e-06,4.169765266002863e-06,0.0004999414100504048,1.1706058631970762e-06,1.0614364917025472e-07,0.0017108182918048672,-1.736890779918582e-05,4.138159934460646e-05
600,0.7627572830313774,0.05252961658946749,0.005203736552206792,0.006371067718026388,-0.004770508271469543,0.0024528043543348655,0.0004495521822714874,0.0012355839719650763,-0.00020791632439553763,5.6126609682892426e-05,-1.2349289476526627e-05,-5.497260070899876e-06,-2.9548050897693725e-06,0.0004969068089212413,-6.01340569184552e-08,2.0265911543723627e-07,0.00024832960107232954,-0.00020299844179388514,4.598815081826243e-05
700,0.8165606277586892,0.05905401411656348,0.006579169812230339,0.009346282571184283,-0.0022812114154037054,0.0008940972947570839,0.00019514401027463383,0.0012738420828658527,-0.00036520363151642995,-0.00017384434719586994,-4.097994570028486e-06,-4.42529436456174e-08,6.673268336592382e-07,0.0005078410969363597,9.456627653938472e-07,-2.179386844288943e-07,-0.0012856371824200045,0.00016957762676156227,-4.931171066607388e-05
800,0.8966616700481329,0.08413373678077081,0.007016071606457211,0.009460701447902198,0.0010235610915341987,-0.0010772705529692732,-0.0004261624705047093,-0.00036285211143512934,-0.0002725602712842846,4.279750025687765e-05,1.5364306803989343e-05,-3.2236638103324657e-07,-2.7822469684152002e-06,0.001030252812668177,-1.2780750931436246e-07,-1.7506620882246616e-07,-0.0006382972428510533,9.733669485775031e-05,7.124283217958615e-06
900,0.985184475644147,0.10216930572647243,0.009263352683135459,0.018074282373174218,-9.980228766756745e-05,-0.0005400327041170933,5.648531989042635e-05,0.0013690694130908273,-0.0003914162950729161,-5.813383611708208e-05,2.181552922566846e-05,-5.377522643539899e-06,-2.746328556054929e-06,0.0015955326632039381,5.183113746368909e-07,3.021767147176214e-08,-0.0018326978152429607,-0.00011635365663142914,2.7646928418298982e-05
