miliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999900002657,1.0002242186596101e-08,-1.312954213870336e-18
100,0.9999999900053225,9.99444946193192e-09,1.587030200112323e-17
200,0.9999999900161806,9.991752342726567e-09,1.4032826033492702e-17
300,0.9999999900252073,9.984535160235617e-09,3.115323666919922e-17
400,0.999999990033027,9.980614956447839e-09,3.8209249052514434e-17
500,0.9999999900454484,9.974870248119292e-09,5.195018573262299e-17
600,0.9999999900568968,9.969558803681168e-09,5.885916327614821e-17
700,0.999999990068521,9.962280503849925e-09,6.425254746861305e-17
800,0.9999999900806567,9.963179582159564e-09,7.693542456006253e-17
900,0.9999999900918075,9.957682500619413e-09,9.362780705149794e-17
1000,0.999999990101058,9.949479156020532e-09,9.351038468370978e-17
1100,0.9999999901096008,9.943961902381695e-09,1.0798133464813105e-16
1200,0.9999999901121708,9.937515689027903e-09,1.1210516257179188e-16
1300,0.9999999901224034,9.931957094328238e-09,1.3081704168013286e-16
1400,0.9999999901325287,9.929722683508027e-09,1.3836612846195452e-16
1500,0.9999999901472119,9.927123128105038e-09,1.5375268333513208e-16
1600,0.9999999901589292,9.921838347869345e-09,1.5209336476354307e-16
1700,0.9999999901722488,9.913182763199217e-09,1.6225437653102174e-16
1800,0.9999999901852062,9.90941703713419e-09,1.8449976094009174e-16
1900,0.9999999901886875,9.904645560897273e-09,1.9018323073200736e-16
2000,0.9999999901984048,9.899359483212644e-09,1.9587285487609068e-16
2100,0.9999999902066808,9.89721504470493e-09,2.0284694824975704e-16
2200,0.9999999902207017,9.893654404544927e-09,2.159859485178528e-16
2300,0.9999999902235428,9.882948779037372e-09,2.2174512947421944e-16
2400,0.9999999902367105,9.880699840776224e-09,2.3797499054735724e-16
2500,0.999999990248865,9.877847386725344e-09,2.476344349200793e-16
2600,0.9999999902560094,9.869045177088389e-09,2.5620452635007364e-16
2700,0.999999990273056,9.862791600141122e-09,2.6895791567094495e-16
2800,0.9999999902780273,9.863841606623335e-09,2.7731589068074267e-16
2900,0.9999999902820381,9.853923742361084e-09,2.8343295906621846e-16
3000,0.999999990293543,9.854319066528912e-09,2.915541281956667e-16
3100,0.9999999903109,9.84547183674521e-09,2.9877487716222286e-16
3200,0.9999999903144291,9.841639231379777e-09,3.1192097253056636e-16
3300,0.9999999903283019,9.83404643968415e-09,3.2052504569206093e-16
3400,0.9999999903343083,9.8282005361815e-09,3.372795643845374e-16
3500,0.9999999903496827,9.824488590937263e-09,3.383499580611559e-16
3600,0.9999999903566986,9.820663763544206e-09,3.5655490115456805e-16
3700,0.9999999903563952,9.81857851119338e-09,3.666816348187881e-16
3800,0.999999990378543,9.811683852272043e-09,3.743684615844156e-16
3900,0.9999999903817308,9.804209431536979e-09,3.748770553496507e-16
4000,0.9999999903899243,9.802245716575677e-09,3.9055353216290816e-16
4100,0.9999999903956389,9.797750824815469e-09,4.041238758195585e-16
4200,0.9999999904085473,9.79318415379346e-09,4.0639361574136184e-16
4300,0.9999999904269986,9.787515307429643e-09,4.226633505348947e-16
4400,0.999999990434628,9.781549682211453e-09,4.3524519220301507e-16
4500,0.9999999904344883,9.775889857171949e-09,4.3920932169764683e-16
4600,0.9999999904466469,9.769515163270977e-09,4.416646508789029e-16
4700,0.9999999904579112,9.7688829925171e-09,4.579568150265412e-16
4800,0.9999999904681545,9.762516892880575e-09,4.671292882666853e-16
4900,0.9999999904795003,9.757834171997849e-09,4.691616524556273e-16
5000,0.999999990484439,9.756122094417104e-09,4.869375207101853e-16
