miliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999899971861,1.0000172989856521e-08,-4.596279885728821e-18
100,0.9999999900158827,9.993355470565016e-09,5.498009547629645e-18
200,0.9999999900230236,9.989860977362301e-09,2.2981435925879894e-17
300,0.9999999900341098,9.982742072064482e-09,3.38816144549645e-17
400,0.9999999900464472,9.979418177080791e-09,4.492446995952031e-17
500,0.9999999900538032,9.978235008408257e-09,4.464367171473808e-17
600,0.9999999900530909,9.969337115757613e-09,5.4176653992699533e-17
700,0.9999999900722747,9.964792641563795e-09,7.155663164890221e-17
800,0.9999999900808708,9.957023920333696e-09,7.316873411343833e-17
900,0.9999999900945573,9.952971240492037e-09,8.466265131322329e-17
1000,0.9999999900984815,9.948658423769466e-09,1.0495227574414588e-16
1100,0.9999999901156036,9.946697953156731e-09,1.0217858599546302e-16
1200,0.9999999901163257,9.943763918851953e-09,1.2272218308903398e-16
1300,0.9999999901303119,9.938142772541829e-09,1.2351591924361194e-16
1400,0.9999999901322125,9.931764787697297e-09,1.4492810744262742e-16
1500,0.9999999901484818,9.92276505068695e-09,1.4319718359332404e-16
1600,0.999999990157499,9.922727586732532e-09,1.6436435274415876e-16
1700,0.9999999901615183,9.912819753075584e-09,1.7052149004603931e-16
1800,0.9999999901751179,9.913481441419553e-09,1.7449274473247032e-16
1900,0.9999999901821749,9.907695293039658e-09,1.8217653989972445e-16
2000,0.9999999902035811,9.901269131005372e-09,2.0455873169576947e-16
2100,0.9999999902043621,9.893811341856787e-09,2.0189671803032997e-16
2200,0.9999999902136675,9.891488789427399e-09,2.1247745246829062e-16
2300,0.9999999902261867,9.88244264814606e-09,2.3014427726634236e-16
2400,0.9999999902302934,9.880625890202415e-09,2.3175161609582594e-16
2500,0.9999999902423593,9.872202549694436e-09,2.44036291519728e-16
2600,0.9999999902539657,9.873276335135961e-09,2.5863366952403077e-16
2700,0.9999999902712029,9.869160528696454e-09,2.594276633359877e-16
2800,0.9999999902769003,9.860582274972903e-09,2.797719605696388e-16
2900,0.9999999902872254,9.854762344016906e-09,2.87035918524276e-16
3000,0.9999999903019194,9.848018210118559e-09,3.009856180962295e-16
3100,0.9999999903110848,9.843544642917953e-09,3.0241226178793757e-16
3200,0.9999999903188704,9.841287654259259e-09,3.177699747568743e-16
3300,0.9999999903286768,9.833672198440022e-09,3.3064096544312956e-16
3400,0.9999999903360252,9.830199193555378e-09,3.3652113496918654e-16
3500,0.9999999903470194,9.823885224525787e-09,3.487152499971491e-16
3600,0.9999999903573794,9.820305092997578e-09,3.5289061931141696e-16
3700,0.9999999903680518,9.817464376478114e-09,3.598622449049079e-16
3800,0.9999999903794625,9.813507677341708e-09,3.7507762268417447e-16
3900,0.999999990378648,9.808374008770471e-09,3.821513751900201e-16
4000,0.9999999903857851,9.798785323363136e-09,3.894933766674201e-16
4100,0.9999999904071676,9.794850936561126e-09,3.99639884103497e-16
4200,0.9999999904125226,9.794403431900718e-09,4.168503640163174e-16
4300,0.9999999904202632,9.790505061890553e-09,4.1793003601662325e-16
4400,0.9999999904279934,9.77940875380279e-09,4.2401155802694743e-16
4500,0.9999999904449632,9.779543634910758e-09,4.343456344896972e-16
4600,0.999999990455409,9.772519333618754e-09,4.51165560744656e-16
4700,0.9999999904530852,9.770173253101417e-09,4.508971164006425e-16
4800,0.9999999904649767,9.762012470562003e-09,4.684413105273334e-16
4900,0.9999999904843837,9.760519077617088e-09,4.806449484866733e-16
5000,0.9999999904839467,9.755984039375916e-09,4.905791561567885e-16
