milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999900028589,1.00030294536488e-08,7.628495470848917e-19
100,0.9999999900118428,9.997032837561496e-09,9.718347697953612e-18
200,0.9999999900202269,9.991003438171797e-09,2.565180767875338e-17
300,0.9999999900309117,9.983517706435305e-09,3.5017013009674965e-17
400,0.9999999900439132,9.983667265207012e-09,3.496523989938038e-17
500,0.9999999900471142,9.97600282056645e-09,4.3897987188005975e-17
600,0.9999999900600413,9.966696224498641e-09,5.800065589361247e-17
700,0.999999990065063,9.963037688606338e-09,7.525619666288733e-17
800,0.9999999900787855,9.963295296677455e-09,7.297126489163711e-17
900,0.9999999900947626,9.952163944222703e-09,8.305106597582071e-17
1000,0.9999999900997104,9.953394700507844e-09,9.533495417251994e-17
1100,0.9999999901132622,9.94311912549825e-09,1.0194479820965278e-16
1200,0.9999999901141694,9.938548557453787e-09,1.1609593086944866e-16
1300,0.9999999901343444,9.93458891082491e-09,1.2936962374824482e-16
1400,0.9999999901438551,9.931388118518636e-09,1.3357379117475685e-16
1500,0.9999999901446631,9.926205024938347e-09,1.4984217760587217e-16
1600,0.9999999901524875,9.917583623382385e-09,1.6310559870492035e-16
1700,0.99999999016498,9.918020497515687e-09,1.6112951588297135e-16
1800,0.9999999901760629,9.91056090376858e-09,1.7751922767910857e-16
1900,0.9999999901936304,9.90578457957921e-09,1.8984762770237948e-16
2000,0.9999999901910892,9.897409190905459e-09,2.0136613397400222e-16
2100,0.9999999902103748,9.892219239141206e-09,2.111642946202002e-16
2200,0.9999999902228282,9.889136932836207e-09,2.168932685857952e-16
2300,0.9999999902204371,9.882128231765913e-09,2.336416414192765e-16
2400,0.9999999902343142,9.884286133703712e-09,2.3312682179868893e-16
2500,0.9999999902520733,9.87709268081339e-09,2.3991240868769364e-16
2600,0.9999999902627565,9.868412086826313e-09,2.6282294478561626e-16
2700,0.9999999902657988,9.866780478130858e-09,2.6478537074961084e-16
2800,0.9999999902753568,9.859466868266353e-09,2.720714275671261e-16
2900,0.9999999902839349,9.855981516670629e-09,2.8127659213846503e-16
3000,0.9999999902923861,9.84912651077095e-09,2.9743038702451455e-16
3100,0.9999999902983996,9.846950960074543e-09,3.069269251862993e-16
3200,0.9999999903107564,9.842922688238131e-09,3.0918874801949284e-16
3300,0.999999990320817,9.836754158474537e-09,3.2255245587866733e-16
3400,0.999999990338304,9.829367314023292e-09,3.391517303064558e-16
3500,0.9999999903476495,9.827845680524358e-09,3.4381682330659007e-16
3600,0.9999999903592265,9.819638292470704e-09,3.477092872334335e-16
3700,0.999999990361508,9.816517759126585e-09,3.647339223920302e-16
3800,0.9999999903752765,9.808188642363502e-09,3.7839477003527076e-16
3900,0.9999999903826388,9.806863073570748e-09,3.748924373243003e-16
4000,0.999999990393671,9.800227925284033e-09,3.9384525933275467e-16
4100,0.9999999904038092,9.79590738658873e-09,4.00213334776981e-16
4200,0.9999999904173883,9.795238818228853e-09,4.1371296165348996e-16
4300,0.9999999904255658,9.78833218776301e-09,4.1888744548292823e-16
4400,0.9999999904304538,9.784585481041038e-09,4.359091689113268e-16
4500,0.9999999904353838,9.7779299835977e-09,4.417592832805665e-16
4600,0.9999999904506749,9.770498773494793e-09,4.4172961534828495e-16
4700,0.9999999904592223,9.766118916099857e-09,4.533679484766223e-16
4800,0.9999999904688954,9.760360570336389e-09,4.706461175890208e-16
4900,0.9999999904754888,9.757092386688798e-09,4.832858497238532e-16
5000,0.9999999904924629,9.754690047651517e-09,4.818780066777302e-16
