miliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999900045359,9.99635191769266e-09,6.890803187083705e-18
100,0.9999999900065604,9.992572662083626e-09,3.725558047245834e-18
200,0.9999999900222805,9.993161340420742e-09,2.5602769288734165e-17
300,0.9999999900319553,9.987680032450139e-09,3.481029205205981e-17
400,0.9999999900433479,9.977937164165111e-09,4.0279292638685903e-17
500,0.9999999900450556,9.974561684631091e-09,4.991525100973373e-17
600,0.9999999900578799,9.97300846608873e-09,5.868491326179314e-17
700,0.9999999900637553,9.968637418541047e-09,7.067918518492993e-17
800,0.9999999900760194,9.960027946290567e-09,8.620909030999463e-17
900,0.9999999900880688,9.957051247629113e-09,9.289217919141574e-17
1000,0.9999999900992803,9.94935770369731e-09,1.0397807414185484e-16
1100,0.9999999901068537,9.944314272981906e-09,1.1381124434168539e-16
1200,0.9999999901193279,9.943166582279636e-09,1.1444283567123307e-16
1300,0.9999999901341807,9.934981279761235e-09,1.2773284983222914e-16
1400,0.9999999901372935,9.933859557639035e-09,1.3277614200588027e-16
1500,0.9999999901527893,9.928289980537275e-09,1.5055302364146654e-16
1600,0.9999999901620894,9.921927124549559e-09,1.5742788740296233e-16
1700,0.9999999901723647,9.918436264569968e-09,1.694825127037181e-16
1800,0.9999999901796928,9.9119657190305e-09,1.7241320140235065e-16
1900,0.9999999901814739,9.901965820409326e-09,1.8557504500029117e-16
2000,0.9999999901948298,9.903188068348486e-09,1.905545366889022e-16
2100,0.9999999902093532,9.89793047151557e-09,2.1010462196209918e-16
2200,0.9999999902139128,9.890510671009318e-09,2.1417062525048286e-16
2300,0.9999999902307171,9.888554824584898e-09,2.2096381390120188e-16
2400,0.9999999902392168,9.883799718407608e-09,2.363434997980426e-16
2500,0.9999999902419031,9.87620647532375e-09,2.4436183447595266e-16
2600,0.9999999902509653,9.872493566635553e-09,2.6066085826016675e-16
2700,0.9999999902637612,9.869335395865007e-09,2.667074277410314e-16
2800,0.9999999902695748,9.858709675048283e-09,2.6945141823860703e-16
2900,0.999999990282498,9.856861750042739e-09,2.82336197754991e-16
3000,0.999999990302507,9.850305550138152e-09,3.014237735330229e-16
3100,0.999999990307075,9.847241454902407e-09,2.991136584147811e-16
3200,0.9999999903206253,9.838384794450945e-09,3.1347286101212725e-16
3300,0.9999999903229311,9.838708644600061e-09,3.1697640290317486e-16
3400,0.9999999903398493,9.832543808108798e-09,3.3115092777675686e-16
3500,0.9999999903433567,9.82775835640478e-09,3.4071275264614513e-16
3600,0.9999999903496104,9.820751449269745e-09,3.452136444782864e-16
3700,0.999999990369744,9.815848340390432e-09,3.670665825275567e-16
3800,0.9999999903764967,9.813825422071358e-09,3.7351171014567807e-16
3900,0.9999999903762102,9.803670154355982e-09,3.7859667627902124e-16
4000,0.9999999903962508,9.803080758578952e-09,3.9414597087074057e-16
4100,0.9999999903980151,9.797146352461547e-09,3.932466497489302e-16
4200,0.9999999904096281,9.794446982730357e-09,4.10317511295321e-16
4300,0.9999999904254224,9.78764930519378e-09,4.2532655278158186e-16
4400,0.9999999904269535,9.785555013989215e-09,4.3069917529904803e-16
4500,0.9999999904376834,9.776430451155719e-09,4.3148491778735517e-16
4600,0.9999999904426703,9.774275190046667e-09,4.522890900341867e-16
4700,0.9999999904580681,9.768921393909333e-09,4.527460042315783e-16
4800,0.9999999904693081,9.75962352346957e-09,4.6703866634096e-16
4900,0.999999990475415,9.759082712868533e-09,4.749868231649705e-16
5000,0.9999999904814679,9.752945368568449e-09,4.92042810954197e-16
