miliseconds,APCP,BCKI,Cdc20A,Cdc20i,Cdh1,CKI,CycA,CycB,CycE,Mass,pB,pBCKI,TriA,TriE
0,0.6734021781922973,0.0,0.6577550034111586,0.013099704998837239,0.999239265584675,0.27507987741859663,0.010025799155040925,0.1664074951235807,0.07745400336683386,0.5870370310306449,0.00967861527700012,0.0,0.01712037046428543,0.3117476297161178
100,0.6482196983660663,0.0,0.6624895470377956,0.01594809674582032,0.9993791890641235,0.31591804971401627,0.007112109595976754,0.1339915316630738,0.061764763634101036,0.587267523900491,0.010468888562984556,0.0,0.016708230903588805,0.3241328012409336
200,0.6342818494845732,0.0,0.6397155883153379,0.014164380227128393,0.999495025562592,0.3984310644638662,0.005180332310649647,0.10996440970397835,0.051013010970756646,0.5877401491115563,0.010622405029058727,0.0,0.015668440148538663,0.33276460163220084
300,0.6117535466154892,0.0,0.6450864259395567,0.025752497189259604,0.999601973627785,0.43757557709122685,0.0038183491496788795,0.08877338856481407,0.04154126062410484,0.5879071230908484,0.010292985943606142,0.0,0.014331546190596003,0.33989414595881456
400,0.6003119004986198,0.0,0.6150522099620334,0.023633536524068667,0.9996626222375595,0.5164363378093626,0.00293806180631425,0.07293484109201084,0.03430410047000309,0.5882156775693576,0.009660017346849882,0.0,0.013133005420054524,0.3461899432421233
500,0.5785760985495288,0.0,0.6069944726266872,0.024779771279847283,0.9997246325789472,0.5585339078803169,0.002206538280989082,0.05749117188954802,0.029539595083935898,0.5887061086767488,0.00905679676896859,0.0,0.012261083899142626,0.3504134031924241
600,0.5686276980839035,0.0,0.6115780740065192,0.030128613095245477,0.9997757780808338,0.6338024206014589,0.0016215058939340991,0.04848712170117608,0.026208849830040896,0.5889089110458726,0.00848022759288432,0.0,0.01071209940944485,0.3532838021421177
700,0.5518104493375308,0.0,0.5948353973770081,0.023427524967019896,0.9998172720083446,0.6937742539625981,0.0012601278470042029,0.03933200095036998,0.02311381855327002,0.5892142432608516,0.007684735449299336,0.0,0.009966511169983566,0.35477331059510514
800,0.5322992972245909,0.0,0.5929580638850873,0.023030423076027935,0.9998510137405774,0.7580928979874989,0.0010041154498940364,0.03103725854724423,0.02029303000469459,0.5895714390515728,0.006853596951432709,0.0,0.008749156718167535,0.35738903471449596
900,0.5177346375741011,0.0,0.560317257294287,0.029996180267132643,0.9998757758154367,0.8074349474593498,0.0007419997754867146,0.025877526109722222,0.01806705903340733,0.5897861859793508,0.006155896580206274,0.0,0.008075080519010753,0.35901315420142677
1000,0.4909207437107139,0.0,0.559291347746246,0.02913665585124852,0.9998979152664722,0.8505954774088674,0.0007728482654893876,0.0200707696013304,0.01717774057887494,0.5899148129389866,0.005197134649946762,0.0,0.0072050214079192,0.359611085170493
1100,0.49078606733051544,0.0,0.5389310895203595,0.029763380144599637,0.9999100229924686,0.9159676080280357,0.0005164755281125496,0.017716776823872352,0.015695394937810372,0.5903820447832994,0.004620543068396837,0.0,0.006636453657787231,0.3613095877554945
1200,0.45500297119565036,0.0,0.5475384506680079,0.036077036886014116,0.9999248815061964,0.9743303627108952,0.0005050255625413763,0.014516386522995726,0.014486156124956294,0.5905177151643254,0.004249602711182313,0.0,0.005737911958148461,0.3614872565089093
1300,0.4550774762438415,0.0,0.519842246006652,0.04170407489785804,0.9999359424314543,1.030032404493873,0.0004974831615020329,0.010454330224950431,0.013878667775052084,0.5909119313729357,0.0036094536796198507,0.0,0.005360688641953115,0.36222519086999805
1400,0.43339415125365577,0.0,0.5204646647781772,0.050373144723741194,0.9999455227615177,1.0786008258886646,0.00028043667323305796,0.011383452593954973,0.013049343209953743,0.5914487299361691,0.003099254655913505,0.0,0.004755931428620657,0.3634402254113384
1500,0.40126052220802877,0.0,0.4965247862479747,0.04845358536190073,0.9999494663413109,1.1305526505111558,0.00031408766714427743,0.009116910709566432,0.01293366546111295,0.5915172228853038,0.0028090850350499024,0.0,0.004121508064312924,0.3643056694637397
