milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841214.132441,5060.4,4487.6,4590.0
100,78841063.05951183,5092.719795141385,4519.10193572822,4668.243573020809
200,78840910.99076864,5125.267299782882,4550.799488881843,4746.997287721525
300,78840757.90623568,5158.046959165216,4582.696680939462,4826.271426577598
400,78840603.79757462,5191.060524367513,4614.795273567473,4906.070323674446
500,78840448.66004741,5224.308987201539,4647.096270297848,4986.3964430478045
600,78840292.48618034,5257.793911480722,4679.601254575246,5067.2536717121575
700,78840135.26907057,5291.516742505061,4712.311688080524,5148.645599445066
800,78839977.00169562,5325.47895092932,4745.229057590328,5230.575878142118
900,78839817.67667846,5359.682083047391,4778.354923743219,5313.048343548145
1000,78839657.28685242,5394.127646008775,4811.690798567672,5396.06672023284
1100,78839495.82500024,5428.81715276137,4845.238208789588,5479.634760804258
1200,78839333.28390616,5463.752115612009,4878.998681110435,5563.756217240737
1300,78839169.65499231,5498.934392401395,4912.973980060427,5648.435527619192
1400,78839004.9311155,5534.365477337655,4947.165619413069,5733.676407254411
1500,78838839.10536422,5570.046805893779,4981.575072438814,5819.482454718242
1600,78838672.17049943,5605.97989656726,5016.203869660825,5905.857433603413
1700,78838504.11928208,5642.1662678555895,5051.053541602266,5992.805107502651
1800,78838334.94447315,5678.607438256261,5086.1256187863,6080.329240008685
1900,78838164.63883357,5715.304926266766,5121.4216317360915,6168.433594714243
2000,78837993.1951243,5752.260250384598,5156.943110974804,6257.1219352120515
2100,78837820.6061063,5789.4749291072485,5192.6915870256,6346.398025094841
2200,78837646.86454052,5826.950480932211,5228.668590411645,6436.265627955337
2300,78837471.95981127,5864.689233750725,5264.876280622551,6526.730225784431
2400,78837295.88496517,5902.692637592236,5301.3161349760985,6617.795436812508
2500,78837118.63317603,5940.962111980693,5337.9896070847535,6709.464814504715
2600,78836940.1968212,5979.499267376427,5374.898298934476,6801.742317697159
2700,78836760.56827794,6018.305714239767,5412.043812511222,6894.631905225948
2800,78836579.73850515,6057.383393999167,5449.428021479157,6988.138261198742
2900,78836397.69810514,6096.734331272642,5487.052867789356,7082.2662520217955
3000,78836214.4405579,6136.359879228832,5524.919742227547,7177.0192727115345
3100,78836029.95793167,6176.261720444867,5563.030305977421,7272.401440138203
3200,78835844.24229467,6216.4415374978735,5601.386220222667,7368.416871172046
3300,78835657.28544685,6256.901074538248,5639.989198364733,7465.069820257099
3400,78835469.07630862,6297.642736604282,5678.8415142769,7562.366018466068
3500,78835279.60852548,6338.6678442688435,5717.94452214194,7660.308773839336
3600,78835088.87387972,6379.978145739545,5757.299938802055,7758.902349886014
3700,78834896.8641536,6421.575389223995,5796.909481099449,7858.151010115215
3800,78834703.57112938,6463.461322929807,5836.774865876326,7958.059018036052
3900,78834508.98402268,6505.6382807185455,5876.898312213656,8058.631954770922
4000,78834313.0948039,6548.10796786544,5917.281500136154,8159.873987239
4100,78834115.89557625,6590.872059351023,5957.926083688743,8261.789214201997
4200,78833917.37783204,6633.932369543401,5998.8338364508245,8364.382048017922
4300,78833717.53306359,6677.290712810674,6040.0065320017975,8467.656901044778
4400,78833516.351383,6720.949217788253,6081.4462144488,8571.618894498433
4500,78833313.82253292,6764.910097236174,6123.155000315172,8676.273339345325
4600,78833109.93908967,6809.174918700133,6165.1344507105305,8781.624091213575
4700,78832904.69224301,6853.74556543664,6207.386398514826,8887.675717845112
4800,78832698.07318273,6898.623920702202,6249.912676608011,8994.432786981868
4900,78832490.07271305,6943.811955301446,6292.715193604602,9101.900064490354
5000,78832280.67737615,6989.312607842535,6335.7966953293535,9210.084506411707
