milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,5.011658033371059e-12,1.89566630865464e-14,1.0000008912947846e-08,1.6489597832279655e-16,1.0000068983129443e-10,2.960118757133405e-15,-5.262940596641725e-17,-1.2669572835866687e-17,1.600000076273946e-07,8.299209335459817e-17,8.999999971585152e-08,3.556254958485924e-17,3.492235737965136e-16,1.400000000850166e-06,6.999999650260192e-10,3.791819742274122e-17,1.8827218166414381e-22,-5.686732411310427e-23,-8.005754321307978e-19,-2.436104563282608e-18,2.0000001710763e-08,-4.113897713446212e-16,-5.187128971493386e-19,7.406677325921197e-19,4.940557435027877e-16,2.4999995892365736e-09,1.4653971878247526e-17,-1.6514087860342343e-16,3.399999999802371e-06,-5.317569547772116e-16,3.694381978169382e-18,-4.9656823894459e-18,2.347002181318477e-17,2.1338622592924766e-18
100,4.987787486764446e-12,8.284148466886756e-15,1.0000005960074785e-08,6.879755212401437e-16,1.0000007387153174e-10,-1.3433867842717237e-15,-3.88054279566793e-16,2.0491331104707367e-16,1.5999999962346802e-07,1.6923063512858517e-17,8.999999881181347e-08,1.0023800534780438e-16,-9.422082984768834e-16,1.3999999995539405e-06,6.999999956272493e-10,1.0797431266381622e-17,-1.0347357748487861e-22,2.8542341405406955e-22,-2.431922573011748e-18,1.7928503626035102e-19,1.999999899154347e-08,-5.731465355116212e-16,7.294726555045284e-20,-6.9769047791725545e-19,-4.985857173453203e-16,2.499999825803307e-09,9.467002012094578e-17,7.145425723615756e-17,3.399999999628657e-06,1.2809530408562527e-16,-6.328164708046642e-17,1.9390025909176767e-18,2.362471810813623e-17,-5.527078009746809e-19
200,4.972074537109861e-12,2.2760399382956654e-14,9.999951613373083e-09,1.2956812328395935e-15,9.999433421889144e-11,3.7135663939183975e-15,-2.929994051618704e-17,6.319863457704957e-16,1.60000001570853e-07,7.213844442048572e-17,9.000000027124267e-08,1.88440071857313e-16,6.367747075093574e-16,1.400000001111685e-06,6.999999787794777e-10,-3.264455801794041e-18,-1.184245619812132e-22,2.7921563644034476e-22,1.797445787769447e-18,-2.298518059949197e-18,1.999999988312707e-08,1.3635570212755283e-15,7.975307054567746e-20,4.439706682879473e-19,-2.756473262669034e-16,2.499999530816395e-09,6.721061766779849e-17,-1.7401866204888638e-17,3.4000000006631748e-06,2.3724992520274e-16,9.312568309732377e-17,9.428747266757521e-19,7.40883283706613e-17,1.6862266351001788e-19
300,4.9528146870338915e-12,4.204286352861311e-14,9.99996668411737e-09,1.834384648097438e-15,9.999686265241839e-11,8.451553768845348e-15,-1.3366220792259477e-16,9.144511605017067e-16,1.5999999038032705e-07,2.7964649167311354e-16,8.99999986907777e-08,3.120396618037813e-16,-4.7871424962286105e-16,1.3999999995740849e-06,7.000000106878444e-10,-1.2559893706423524e-17,8.491860178894772e-23,-2.2708890278318666e-22,-1.2009320879855362e-18,1.0775048333375115e-18,2.0000000475002637e-08,1.49198836887289e-15,6.833529457782251e-19,-7.893804239379391e-19,3.6220165421627354e-16,2.4999996140060193e-09,-3.4553012874902523e-17,2.427799043509512e-16,3.399999999473878e-06,5.165719899715525e-16,-6.066982891375208e-17,-3.915262284574204e-18,8.075565237189462e-17,1.2998951577766562e-18
400,4.9421087135756505e-12,5.369681910948057e-14,9.999940907030601e-09,3.033014706835057e-15,9.999494988821662e-11,4.651959029605246e-15,9.101588902758412e-17,1.1599067322236298e-15,1.6000000251618327e-07,3.2887661857292967e-16,8.999999854545325e-08,3.601165172129823e-16,-3.6662438441203527e-16,1.3999999989908974e-06,7.000000432617955e-10,1.2067139683463558e-17,5.178961262145393e-23,-3.0380591115978714e-22,-2.2886358685227123e-18,-1.6890340420703274e-18,2.0000000606886918e-08,-1.4364282210140962e-15,-7.997500274023033e-19,-3.76503740595914e-19,5.595029157217124e-16,2.500000249076972e-09,7.096392813142555e-17,-1.2945904276540733e-18,3.399999999756244e-06,-5.842480331643203e-17,5.752196064597574e-17,-3.526272735724352e-18,3.7641081141537273e-17,2.690009127298481e-18
500,4.929875714122444e-12,8.335189322287312e-14,9.999926356441336e-09,3.16625632298438e-15,9.999722011409605e-11,1.4551496775784968e-14,-2.232868934813304e-16,1.5281784623749206e-15,1.5999998913309317e-07,4.352672905876487e-16,8.999999961613829e-08,3.33646748140494e-16,1.0142661670102321e-16,1.3999999992649854e-06,6.999999726576885e-10,2.3355976583609073e-17,-3.3186355565137615e-23,3.293661910951493e-22,-2.078085030348687e-19,-1.3008356101147072e-18,1.9999999313773902e-08,-6.98989497782056e-17,-2.840846023577111e-19,-6.615173080799886e-19,4.665138969125246e-16,2.4999999480003153e-09,1.1491917614164752e-16,4.13500302939927e-17,3.3999999994018864e-06,-2.697752969517093e-16,-6.200115118439426e-17,3.752582569623915e-18,7.644260146488872e-17,1.876816187476983e-18
600,4.910784218169896e-12,1.0627442910559171e-13,9.999910596408042e-09,3.4402787518384563e-15,9.999625018634492e-11,7.266479129646541e-15,5.512656160383279e-16,1.5140090618286077e-15,1.5999998070991585e-07,4.718374720054117e-16,8.999999840949824e-08,4.530938873876424e-16,1.5339179690784293e-15,1.3999999985517028e-06,6.999999717784956e-10,-1.0475841623896033e-17,-5.322405468596079e-23,-7.700467919192411e-23,9.905766135800247e-19,8.222917422856929e-19,1.999999832601278e-08,-1.009185785041319e-15,1.0970195148910388e-19,8.080102601547776e-19,-1.913358244765474e-16,2.499999833329498e-09,5.917617087795227e-17,5.151114421826756e-16,3.3999999996280624e-06,1.7026439314212284e-16,-6.961676801385422e-17,5.3808716888994595e-18,-4.577424828649493e-17,2.2322966758644457e-18
700,4.895507753019851e-12,1.0254645162585329e-13,9.999894586032637e-09,3.369967173539366e-15,9.999683854592136e-11,1.1622991988952659e-14,3.5079635123320443e-16,1.7997548867510223e-15,1.5999997966006523e-07,5.014516838305255e-16,8.99999977715349e-08,6.097612819157708e-16,2.5278150825658547e-15,1.400000000218614e-06,6.999999280398442e-10,3.8380534749876905e-17,9.316144920106468e-23,3.129193034167883e-22,1.993324362937498e-18,-6.14780048735767e-19,1.9999997637809512e-08,-6.878095241475053e-16,1.1848757020487525e-18,-5.576709095442592e-19,-4.972210384303562e-16,2.4999990605311757e-09,2.1376606124529377e-16,7.3635927149162645e-16,3.3999999993058112e-06,1.4160577300378294e-15,-1.20205877842934e-16,6.536954116926747e-18,4.012553619259195e-17,5.8077450713985424e-18
800,4.8833254883668346e-12,1.0220119930672818e-13,9.99989932450649e-09,4.639870845586815e-15,9.99922277057284e-11,2.2675949638840593e-14,8.298646894122012e-16,2.0355865644980386e-15,1.5999997013008886e-07,6.580556446177406e-16,8.999999609468706e-08,5.715029524593437e-16,1.9853773191836662e-15,1.399999999115683e-06,6.999999907357118e-10,2.2435983127799442e-18,1.391887236309146e-22,3.802989377391156e-22,-5.087751059777817e-19,-1.4112581089709282e-18,1.9999997862180023e-08,1.8493037377776932e-15,-2.6000420621125594e-19,-8.631978459884446e-19,4.968627428966863e-16,2.499998936541151e-09,2.3454174993794607e-16,6.470969372248469e-16,3.399999998144459e-06,4.645197668753009e-16,-4.697644703178845e-17,4.531406285052836e-18,3.861272255180764e-17,7.440367783683046e-18
900,4.839424745615738e-12,1.3057464656514495e-13,9.999872807182251e-09,4.930383222583356e-15,9.999121034384644e-11,2.4918344314463804e-14,7.861943439851158e-16,1.9656130816807757e-15,1.5999996815819973e-07,5.814234405568762e-16,8.999999708376355e-08,8.343763832622505e-16,3.531756711870099e-15,1.399999999027252e-06,6.999999643398569e-10,7.833062489213245e-17,1.2024598669881268e-22,-3.703284681268002e-22,1.0242567611015399e-18,1.0858786328065814e-18,1.999999723844196e-08,2.338235135181852e-15,-4.27845940296422e-19,-4.7349270469844e-19,5.755879926327477e-16,2.4999987590081467e-09,2.491376383249125e-16,1.4759593013405215e-15,3.3999999991894014e-06,1.7529057109877336e-15,9.167330821430666e-17,2.0054722605619638e-17,1.701314611240452e-17,7.637868472139376e-18
1000,4.860622456424209e-12,1.6076579932584682e-13,9.999851399749891e-09,4.5082272909892994e-15,9.99904147715004e-11,2.741963288089731e-14,8.93020448177882e-16,2.1516422725891547e-15,1.59999954020331e-07,6.549685621634767e-16,8.999999506482853e-08,9.189425166203833e-16,3.5472469098955134e-15,1.3999999985231768e-06,6.999999123812307e-10,7.645173182648197e-17,7.69325788315098e-23,-3.714611667908474e-22,-8.825481262525111e-19,2.6186672192085317e-18,1.9999999540444733e-08,2.468456000877363e-15,1.2981032055538437e-18,3.918214153776042e-19,-1.47884630664725e-16,2.499998089570463e-09,2.9751922956928736e-16,1.1736077716827211e-15,3.399999997543182e-06,2.14729698599393e-15,-8.646730185406883e-17,2.2706546172008708e-17,4.6292668358143406e-17,1.0602329204100048e-17
1100,4.82102290226878e-12,1.4563734643520627e-13,9.999846546981826e-09,5.60440171233957e-15,9.999203850682147e-11,4.1976599757663667e-14,8.510486781497951e-16,2.6257554018607035e-15,1.599999653637247e-07,7.125246660225619e-16,8.999999435625687e-08,1.0547370664795842e-15,4.7327932440636966e-15,1.399999998999687e-06,6.999999613534904e-10,7.409967171967637e-17,-1.321335020035164e-22,-1.1938422148140063e-22,2.8197046543457427e-18,3.4202695636535112e-18,1.9999999754734738e-08,2.6211259955342426e-15,-1.0589234427302265e-19,-4.740800133354749e-19,1.8165848642375843e-16,2.4999982246272293e-09,2.2611159254037617e-16,1.2949801033386526e-15,3.3999999982830423e-06,2.2869440250102687e-15,-9.601709885088376e-17,2.1500362858271947e-17,9.765483839475837e-17,1.0323958538146096e-17
1200,4.8073476118032966e-12,1.7639092679834391e-13,9.999816703459884e-09,5.439943623745283e-15,9.998912276613798e-11,3.568728876825314e-14,1.5073931808041092e-15,2.6895763604629143e-15,1.5999995530163195e-07,8.386088945813202e-16,8.999999405362936e-08,1.0064460568648243e-15,4.321545782875175e-15,1.3999999974314007e-06,6.999999006553069e-10,3.665143941635289e-17,1.3117636216888376e-22,3.558504257768661e-22,-6.787634064714026e-19,2.3349328472572146e-18,1.999999960785116e-08,1.1484694226798193e-15,-5.681159597889885e-19,5.150568029357924e-19,-1.7743829269819908e-16,2.4999974903653576e-09,3.0966217978319927e-16,1.5308100495849007e-15,3.3999999981591493e-06,2.260875787638465e-15,-1.6057324489890504e-17,3.215437782164245e-17,9.474088118447699e-17,1.2398250459758628e-17
1300,4.7900154986277595e-12,1.873672293640605e-13,9.999812131006007e-09,5.95760378506207e-15,9.998604971493857e-11,4.605209475499097e-14,1.6423795074546144e-15,3.2515946525062963e-15,1.5999993747151544e-07,9.945410220245206e-16,8.999999400533692e-08,1.0742475677074565e-15,6.380107198797033e-15,1.3999999992426625e-06,6.999999282705155e-10,4.845449904410816e-17,-1.8737944529312042e-22,2.786173079051514e-22,2.8906096556616883e-18,-6.870001748463923e-20,1.9999998990865908e-08,1.5002992183726712e-15,-2.8299858386188193e-19,1.0769387719526194e-18,-3.5324586757400795e-17,2.4999978843712803e-09,3.8369408505207304e-16,1.779914711722224e-15,3.3999999974848628e-06,2.44015471697716e-15,-1.0046898329640877e-16,2.1672961058060012e-17,1.8196371743414172e-16,1.0489239635811939e-17
1400,4.766304783542107e-12,1.831853994211483e-13,9.999781869433625e-09,6.518763958378602e-15,9.998817049519936e-11,5.609053197833918e-14,1.329562356708895e-15,3.4923806472223084e-15,1.5999994878817104e-07,9.296347998485845e-16,8.99999928894266e-08,1.0962959618620955e-15,5.499714844899709e-15,1.3999999974797116e-06,6.999998856757009e-10,1.0609712871968283e-16,1.0837612031748753e-22,2.996562307547067e-22,-9.611447389676311e-19,-6.357448668045158e-19,1.99999962987977e-08,2.5178208510379526e-15,-8.213910049834797e-19,-5.404764395576365e-19,-4.586816927835188e-16,2.499997695359192e-09,4.048876269005082e-16,2.338974747951807e-15,3.399999997701831e-06,2.4034857378508845e-15,5.499790071952894e-18,2.803725175360398e-17,1.4843383165833916e-16,1.2148455290540633e-17
1500,4.7802931491737175e-12,2.1392479057129705e-13,9.999762733257012e-09,6.429594038539752e-15,9.998862345023192e-11,4.958913850477999e-14,2.091397617451786e-15,3.789065244093644e-15,1.599999301469075e-07,9.673413583087532e-16,8.999999268703611e-08,1.367798358661022e-15,6.264267931284584e-15,1.3999999983246808e-06,6.99999892626882e-10,1.2249189843574022e-16,-1.7101348288694636e-22,-9.829596781113004e-24,3.862664955614841e-18,-1.3954953694819794e-19,1.9999998366527822e-08,1.29526653953452e-15,3.5327608629855596e-19,-3.4601341143748767e-19,-2.126320813706794e-16,2.499996768659672e-09,3.220964971393349e-16,2.4573468197117283e-15,3.3999999975447217e-06,2.486456838200779e-15,1.142888477381031e-16,4.254302575071246e-17,2.258504167782125e-16,1.458147253799232e-17
