miliseconds,s2,s3,s4,s14,s16,s13,s12
0,48000.0,2364.025695931478,320000.0,0.4710459552115907,0.00999999828527146,-0.005683525614213719,1.0126668046251874
100,48000.00000000001,2364.025695931478,320000.0,5.264507397211148,0.010000350888471801,0.03744782265206808,0.9510940150659319
200,48000.000000000015,2364.025695931478,320000.0,11.032936633187262,0.010000237719449565,0.09222471472549319,0.8971677319102257
300,48000.000000000015,2364.025695931478,320000.0,11.326586304650139,0.009999931992169309,0.14704659532305375,0.838859659078315
400,48000.000000000015,2364.025695931478,320000.0,21.042232735470925,0.0100006556585102,0.1906510619588474,0.811449710967872
500,48000.000000000015,2364.025695931478,320000.0,23.23212419434824,0.010000876643321594,0.21816396511010572,0.7657075811720115
600,48000.000000000015,2364.025695931478,320000.0,28.293434766295906,0.010001021400617396,0.24965894269256103,0.7191857814966395
700,48000.000000000015,2364.025695931478,320000.0,30.895851097932482,0.010000920924574956,0.28388857762339725,0.6700009250790238
800,48000.000000000015,2364.025695931478,320000.0,35.3496028678482,0.010001562579196375,0.3275347053071343,0.6446508893731173
900,48000.000000000015,2364.025695931478,320000.0,43.74303109162826,0.010001528551563364,0.3501148337778967,0.6146080049520041
1000,48000.000000000015,2364.025695931478,320000.0,44.746985610114386,0.010001801323070745,0.3924148110094412,0.5891277874649662
1100,48000.000000000015,2364.025695931478,320000.0,47.493255687937314,0.010002115224166632,0.42356355484409025,0.5445598330398373
1200,48000.00000000001,2364.025695931478,320000.0,54.68282398163875,0.010002590202995718,0.4360871904075034,0.5255632560212796
1300,48000.00000000001,2364.025695931478,320000.0,60.196333048593196,0.010003817367793304,0.473113154933716,0.49420540842427435
1400,48000.00000000001,2364.025695931478,320000.0,62.81520517509054,0.010003780845575235,0.47808797581419754,0.45647613895973915
1500,48000.00000000001,2364.025695931478,320000.0,65.85512723454836,0.010004495504301707,0.5042353750060463,0.45249666427362245
1600,48000.00000000001,2364.025695931478,320000.0,69.70658945150318,0.01000482672773614,0.5264979999117492,0.4305331125674102
1700,48000.00000000001,2364.025695931478,320000.0,74.598595998996,0.010005271156558847,0.5575961239212731,0.4128893226446902
