milliseconds,APCP,BCKI,Cdc20A,Cdc20i,Cdh1,CKI,CycA,CycB,CycE,Mass,pB,pBCKI,TriA,TriE
0,0.671626567840576,0.0,0.660586714744568,0.018553527072072,0.99923574924469,0.295407682657242,0.00994044542312622,0.166841372847557,0.077605128288269,0.587108433246615,0.00981487054377794,0.0,0.017153799533844,0.311726331710815
100,0.6549161807240573,0.0,0.6520971032571051,0.018876969401805582,0.9993852847540909,0.3373339078559338,0.007155428635463447,0.13507034473181648,0.06208386804602267,0.5874020436193546,0.010446319292424028,0.0,0.01657012310913235,0.3241907878109162
200,0.6380196046959068,0.0,0.6431970165932396,0.01940324899483394,0.9995014591603611,0.3876427955023939,0.005215502647483716,0.10946093181462328,0.050544695500407716,0.5876958008136571,0.010552295281918278,0.0,0.015596834945606245,0.3333378455730171
300,0.6209736852286981,0.0,0.6339294045506253,0.020142515134385176,0.9995946991570651,0.44327245088407236,0.0038338630138078796,0.0885932367282508,0.041634270160148375,0.58798970490601,0.010285532352696128,0.0,0.014456799226990757,0.3403811933439282
400,0.603807311582274,0.0,0.6243285432037178,0.0211049736739962,0.999670076786552,0.5025372513092405,0.0028511336432717107,0.07156073467800206,0.034828502369849614,0.5882837559698634,0.00976743450251812,0.0,0.013254469795280593,0.3457395833616643
500,0.5865449089478245,0.0,0.6144193069494797,0.022305746639966016,0.999730608510133,0.5639904315944133,0.0021536709527672365,0.05780201775948772,0.02966511933011595,0.5885779540787041,0.009093687748862852,0.0,0.012056392104800265,0.34979008165165165
600,0.5692071777122707,0.0,0.604217569945307,0.023764447243740466,0.9997791080718151,0.6263787315495493,0.0016562371953823328,0.04674781312411885,0.02573331421738316,0.5888722993060554,0.008337400440788841,0.0,0.010907448846083714,0.3528743401245205
700,0.551811217293634,0.0,0.5937306485756363,0.025503906527712557,0.9998179833150397,0.6886929102395914,0.0012970299872779392,0.03788845522221119,0.02270617330011016,0.5891667917254779,0.007551763474059801,0.0,0.009834886973717271,0.3552643187688618
800,0.5343710326252957,0.0,0.5829579893218416,0.027549676919671428,0.9998491767639086,0.7501566203495103,0.0010332201017105504,0.030797832590700045,0.02034233133779896,0.5894614314105686,0.006773916056136422,0.0,0.008851948010640603,0.357157996180619
900,0.5168980812244938,0.0,0.5718921600021843,0.029929591453492256,0.9998742318891674,0.8101868276388846,0.0008359148646640722,0.025127583510613376,0.018468927302048063,0.5897562184349613,0.006028590433613864,0.0,0.007962193147252326,0.3586940056004458
