milliseconds,mwf626e95e_543f_41e4_aad4_c6bf60ab345b,mwbbbce920_e8dd_4320_9386_fc94bfb2fc99,mw810ff751_fa4e_4143_bd50_169b3e325e1e,mw114aa90f_5f5b_4fe8_9406_361c8489b6a1,mw30ae63db_6cd3_4b6f_93ad_3350cd360bcc,mw03db56ac_8dc6_4931_ae82_fef706d2ee3d,mwf345ed7a_0622_403c_b816_c8749a2c9ded,mw1da111f2_a036_4392_8512_015005bdcbb7,mw9947742a_0e4b_4636_9a4b_b6eef2a8f6ac,mw80848184_e2dd_47ce_86d7_7a21479342bd,mwd2d9d93a_3bd1_4f17_bac1_baba9ef2d55a,mw4638f126_8cb8_4021_ab41_6ae195743ba0,mw10315fa3_6f13_4618_bda8_a8694bd3c374,mw0adf3eb4_a196_4c48_b10d_4e9e9faaf9e1,mw7d86cc23_a1af_44c3_bdb9_71e9b1bb2a83,mw0eb6c959_d408_45a0_a450_928b8c5876bb,mw42054cd7_17af_46da_970c_7f99151906ad,mw39c2e431_fdc3_4964_be29_6ca856620b1b,mw2e464cf3_a09c_4b7c_9f3c_06720016a48e,mw36ea78c1_ed71_4def_96d3_857a442d7195,mw147d30ec_478e_4090_b496_128a131d29eb,mwab41493c_6349_45f1_a226_3030cfed0e06,mwf405687b_7401_44ec_a0d6_4a2b35c13e8a,mw3667a5e1_02c9_44a0_acb4_b0431faa822d,mw772cbf20_3fc1_4800_ae59_77884f1ae333,mw2ba2b802_9f07_4f4d_94c6_24c8de1a95cf,mw7becb5fe_8da8_4285_a821_0d77ad811b62,mw8c9107e6_f51d_442d_b2dc_2bfdbb8482ca,mw824bc3d4_1ac3_4912_9b51_8f14ff1c96b9,mw6cce2109_0e32_4dd9_98ec_41173e8ef07d,mw2b255f94_8018_4b99_bde8_918eeac45446,mw48867e93_f170_44e8_ac7a_185b23e1bf3b,mwd31f52cc_04e7_40e0_885f_c7b2d9e62215,mw2c9b0499_3325_4394_8af3_bbf653a944a0,mwd65b5b39_dc1b_4e77_a999_67277a880e5e,mw6335d5d7_c7b0_4bc0_b883_f7ee4915c2c3,mwf7796221_1fea_4274_a93e_c00adbf5778c,mw5d764bb8_5693_4ac8_9557_f65992cc5eb0,mwedc1bc00_adf7_4144_a1c2_7dc1a9565dc2,mwbc2f5464_81e5_43fd_8b39_f5a2756af72f
0,0.0004272085905722683,3.8996922372604335,0.08798303950725331,221.06367449415416,4.17672656625367,0.0011003450458819397,-4.469870042722179,-0.08675570201213988,-7.396194506880208e-29,0.38889051489572884,6.611520966285586e-05,0.0009758668780659365,0.4482221909104561,0.0006837529864043792,1.6250119538373176e-05,0.7653029075813562,0.7775736487583,9.222467088537377,6.019444617095866,409.7754282799155,5.589872245030142,0.11707091705857414,-0.07665146348923015,0.5508415610537296,0.010787937251345374,-2.9963230074797726e-29,0.0012941987335482793,0.3750387780081851,8.503517032608455e-05,0.9805703870295165,0.610743174754911,9.389339674433618,5.962795746281892,0.009447709262507748,5.5687859689657095,0.13586982943282774,0.5971229628352803,-0.08915615654822738,-1.2046411733872768e-28,-0.021824173520842313
100,0.0004343154560911066,3.899792992707538,0.08710910420738256,221.0636956026901,4.201550287811749,0.0010899568483573843,710.8767513232008,0.24467324481300687,-7.100075290594283e-29,0.3889388865651497,6.580348453083366e-05,0.000982502106046927,0.44466320656523994,0.0007788489674097827,1.6078320300781426e-05,0.7653609767301898,0.7774962373299078,9.222428519638665,6.075647983815436,409.7752883098916,5.5900648764044085,0.11698953720181048,0.037456326044057964,-0.7992159843637487,0.0033804986013447344,-3.4690372062864556e-29,0.0013002085289813634,0.37475691385666077,8.511585984268001e-05,0.9804788887429263,0.610693563014128,9.389436334196672,6.153619583944824,0.00920754644177596,5.570630780247997,0.13686669293241302,-0.14980552187495635,0.0019757040292535336,-1.1984825432690614e-28,0.009214945362654237
200,0.0004585066297913293,3.8997243455970154,0.08698400336398424,221.063742006834,0.03545120861904156,0.001093206800829924,701.8782684757383,5.020802704805071,-6.787809685761498e-29,0.3888880172596321,6.551798397184793e-05,0.0009750480486551198,0.33041145882026274,0.0008169475028223676,1.5115388498889273e-05,0.7655060261576115,0.7774852466538552,9.222470763345099,4.394136848786915,409.7754323774913,5.589572280564148,0.1167180017194544,1.2388727322303152,-0.22744788411476086,0.09884136146503947,-4.040335529155066e-29,0.0012841753162550517,0.37475270696975,8.333864756815218e-05,0.9804174209777755,0.6106700389703514,9.389413764173241,4.970252985368897,0.009597762388267806,5.570683364682833,0.13701718761361734,-0.8124012565640376,0.7725459101614566,-1.1851007041932255e-28,0.049944632049413074
300,0.0004618156768615141,3.89990774270736,0.08766245077950675,221.06367589195483,-0.025027019173571308,0.0010820094425959441,691.9284988083285,6.175640987508668,-6.479342989403123e-29,0.38900239005020754,6.526189977951542e-05,0.0009640413989930772,0.22364634484745946,0.0008400573257380927,1.3370663885570821e-05,0.7654846101211131,0.7774868857191944,9.22249134694587,2.645626624441018,409.775482582947,5.589533572371748,0.11698088684760741,2.575102619837864,0.10211625287975924,0.19769481947476283,-4.4383889377498377e-29,0.0012453488559597795,0.37470113666597427,8.170678456113728e-05,0.9802383673768307,0.6105913116405808,9.38933800470818,3.6913575330388455,0.009723995148861983,5.569913716280178,0.13639820433779387,-0.5877364988268202,1.5357825658902065,-1.1670429782345088e-28,0.07545917610347169
400,0.0004797543354781855,3.900484186019731,0.08658585655919117,221.06374247646926,0.08070084470788774,0.0010794113249164628,690.040192205475,6.724655129742365,-6.333746370488297e-29,0.38902344094681485,6.500203969171966e-05,0.0009619841784080203,0.11252319927605067,0.0009137218422688452,1.0863246319045602e-05,0.7654241327049107,0.777536539993272,9.22245068987058,1.321658198709331,409.77549914781395,5.590271646247252,0.11632411866480331,3.887174507726277,-1.1777055939354357,0.3386321041980591,-4.762997174297572e-29,0.0012061022263084318,0.37532118244343343,8.007905264572543e-05,0.9801039265808756,0.6107620952972136,9.389441400211767,2.754105308728208,0.010448366037451442,5.5709131054910666,0.1350622009463263,0.0434024571021357,2.223364530941555,-1.1470725530034042e-28,0.09518528431277656
500,0.0005147265203060414,3.900217483656223,0.08742454479862981,221.06365738607045,-0.04189983620104052,0.0010843543728817884,683.792389688076,7.227175216348315,-6.190500272478156e-29,0.38898175342003943,6.513385539913202e-05,0.0009647360576022785,0.00016390901933393317,0.0010147507218892368,8.408384147896071e-06,0.7654422298582928,0.7775036545181573,9.222409449312641,0.14800489462161825,409.7753398043567,5.590111383341768,0.11584496259976385,5.210174299550608,-0.8510085099868347,0.4348137856478921,-5.140783983174577e-29,0.0011797231508117328,0.3748442000469399,7.798978162335739e-05,0.979978470990727,0.6107779397342156,9.38923070102368,1.8444630405879412,0.011840447181356172,5.572691027884417,0.1349771304518059,-0.04978570903826643,2.8470047578512334,-1.1083630595484528e-28,0.110928172051114
600,0.0005212304234361946,3.900657198822593,0.08659479750366063,221.06371535418538,-0.05569391745518422,0.001067907542678522,683.7322510959854,6.9657071869877445,-6.117059593014987e-29,0.38902177750335953,6.473339268786068e-05,0.0009539516168640618,0.005711028144727545,0.001200581242036581,6.610797786293694e-06,0.7652747324176005,0.7774969429558538,9.222446387508851,2.760085210066869e-05,409.7754457402347,5.590300976396023,0.1162611455981158,5.277171736724175,3.4236468951574164,0.4493890245874962,-5.409444678438497e-29,0.001154326474252916,0.3754638210027178,7.630144774672678e-05,0.9796838090243333,0.6106395203555042,9.389399859135166,1.169670590770333,0.012811283375697528,5.572566229871157,0.13235310544178028,-0.5786042196655021,3.619935500661286,-1.1048047399187922e-28,0.09268640368781944
700,0.0005531370513734457,3.900904306257162,0.08713690009814044,221.06373977228196,-0.05614747789409903,0.0010656820927092186,689.6468400797111,7.63108478585862,-6.037973596560426e-29,0.3890342421101778,6.442200801073636e-05,0.0009521298405452174,0.0017388072547045957,0.001285028038510607,5.962997482400327e-06,0.7654344371329441,0.7775420281412564,9.222470748527043,-0.0054686489404748365,409.775392223856,5.590212723070513,0.11488932520977252,5.248996371510648,1.9461598514953946,0.46886474789507293,-5.835792724100939e-29,0.0011073693870027176,0.37558763099525483,7.455416838868245e-05,0.9797945889639348,0.6108192464383115,9.389220360419515,0.4496930419321499,0.013704672635166755,5.575016622626022,0.1316018429876655,0.5477100140137301,4.289719292695282,-1.0771048082390665e-28,0.16529151268525322
800,0.0005798518369025284,3.900933603365822,0.08551044419768981,221.0637459129179,-0.017526781150869475,0.001059638571086711,687.4349044993763,7.484881643210777,-5.975518792482867e-29,0.38913899191741236,6.426094554410048e-05,0.000957367252710715,-0.005310433737469675,0.0014194331740951074,5.886430469295249e-06,0.7652212114692765,0.7775065798036824,9.22244756354419,-0.015020503745302399,409.7753362838972,5.590512578631979,0.11550376147785615,5.078808490111228,5.426823378070981,0.4772172703478771,-6.019498448301922e-29,0.001088211841306845,0.37572338716999915,7.404185816068431e-05,0.9793596813532306,0.610685541736382,9.38939987201245,-0.11524794554398687,0.015099903542233815,5.575700014313193,0.13091358713827478,-0.3243169379062631,4.467864464284914,-1.065741697411282e-28,0.14820772094634535
900,0.0006114683797620264,3.9014146051843834,0.08552734801195955,221.06371802487928,0.01751126921113735,0.0010716545201871132,676.1175236037483,7.584299512933932,-5.920519021030037e-29,0.3890826695045238,6.454974731947388e-05,0.0009485224537464757,0.0019590346967094767,0.0016462818633613077,5.822404572339343e-06,0.765271450205211,0.7775677143548694,9.222412669329891,-0.09143652160156318,409.77513525667945,5.5903688853525795,0.11569494226311328,5.157710433403444,5.7589000992612895,0.4730649999696648,-6.256171898402718e-29,0.0010816283492368702,0.37567286715385884,7.268366780079202e-05,0.9796291566353409,0.6105636256398641,9.38931432262455,-0.058366664520645095,0.015751163767281577,5.576905538698743,0.12743495964360352,0.48858261274989645,4.50785230216338,-1.042802886864918e-28,0.16641322575947748
