miliseconds,R,LR,G,Gt,Gd,RG,Gbg,LRG,LRGt,RGd,RGt,LRGd
0,847.7087126225592,0.0,522.6832110146161,0.00031342065815598226,-0.00014946713973190348,2.770440262109149,-0.020712495375489286,0.0,0.0,0.019082096471753095,-0.015787131554334092,0.0
100,688.2264300427388,0.0,363.9651218888877,0.023446613127299516,0.04769712887867752,153.5308350259475,0.08002267626820776,0.0,0.0,0.04013724902644907,0.019562314547076763,0.0
200,599.3224886183499,0.0,270.63598164458534,0.03426097772003295,0.07098410366873788,241.44143586516643,0.21400675952521925,0.0,0.0,0.04896914028474569,0.014559335888908693,0.0
300,541.555439858009,0.0,212.21147790948433,0.039741701837445687,0.08356560758852671,305.6897195748508,0.2871434612851882,0.0,0.0,0.13791783556962775,0.06953442861977029,0.0
400,490.86686075904566,0.0,170.7474230011124,0.04290568108737344,0.08852342927507288,349.15487995235776,0.3840411273577514,0.0,0.0,0.19257641955601565,0.10137583605781483,0.0
500,464.1327463615668,0.0,141.1298915937579,0.043617934956024,0.08967049791563915,380.2213158443704,0.515314351424096,0.0,0.0,0.22692875256056003,0.12019688461686122,0.0
600,439.7125720301837,0.0,116.30054473803044,0.044171624487603305,0.09048216828721195,399.70241241043584,0.5516601227467062,0.0,0.0,0.29883613311692747,0.13332545056994272,0.0
700,422.13363608003453,0.0,100.33219657717608,0.043406439567359456,0.08868669648959045,422.1323458538801,0.7199089367608494,0.0,0.0,0.3960582953287721,0.1589624146373938,0.0
800,407.0772165862842,0.0,86.53170362154,0.04350041105353648,0.08639937009100096,429.3042704477033,0.7996452947511464,0.0,0.0,0.45094426377236946,0.2010911470017326,0.0
900,403.3618090089547,0.0,79.99036735947344,0.04259264210618234,0.0843913633152853,446.73521097459053,0.8851407072915825,0.0,0.0,0.4990552129360966,0.23618486535655203,0.0
1000,393.1813901768088,0.0,65.79914471275848,0.04117494247401584,0.08274577020401074,454.6254832316938,0.9895622687832095,0.0,0.0,0.5454290999878935,0.2852638830154496,0.0
1100,379.49051440859205,0.0,61.60706936443561,0.04130727881195029,0.0798099022005906,462.1975058513611,1.0310140074302894,0.0,0.0,0.6136093704179199,0.3019361334427589,0.0
1200,379.78145018830605,0.0,59.36207442633202,0.04087526207109211,0.07836252482563019,462.4119202718863,1.0894470124666207,0.0,0.0,0.6548265387248615,0.33882551291999363,0.0
1300,369.4299685643854,0.0,46.05425895937411,0.04062663141034834,0.07641323644570737,469.93869133782727,1.2348015017392944,0.0,0.0,0.750041544852535,0.3587655764344156,0.0
1400,372.3709316028317,0.0,48.502511194040956,0.0407435384514436,0.07534751736946158,476.2168476645896,1.2737382868708416,0.0,0.0,0.7978488340580997,0.38199772300066276,0.0
1500,363.4305267866081,0.0,40.008636375023,0.04055448649084036,0.07483277536822902,473.753534099854,1.373657250585709,0.0,0.0,0.8176555387631517,0.39924629322833344,0.0
1600,368.67672841750243,0.0,41.80872317566799,0.03965198073236697,0.07427959739100057,478.16272944693674,1.4562678648087628,0.0,0.0,0.866692243076162,0.44896114901180284,0.0
1700,363.64339279648027,0.0,36.314328412516396,0.040550765813390205,0.07293832718010794,480.63215895051246,1.50851296279596,0.0,0.0,0.9216512517894935,0.4626749288946122,0.0
1800,363.52696047515786,0.0,37.500715758789305,0.041320659782103024,0.07302302179035436,484.23301296245995,1.5340265357792326,0.0,0.0,0.9449059287214795,0.4957512585633426,0.0
1900,363.8150629450209,0.0,36.18576533835048,0.04200142679011121,0.0725372986728129,480.4122487645188,1.6557937818290656,0.0,0.0,1.0001640444691555,0.5128905394467221,0.0
2000,357.547383282432,0.0,34.05442024351053,0.041778277828330934,0.07332056593831256,481.2279432633982,1.6696776901064596,0.0,0.0,1.0171566548629787,0.562037572371692,0.0
2100,358.2200067628982,0.0,38.085738913115954,0.04247234348627408,0.07347795358057013,484.1872040940075,1.7636488541694015,0.0,0.0,1.070313012535971,0.572702868549618,0.0
2200,352.44197158965994,0.0,33.5428580135589,0.04376803200078038,0.07322872101899112,483.14569979508786,1.8354988048118874,0.0,0.0,1.088298584125128,0.604754399406167,0.0
2300,357.9091239964116,0.0,30.762659996473147,0.04504196369128211,0.07409900244088762,483.4993655807334,1.878423312522815,0.0,0.0,1.1205052527006067,0.6102811648123839,0.0
2400,358.2078306252017,0.0,36.52516509728357,0.04502374102664635,0.07403595113245146,485.4438288824299,1.9230158733937888,0.0,0.0,1.1318224289878551,0.6354731788849914,0.0
2500,357.0103443526177,0.0,36.08512911741081,0.047112100238317633,0.07475387580608485,484.12220119468196,1.924508135077934,0.0,0.0,1.1474771900878218,0.6769916746045453,0.0
2600,354.98053615157266,0.0,29.42409364492309,0.04781442641324399,0.07520535512748149,491.0098899839605,2.021410041065028,0.0,0.0,1.1676762879093214,0.7097499093371752,0.0
2700,350.94001927416895,0.0,30.545754052065888,0.04837191959400266,0.07522074717049716,487.3133737456031,2.055434836052603,0.0,0.0,1.2080142292411873,0.6994092881752146,0.0
2800,351.19195942852315,0.0,28.44465950219752,0.04930116263788063,0.07547306979121565,484.3588303915955,2.102845162571662,0.0,0.0,1.2079392907525541,0.7270647965871586,0.0
2900,353.9378476356933,0.0,27.284647954214783,0.05118346181605575,0.07607782197304168,491.07511536365917,2.103185097881814,0.0,0.0,1.2568673168704743,0.7483666870078038,0.0
3000,355.8978119690099,0.0,34.36195463169819,0.052810773686563194,0.07702624780603767,488.53486219038945,2.1329393441872657,0.0,0.0,1.2418314243295092,0.8015018278960121,0.0
3100,349.33309020078656,0.0,27.083559441732895,0.054060413590635494,0.07787333482931981,487.79201954888873,2.227009399051925,0.0,0.0,1.2503564613119957,0.8153390040358026,0.0
3200,351.10919942675986,0.0,31.942121832058927,0.05539104988084851,0.07784733250801315,483.6551780847798,2.2356186738130965,0.0,0.0,1.2585479471914987,0.8116314179439849,0.0
3300,355.71796504130305,0.0,30.41224496658592,0.05550551647718913,0.07850982416237577,487.5529735406852,2.2920208662470514,0.0,0.0,1.2695868463604831,0.861779426264502,0.0
