miliseconds,M,FC,FN
0,5.592639966585015,2.2650088737437213,0.9588408705635495
100,5.743348828247721,2.3159747882404624,1.0095446811526991
200,5.636869552260683,2.4505862412707993,1.069981520376161
300,5.788378111634507,2.50480966780785,1.1343583328302287
400,5.6960731974807794,2.6164635322847496,1.1969221876984915
500,5.691308521541242,2.729398605966559,1.2509026584005662
600,5.818394328866248,2.8065273515798896,1.3217211350870248
700,5.797965571008386,2.8900418873645433,1.3824812064681353
800,5.653496252049841,2.9817794992682214,1.4382070184190512
900,5.650147713331331,3.105574416319108,1.4942887871467945
1000,5.714305371171382,3.1785282763192746,1.5742120227546281
1100,5.665991095398527,3.2780782461634543,1.6275480066571826
1200,5.653711177771698,3.357605989156412,1.6956935295663838
1300,5.589515931565905,3.4482675792701154,1.7621091219681613
1400,5.613821404764594,3.47688214869844,1.8276850782467562
1500,5.49225397501172,3.5717818329186013,1.9021440298417438
1600,5.424951084380084,3.6626922989062307,1.9559352622759307
1700,5.472344783834718,3.6938672798270673,2.01679388467671
1800,5.451980192968593,3.796153394173221,2.0793690796246285
1900,5.41853808215898,3.8685699361230323,2.162276514209463
2000,5.262547384374339,3.9302993352844826,2.209759906164433
2100,5.23658884573969,4.025662829816305,2.2870243819478984
2200,5.295022599226045,4.080411927151181,2.3545610911453942
2300,5.204167478533645,4.124904373673824,2.4037199326568497
2400,5.214520886366273,4.191727519409203,2.4730983106530897
2500,5.190325059150159,4.267482904288954,2.5396019511678842
2600,5.091654620488265,4.339119663456386,2.578180168069317
2700,5.049408458746999,4.346254282844383,2.6466142352143467
2800,4.973675043535062,4.423339233037015,2.701971609717028
2900,5.017871720832341,4.494332115625734,2.771033120727105
3000,4.99437452359302,4.5358939405683225,2.811317117957964
3100,4.878738754972612,4.57366136486621,2.890278683527483
3200,4.9038156768097645,4.665951319908207,2.9288106183284053
3300,4.783323301136552,4.682767558373772,2.9930095080148647
3400,4.684796096229543,4.724477524424314,3.0544717248788316
3500,4.746258554701128,4.763742873905305,3.1008076599733556
3600,4.603219272386645,4.799371982109634,3.15504440053114
3700,4.573335414622748,4.859738026046098,3.196289898306936
3800,4.541391323783345,4.89732055244823,3.2455724489943725
3900,4.599559377611266,4.931514826904704,3.310660318052038
4000,4.5357240354171395,4.985110114138376,3.3553102314776244
4100,4.374172507503268,5.063479628623549,3.391559327081613
4200,4.374713093082418,5.085782746922508,3.435611243020445
4300,4.355581619909382,5.124942562017427,3.5040211789717612
4400,4.239500955313435,5.136285898099712,3.533692896471092
4500,4.3020966856852505,5.143563631374175,3.574662585441784
4600,4.1711133339941275,5.192716025363562,3.6278104906993742
4700,4.115004519938672,5.235609647267244,3.662417081153779
4800,4.112269802110925,5.299007760682112,3.7023420975573322
4900,4.07456682723514,5.2900703184801126,3.7594932166257786
5000,4.11294767184277,5.302571440706908,3.7891956950269687
