miliseconds,M,FC,FN
0,1.9140358507445547,5.189101927040754,4.501790576178231
100,1.8655658698098954,5.153848806635567,4.483419267824429
200,1.8336172643387236,5.1190300217975935,4.47320733878856
300,1.7752734871362903,5.0880634120745105,4.449025429517694
400,1.7533391723963143,5.050374004699408,4.445995970321037
500,1.7147496855382562,5.024003487127429,4.429669412389917
600,1.6637081568147625,4.981943390431191,4.4071294056796075
700,1.614063448857737,4.952727538765257,4.398136767091151
800,1.610083243981035,4.905276306380063,4.387080832444826
900,1.5642788169548136,4.870331502180909,4.371627162800784
1000,1.5552783946088662,4.823780761133708,4.346674599533889
1100,1.5145848028034297,4.790247505681428,4.335532326929996
1200,1.4416420256580975,4.740585135217824,4.303151819043087
1300,1.3955805675257216,4.699572165778525,4.272153051110317
1400,1.3803054896532272,4.656162893019651,4.260273040134734
1500,1.3610327804241082,4.616847747916216,4.2451256591991635
1600,1.289807281741504,4.563540920721343,4.2222254318446995
1700,1.2782029281486418,4.526361244098681,4.180167499993913
1800,1.2270593420102318,4.477820478119779,4.159335735881433
1900,1.1840696101614723,4.421797997718309,4.131815430349389
2000,1.1766181087772292,4.37309216417778,4.10173414246977
2100,1.132983133029911,4.320155669872197,4.083462357894662
2200,1.0695894666419967,4.272903123024411,4.046563755906508
2300,1.0433241638558972,4.221444690569451,4.023332590552215
2400,1.0057505052500197,4.1738354644666975,3.9904799214410933
2500,0.9787539357949648,4.113851038627517,3.960228658652779
2600,0.9392099454586605,4.067201055634073,3.9272613246410835
2700,0.9349034358055772,4.0049084138538555,3.8937970600062397
2800,0.8744702757154439,3.9486348555319646,3.8555590494068364
2900,0.8393776893378494,3.8909206199826967,3.832382872641576
3000,0.8479556190153134,3.8304938396242396,3.802507257281615
3100,0.8148962826426139,3.7834491971217297,3.7520636210195812
3200,0.7633921428616625,3.7162360253943865,3.7244125270804993
3300,0.7556138897883883,3.6539776664641126,3.68319907026237
3400,0.7107610330265834,3.5977509240423924,3.6349527054014126
3500,0.7138032110308509,3.54252168866592,3.602666560466042
3600,0.676460786611108,3.4778234963025025,3.555059845308853
3700,0.6147374958423288,3.4134631969964966,3.5347017732948682
3800,0.6154919604726309,3.353306896906543,3.48750791732341
3900,0.6009482933421761,3.2886162126372844,3.441757259527725
4000,0.5565517119223797,3.2295689985838556,3.393735765234546
4100,0.5024676454100194,3.15770408992474,3.3629296596930685
4200,0.536629683534526,3.098254146322842,3.32084764725655
4300,0.4707737875074656,3.0360113570075695,3.264598623092753
4400,0.4406284763146332,2.9628507274425653,3.2156733525161116
4500,0.42672545789731003,2.903087091598618,3.17459968755006
4600,0.39565331853617675,2.8329323965078155,3.1223846717979082
4700,0.3858443166932991,2.7638187626306565,3.0767121622072664
4800,0.39367144780695207,2.6913596156447057,3.0390073124862114
4900,0.34041980342110845,2.6285436819891865,2.9878170697121247
5000,0.3366335104014147,2.562783374777986,2.9498951503991635
