milliseconds,IIa,VIII,VIIIa,APC_PS,IX,IXa,XIa,XI,XIIa,VII,VIIa,X,Xa,IXa_VIIIa,V,Va,II,F,Fg,P,XF,XIII,Pg,APC,IIa_Tmod,PC,Tmod,TF,VIIa_TF,VII_TF,Xa_TFPI,TFPI,PS,VKH2,Va_Xa,CA,XII,K,ATIII_Heparin,Xa_ATIII_Heparin,VK,VKO,Pk,FDP,D,TAT,VIIa_TF_Xa_TFPI,XIIIa,IIa_ATIII_Heparin,IXa_ATIII_Heparin,VK_p,C_warf,A_warf
0,0.0,0.7,0.0,0.0,89.6,0.0,0.0,30.6,0.0,10.0,0.0,174.3,0.0,0.0,26.7,0.0,1394.4,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,60.0,50.0,0.0,0.0,0.0,0.0,2.5,300.0,0.1,0.0,0.0,375.0,0.0,0.0,0.0,1.0,0.1,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.47540983606557,0.3693060283812058,0.07326612304196575
100,0.0,0.7,0.0,0.0,89.59847087187177,0.0,0.0,30.6,0.0,9.999295954129,0.0,174.2981529985449,0.0,0.0,26.7,0.0,1394.391788911738,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.99823577182627,50.0,0.0,0.0,0.0,0.0,2.5,299.99708576685543,0.09882635499626072,0.0,0.0,375.0,0.0,0.0,0.0,1.0000063560655967,0.101167232744998,450.0,24.152582537644182,0.0,0.0,0.0,0.0,0.0,0.0,115.47540984856461,0.36926466526964813,0.0662939311423989
200,0.0,0.7,0.0,0.0,89.59393560195032,0.0,0.0,30.6,0.0,9.997216285060501,0.0,174.29267224353768,0.0,0.0,26.7,0.0,1394.3674147614422,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.99300812869693,50.0,0.0,0.0,0.0,0.0,2.5,299.9884375490511,0.09767929440969911,0.0,0.0,375.0,0.0,0.0,0.0,1.0000249124961362,0.10229535031299432,450.0,41.17325603046645,0.0,0.0,0.0,0.0,0.0,0.0,115.4754099345526,0.3691571033196839,0.05998522821476642
300,0.0,0.7,0.0,0.0,89.58647123485,0.0,0.0,30.6,0.0,9.993808818567024,0.0,174.2836468308644,0.0,0.0,26.7,0.0,1394.3272607893027,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.98441316310652,50.0,0.0,0.0,0.0,0.0,2.5,299.974195069442,0.09655832767730341,0.0,0.0,375.0,0.0,0.0,0.0,1.0000549271309935,0.10338527334131642,450.0,53.16738930132915,0.0,0.0,0.0,0.0,0.0,0.0,115.47541016344347,0.3689897819572681,0.05427687843344561
400,0.0,0.7,0.0,0.0,89.57615332121928,0.0,0.0,30.6,0.0,9.989120225999281,0.0,174.2711641607888,0.0,0.0,26.7,0.0,1394.2717030255515,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.97254502268677,50.0,0.0,0.0,0.0,0.0,2.5,299.95449539788217,0.09546296529526467,0.0,0.0,375.0,0.0,0.0,0.0,1.00009569032652,0.10443790803265683,450.0,61.61987321919047,0.0,0.0,0.0,0.0,0.0,0.0,115.47541060039072,0.36876852815939115,0.04911174803150255
500,0.0,0.7,0.0,0.0,89.56305592492686,0.0,0.0,30.6,0.0,9.983196038878264,0.0,174.2553099445622,0.0,0.0,26.7,0.0,1394.2011103138148,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.95749592298509,50.0,0.0,0.0,0.0,0.0,2.5,299.92947296123936,0.09439271973389397,0.0,0.0,375.0,0.0,0.0,0.0,1.000146523416531,0.10545414596818532,450.0,67.5759595144126,0.0,0.0,0.0,0.0,0.0,0.0,115.47541130646823,0.3684986134466263,0.044438146773641655
600,0.0,0.7,0.0,0.0,89.54725163398402,0.0,0.0,30.6,0.0,9.9760806658364,0.0,174.23616821539517,0.0,0.0,26.7,0.0,1394.1158443533982,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.939356164859745,50.0,0.0,0.0,0.0,0.0,2.5,299.8992595602585,0.09334710626630263,0.0,0.0,375.0,0.0,0.0,0.0,1.0002067772132397,0.10643486396076883,450.0,71.77253852195602,0.0,0.0,0.0,0.0,0.0,0.0,115.47541233885211,0.3681848079364395,0.040209298233625894
700,0.0,0.7,0.0,0.0,89.52881157291888,0.0,0.0,30.6,0.0,9.967817409618474,0.0,174.21382134128356,0.0,0.0,26.7,0.0,1394.0162597501017,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.91821415332408,50.0,0.0,0.0,0.0,0.0,2.5,299.8639843893727,0.09232564366369714,0.0,0.0,375.0,0.0,0.0,0.0,1.0002758306698678,0.1073809239450951,450.0,74.72998521970229,0.0,0.0,0.0,0.0,0.0,0.0,115.475413750988,0.3678314275010185,0.03638287764743288
800,0.0,0.7,0.0,0.0,89.5078054168876,0.0,0.0,30.6,0.0,9.958448484760284,0.0,174.18835003994053,0.0,0.0,26.7,0.0,1393.902704076412,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.8941564183693,50.0,0.0,0.0,0.0,0.0,2.5,299.8237740598361,0.09132785480225207,0.0,0.0,375.0,0.0,0.0,0.0,1.0003530896319417,0.10829317289741279,450.0,76.81366469796127,0.0,0.0,0.0,0.0,0.0,0.0,115.4754155927521,0.36744237669727253,0.03292059119914883
900,0.0,0.7,0.0,0.0,89.48430140724805,0.0,0.0,30.6,0.0,9.948015035891611,0.0,174.15983339549132,0.0,0.0,26.7,0.0,1393.7755179395167,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.86726763747381,50.0,0.0,0.0,0.0,0.0,2.5,299.7787526256396,0.09035326720199349,0.0,0.0,375.0,0.0,0.0,0.0,1.0004379856520722,0.10917244278060032,450.0,78.28146139506731,0.0,0.0,0.0,0.0,0.0,0.0,115.47541791060698,0.3670211884535102,0.02978778709140114
1000,0.0,0.7,0.0,0.0,89.45836636826876,0.0,0.0,30.6,0.0,9.936557156262985,0.0,174.12834887658357,0.0,0.0,26.7,0.0,1393.6350350557336,0.0,8945.5,0.0,0.0,70.3,2154.3,0.0,0.0,59.837630659320695,50.0,0.0,0.0,0.0,0.0,2.5,299.7290416116668,0.0894014134853184,0.0,0.0,375.0,0.0,0.0,0.0,1.0005299748933405,0.11001955051782215,450.0,79.31568575551918,0.0,0.0,0.0,0.0,0.0,0.0,115.47542074774975,0.3665710595769468,0.026953107571675565
1100,7.240024542267726e-22,0.6999999999943045,2.276780112638971e-12,6.096895465369816e-20,89.43003806283053,4.902749065117853e-21,1.9905563270583992e-21,30.6,0.0,9.924101317676564,3.989052773249466e-23,174.09393889198043,7.384325630980621e-22,1.773528065147155e-23,26.7,8.684289858244975e-18,1393.4814333938357,5.825077612866356e-14,8945.5,1.8974351874669925e-15,1.299397125753143e-34,70.3,2154.3,4.4826583399699736e-21,6.5429436819432145e-21,59.80529470459294,50.0,0.0,0.0,0.0,-3.1821517456082343e-24,2.5,299.6747072328872,0.08844311529536579,6.476527178066655e-24,0.0,375.0,0.0,0.0,0.0,1.000625636800919,0.11086693880076344,450.0,80.04618284436312,1.9763493609078346e-37,1.0951896971476393e-20,0.0,7.704234095311204e-20,0.0,0.0,115.47542413890726,0.4041221625067672,3.643728848386766
