milliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.09984921962794185,0.1005046792580123,-0.00011640241795811986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011070629245367278,6.348720963603712e-07,4.4962662812730246e-06,0.0,0.0,0.0,0.00021931434861119725,0.0,0.0,0.0,0.5
100,0.08152627723925558,0.04398001371870995,0.018661877201868564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03828080297506624,0.00015832303175225223,1.9875022272827417e-05,0.0,0.0,0.0,-0.000186630637284011,0.0,0.0,0.0,0.5
200,0.07385346922034322,0.021444105578770373,0.025795384462067958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054398823451803385,0.0002584111702947897,2.9990603483016532e-05,0.0,0.0,0.0,0.0003330862414920251,0.0,0.0,0.0,0.5
300,0.0705062099092216,0.009751416196546884,0.028786013284916832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06206322679066353,0.00033169247139210446,9.854828267123762e-05,0.0,0.0,0.0,0.0007951872038728483,0.0,0.0,0.0,0.5
400,0.06919911910002163,0.004361697217069401,0.03031223251666071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06585057291907118,0.0003988672517815529,0.00016195902837964107,0.0,0.0,0.0,0.0008569512435195048,0.0,0.0,0.0,0.5
500,0.06819636185208572,0.0019048537467428375,0.030509035231312223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752022743962191,0.000429247995918017,0.000205181285856005,0.0,0.0,0.0,0.0012910979797272246,0.0,0.0,0.0,0.5
600,0.06813131838666317,0.00154848629972493,0.031075775801863777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829360627610259,0.0004589983103573221,0.00029832356535752644,0.0,0.0,0.0,0.0017553197624516688,0.0,0.0,0.0,0.5
700,0.06799468869367786,-2.6119671246692465e-05,0.030981310255490318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06889399363811355,0.00048364705120392687,0.00034014014689562913,0.0,0.0,0.0,0.0026503282224268608,0.0,0.0,0.0,0.5
800,0.06776398570784696,0.00017718450010692537,0.03109609694956873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06918672566150291,0.0005102397991547519,0.00041741508384151676,0.0,0.0,0.0,0.0030398129239606053,0.0,0.0,0.0,0.5
900,0.06759660081866561,0.00029083932472068566,0.03126798627845731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06914176097944685,0.0005252408971414032,0.00047595527932848327,0.0,0.0,0.0,0.0035298843162483804,0.0,0.0,0.0,0.5
1000,0.06744584150015383,-0.0004674281017928104,0.03092111250876208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06906597027952625,0.0005324934251122319,0.0005720655406509634,0.0,0.0,0.0,0.0038180489611553204,0.0,0.0,0.0,0.5
1100,0.06778402479253914,0.00031017693649741754,0.0312394700905466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06902820636936334,0.0005531162197372388,0.0006140392480272303,0.0,0.0,0.0,0.004263879468977357,0.0,0.0,0.0,0.5
1200,0.06786991384277596,-0.00048262653733309593,0.03118951482555538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06914569917289326,0.0005563381802071618,0.0006820911094518328,0.0,0.0,0.0,0.004809314574787522,0.0,0.0,0.0,0.5
1300,0.06741865065602158,-0.00038366354769611027,0.031185268349279923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693374512927767,0.0005680180908695479,0.000740848259767758,0.0,0.0,0.0,0.005596199531479721,0.0,0.0,0.0,0.5
1400,0.06741492920391737,0.0006442089313035823,0.031129574347358798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06860122964992464,0.0005748982880480241,0.0007929443319974967,0.0,0.0,0.0,0.005812439091931206,0.0,0.0,0.0,0.5
1500,0.06788768726105907,0.0001437832598499748,0.0312682788052812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06902606528536626,0.0005723473351647332,0.0008549585939835836,0.0,0.0,0.0,0.005988763657976471,0.0,0.0,0.0,0.5
1600,0.06772297629570452,-0.00011211384220860256,0.031081217118213485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06835076786825793,0.0005832129484383143,0.0008822490432291763,0.0,0.0,0.0,0.0067985479054737345,0.0,0.0,0.0,0.5
1700,0.06769691902359122,2.2205477204954123e-05,0.031088257454568318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838371160404762,0.0005822353034366247,0.0009271477130199258,0.0,0.0,0.0,0.007158658204542326,0.0,0.0,0.0,0.5
1800,0.06789208009626906,0.0007630946308367616,0.03124350947130141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06912791962116524,0.0005929571717474904,0.0009698023971315364,0.0,0.0,0.0,0.007829993429913777,0.0,0.0,0.0,0.5
1900,0.06801880223500355,5.1294694950031644e-05,0.03097380202018964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829231741780653,0.0005915127590536058,0.0010210234679750073,0.0,0.0,0.0,0.00837286816303419,0.0,0.0,0.0,0.5
2000,0.0679643083766766,-0.00044094983226119995,0.03122448863637058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0687068881383008,0.000599517286627908,0.0010176539743097122,0.0,0.0,0.0,0.008436279486029014,0.0,0.0,0.0,0.5
2100,0.06829185672045741,-0.0002764156055087329,0.0313331905906815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06829381869740361,0.000590910800423372,0.0010480250199313896,0.0,0.0,0.0,0.008819330748039936,0.0,0.0,0.0,0.5
2200,0.06833274387661817,0.000872085758176212,0.031413066370687054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06831482321241267,0.0005966363346369625,0.0010842036760867631,0.0,0.0,0.0,0.009575316747870525,0.0,0.0,0.0,0.5
2300,0.0686284439568807,-0.00022615809471242422,0.031237238716456433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06830020649521039,0.0005953641421617051,0.0011411180661491395,0.0,0.0,0.0,0.009747603381811867,0.0,0.0,0.0,0.5
2400,0.06850099075060463,0.0007809718172212715,0.03126046213467738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06846407674707101,0.0006073387091553078,0.0011693934282441564,0.0,0.0,0.0,0.010369872619366729,0.0,0.0,0.0,0.5
2500,0.06880147258026716,0.000238667012338811,0.03148074987638572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06821934625710967,0.0006018685922033672,0.0011892149933153064,0.0,0.0,0.0,0.010859776102963261,0.0,0.0,0.0,0.5
2600,0.06909026487509796,3.821580574198843e-05,0.03159736334378492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06873792120573233,0.0006094694032246997,0.0012177854652457225,0.0,0.0,0.0,0.01158630897515619,0.0,0.0,0.0,0.5
2700,0.06895649686850236,-0.0005549412462437538,0.03137681710736458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06830220897872606,0.0006070178427362942,0.0012091564532026703,0.0,0.0,0.0,0.011986998770620818,0.0,0.0,0.0,0.5
2800,0.06922405473013273,-0.00021173003750156176,0.03162034183522941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06831587873330337,0.0006164868946644802,0.0012175620904720907,0.0,0.0,0.0,0.011899687799292796,0.0,0.0,0.0,0.5
2900,0.06932944067457593,0.00035009678673081314,0.03163360273408783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06835422063311448,0.000620090065064488,0.0012533180970454678,0.0,0.0,0.0,0.012567925873698522,0.0,0.0,0.0,0.5
3000,0.06968722265809958,0.0006916138987748963,0.031337454354233185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06774339164375452,0.0006148995043156586,0.0012512191978076219,0.0,0.0,0.0,0.01300503499607105,0.0,0.0,0.0,0.5
