miliseconds,IkBalpha,NFkB,IkBalpha_NFkB,IkBbeta,IkBbeta_NFkB,IkBeps,IkBeps_NFkB,IKK_IkBalpha,IKK_IkBalpha_NFkB,IKK,IKK_IkBbeta,IKK_IkBbeta_NFkB,IKK_IkBeps,IKK_IkBeps_NFkB,NFkB_nuc,IkBalpha_nuc,IkBalpha_nuc_NFkB_nuc,IkBbeta_nuc,IkBbeta_nuc_NFkB_nuc,IkBeps_nuc,IkBalpha_transcript,IkBbeta_transcript,IkBeps_transcript,IkBeps_nuc_NFkB_nuc,fr_after_trigger
0,0.09996000181602643,0.10049404926679441,0.00017892402318840365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001007710217480681,-2.902740949325557e-06,-1.9053244250255047e-05,0.0,0.0,0.0,0.0002678616473368644,0.0,0.0,0.0,0.5
100,0.08120440942972622,0.04421050576846568,0.01833146347957861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038267653864731896,0.00015222335972975008,-2.9680552287894544e-06,0.0,0.0,0.0,0.00013913497018351093,0.0,0.0,0.0,0.5
200,0.07369679423990555,0.021118258680496247,0.025865183247844748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054896532730463306,0.0002553179713353093,4.587127427760152e-05,0.0,0.0,0.0,0.0001812785104619038,0.0,0.0,0.0,0.5
300,0.07079131356721231,0.009981988046708483,0.02859543815573709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062471693497227726,0.0003394498252701335,8.08056204894987e-05,0.0,0.0,0.0,0.0006985572059573438,0.0,0.0,0.0,0.5
400,0.06910542928729453,0.0049078343948600585,0.029997723752598827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06559572351313799,0.0003975229357702275,0.00013623053622205552,0.0,0.0,0.0,0.00100396710426074,0.0,0.0,0.0,0.5
500,0.06840156276704436,0.002589161854068839,0.030768833232172083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06794252688828983,0.0004357618736599926,0.00022197602347225832,0.0,0.0,0.0,0.0012721570641165358,0.0,0.0,0.0,0.5
600,0.06785944794781798,0.001805159551640723,0.0308616741862195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06895956386835372,0.0004644778960531322,0.0002877190244603734,0.0,0.0,0.0,0.002231641885862915,0.0,0.0,0.0,0.5
700,0.06800762993890848,0.0014151695326469595,0.031112880219648607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06888410373236994,0.0004895284217042568,0.0003778217314794918,0.0,0.0,0.0,0.0023354217544126455,0.0,0.0,0.0,0.5
800,0.06755834594378536,0.00016383812166517395,0.03127263648427308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06953784268665174,0.0005062362383592555,0.00040675492619713787,0.0,0.0,0.0,0.003217592883964443,0.0,0.0,0.0,0.5
900,0.0674420216863445,-7.957162217170084e-05,0.0311005724270146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06883860646172715,0.0005246977326298721,0.00047100354428346926,0.0,0.0,0.0,0.0037044933801911547,0.0,0.0,0.0,0.5
1000,0.06763629371228345,0.00013768227986528687,0.03106009125934367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06872181274239336,0.0005330667610190247,0.0005634866895246295,0.0,0.0,0.0,0.0038805557829494053,0.0,0.0,0.0,0.5
1100,0.06767514788831458,0.0009347555648188139,0.031086678414408264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686860070111215,0.000549603890902364,0.0005982133395167269,0.0,0.0,0.0,0.004534200554380382,0.0,0.0,0.0,0.5
1200,0.067430601490893,0.0002643660070128192,0.03128641552836671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06934456087968971,0.0005567746401368711,0.0006713727303464785,0.0,0.0,0.0,0.005112733266353407,0.0,0.0,0.0,0.5
1300,0.06750965829756449,0.00029679519019952934,0.031096864177203788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06876411633459795,0.0005685243522647376,0.0007506284279523574,0.0,0.0,0.0,0.005111887904499487,0.0,0.0,0.0,0.5
1400,0.06761217181548027,0.0007292257484993658,0.0311062756022254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06843895236383123,0.000563549290649416,0.0008046957280684335,0.0,0.0,0.0,0.0055962864587046,0.0,0.0,0.0,0.5
1500,0.06782028859430211,-7.864850002573488e-05,0.03093953093090756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689994222906814,0.000576284362035973,0.0008449331949101929,0.0,0.0,0.0,0.006120420595910369,0.0,0.0,0.0,0.5
1600,0.0675498485252997,0.00037993741266462383,0.03095996596660894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06928955424618388,0.0005855775503752288,0.0008942989736132248,0.0,0.0,0.0,0.006429851329022486,0.0,0.0,0.0,0.5
1700,0.06791191438280186,0.0007519882268115184,0.0313657887806352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06892112302191593,0.0005834001023254343,0.0009207873187323344,0.0,0.0,0.0,0.007224204749856089,0.0,0.0,0.0,0.5
1800,0.06777109098113046,-3.8059819775596455e-05,0.03108389919096396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06837115773863464,0.0005917229384605402,0.0009828107152158431,0.0,0.0,0.0,0.0075694345709679325,0.0,0.0,0.0,0.5
1900,0.06798642345790522,0.0006261088187111686,0.031121359473515263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06874454955968232,0.0005895691822888738,0.0010210977909171498,0.0,0.0,0.0,0.00802778505244235,0.0,0.0,0.0,0.5
2000,0.06820028447193743,-9.794339813332131e-05,0.031206827419166548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06839193100167137,0.0005956636042647064,0.001042110314422149,0.0,0.0,0.0,0.008453368941829704,0.0,0.0,0.0,0.5
2100,0.0679371267394334,-0.000531160743905197,0.031186904106963897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06856258125046472,0.0006001542872025997,0.0010674173337833358,0.0,0.0,0.0,0.009328427150687046,0.0,0.0,0.0,0.5
2200,0.06846484276777076,-0.0005124550259042841,0.031417785796830765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822925713111429,0.0005988210483384398,0.0011011695998526367,0.0,0.0,0.0,0.0092713541684403,0.0,0.0,0.0,0.5
2300,0.06854104702936563,-7.975306400195544e-07,0.031211368169679912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06802532591353752,0.0006035649721465463,0.0011324343232415187,0.0,0.0,0.0,0.00980887359190339,0.0,0.0,0.0,0.5
2400,0.06855239198971863,-9.617152023799793e-05,0.031258373412081854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06786193517260027,0.0006015924412726881,0.0011350746272739542,0.0,0.0,0.0,0.010313774662560471,0.0,0.0,0.0,0.5
2500,0.0688700431751039,-0.00029016560265145597,0.031459546341053246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06798501960996506,0.0006114155751657178,0.0011944216840711305,0.0,0.0,0.0,0.010755329834999567,0.0,0.0,0.0,0.5
2600,0.06861951242848985,0.0008321706297231379,0.031230635505649213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06808807845827446,0.0006136208525357981,0.0011929467416062823,0.0,0.0,0.0,0.010999394100701483,0.0,0.0,0.0,0.5
2700,0.0691074622798136,-0.00043846343337008433,0.031200199822558963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0683527055178621,0.0006106934718569297,0.0012286136416461895,0.0,0.0,0.0,0.011785724224927286,0.0,0.0,0.0,0.5
2800,0.06905912125273403,-6.495451487759655e-05,0.03142370219130892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06838422865811063,0.0006078732832453451,0.0012164288880041063,0.0,0.0,0.0,0.012271010699298424,0.0,0.0,0.0,0.5
2900,0.06927574097222047,0.0006376861247514849,0.0313448910268541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06819193616817498,0.0006102867580399698,0.0012485051118435444,0.0,0.0,0.0,0.012601179036081172,0.0,0.0,0.0,0.5
3000,0.06965467402130404,-0.0003297240046086211,0.03145856531026109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06828240753548899,0.0006115698422855052,0.0012856091884046218,0.0,0.0,0.0,0.013288772125341105,0.0,0.0,0.0,0.5
3100,0.06976557604306673,0.0007996510982742288,0.031465368587315926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06807924016849383,0.0006208066029149747,0.0012976357116512513,0.0,0.0,0.0,0.013530901941148355,0.0,0.0,0.0,0.5
