milliseconds,R
0,0.0
100,0.09988560468072738
200,0.19945469281634556
300,0.29845591875350297
400,0.3961411063381303
500,0.4870235286610544
600,0.5217368947441116
700,0.5360007220773058
800,0.5465622556610521
900,0.555336342020107
1000,0.5630022297263594
1100,0.5698955874634216
1200,0.5762110957816342
1300,0.5820731826802881
1400,0.5875664780578452
1500,0.5927556737120151
1600,0.5976815682561537
1700,0.6023846375827897
1800,0.6068909069427585
1900,0.6112229903822463
2000,0.6153996959529775
2100,0.619436812666345
2200,0.6233477129826994
2300,0.6271433608282339
2400,0.6308337896460142
2500,0.6344265680195258
2600,0.6379293424542424
2700,0.6413482336200819
2800,0.6446890819908989
2900,0.6479571153506739
3000,0.6511568227133979
3100,0.6542924214971422
3200,0.6573675920916942
3300,0.6603856910631346
3400,0.6633498245575465
3500,0.6662627128000981
3600,0.6691269726945631
3700,0.6719449271791103
3800,0.6747187645933684
3900,0.6774505062280262
4000,0.6801419935876313
4100,0.6827949735425289
4200,0.6854110391675282
4300,0.6879916939436053
4400,0.6905383624455508
4500,0.6930523465863501
4600,0.6955348281996347
4700,0.6979870617029795
4800,0.7004100624040427
4900,0.702804801374259
5000,0.7051723244659371
