milliseconds,C,E,B,P
0,100000.0,0.0,0.0,0.0
100,100033.00544559897,0.0,64676.08063041821,913.4917903184855
200,100066.02178479239,0.0,128708.62350618327,913.492063231071
300,100099.04902117566,0.0,192104.03149886825,913.491941748331
400,100132.08715834549,0.0,254868.64340541852,913.4920661859438
500,100165.1361998998,0.0,317008.7321482309,913.4920718086739
600,100198.19614943804,0.0,378530.49140741356,913.4920923534894
700,100231.26701056011,0.0,439440.08936362964,913.49207347299
800,100264.34878686725,0.0,499743.6287524043,913.4920642588119
900,100297.44148196225,0.0,559447.1283653778,913.4920630745831
1000,100330.54509944873,0.0,618556.5678315511,913.4920632949342
1100,100363.65964293199,0.0,677077.8443929306,913.4920635953586
1200,100396.78511601922,0.0,735016.7587346167,913.4920637756223
1300,100429.92152231571,0.0,792379.2087693512,913.4920635416955
1400,100463.06886543264,0.0,849170.8009080545,913.4920635602037
1500,100496.22714897615,0.0,905397.3922435266,913.4920634982814
1600,100529.396376561,0.0,961064.4201904472,913.4920634851103
1700,100562.57655179547,0.0,1016177.6353106247,913.4920634890124
1800,100595.76767829928,0.0,1070742.2530085894,913.4920634894711
1900,100628.96975968531,0.0,1124763.8058556067,913.4920634884407
2000,100662.18279956629,0.0,1178247.833388315,913.4920634883695
2100,100695.40680155538,0.0,1231199.8571839395,913.4920634904328
2200,100728.64176927852,0.0,1283624.8167358898,913.4920634907519
2300,100761.8877063552,0.0,1335527.9471690939,913.4920634890868
2400,100795.14461639986,0.0,1386914.710327808,913.4920634881527
2500,100828.41250303111,0.0,1437790.382018849,913.4920634895329
2600,100861.691369875,0.0,1488159.9106356758,913.4920634912023
2700,100894.98122056056,0.0,1538028.1170536065,913.4920634902049
2800,100928.28205870761,0.0,1587400.2201457922,913.4920634896954
2900,100961.59388794164,0.0,1636281.1944761425,913.4920634903335
3000,100994.91671189056,0.0,1684675.9161993957,913.4920634919023
3100,101028.25053418672,0.0,1732589.0959114218,913.4920634919765
3200,101061.59535845825,0.0,1780025.5869696736,913.4920634920404
3300,101094.95118833659,0.0,1826990.1127644072,913.492063492076
3400,101128.31802745453,0.0,1873487.349473488,913.4920634920693
3500,101161.6958794455,0.0,1919522.000186301,913.4920634920938
3600,101195.08474794493,0.0,1965098.6114992574,913.4920634921044
3700,101228.48463658926,0.0,2010221.7163194963,913.4920634920975
3800,101261.89554901618,0.0,2054895.7965548246,913.4920634920696
3900,101295.31748886307,0.0,2099125.40742435,913.4920634920516
4000,101328.75045977019,0.0,2142914.9266591477,913.4920634920389
4100,101362.1944653786,0.0,2186268.7144673504,913.4920634920364
4200,101395.64950933047,0.0,2229191.0931585506,913.4920634920522
4300,101429.1155952688,0.0,2271686.388526722,913.4920634920635
4400,101462.59272683802,0.0,2313758.8530060695,913.4920634920667
4500,101496.08090768383,0.0,2355412.6792249708,913.4920634920685
4600,101529.58014145299,0.0,2396652.0295854066,913.4920634920669
4700,101563.09043179378,0.0,2437481.0493816594,913.4920634920672
4800,101596.61178235567,0.0,2477903.840019772,913.4920634920742
4900,101630.14419678885,0.0,2517924.425643917,913.4920634920811
5000,101663.68767874489,0.0,2557546.804225441,913.4920634920862
