milliseconds,C1,C2,C3,IC3,IC2,IM1,IM2,O,IF
0,-0.0054338480441304465,-0.0019134685403009962,1.005569530037957,-0.0006304814387647717,-0.0003474717209577482,-0.0006934408454743961,3.0129738284191e-08,0.0022079291274679216,-0.0002183866851232548
100,0.058416757809153716,0.2872712682428418,0.6465513190190566,0.0002602076027084274,0.0016292890721981259,5.938296430382187e-05,7.689135121483115e-08,0.006753737467662025,-0.008537100774502999
200,0.14377429743370582,0.38070776387335886,0.44246344158987283,0.000940934754890384,-0.001934380434411351,0.00035938087016858684,-4.388430225059518e-08,0.02531945030650864,0.0020956337989577844
300,0.22554368581852735,0.3897837253158112,0.3086548224266189,5.304417527187441e-05,-0.0015961756081392742,6.089467548335599e-05,-7.480773463301593e-08,0.05219464100019268,0.02284885047262467
400,0.2909734548527619,0.3718460190754338,0.2152421466946971,0.0010926435926777508,0.000666897846120674,0.0001758235600589818,-2.8511266060982887e-08,0.08192182225139623,0.034037793581527295
500,0.31812037295431994,0.3344799593470355,0.16267570909161974,0.0014744490462570065,0.006512253409718213,-0.0008618010389254713,-2.0952635345657276e-08,0.1092214869067468,0.07018248341529253
600,0.3327510267513901,0.29711087469165537,0.13183503615826878,0.0019521434493550438,0.014035870565346498,0.0017634013224923713,8.325283137000042e-08,0.13270226850093422,0.10121495611992065
700,0.33360534754875054,0.2603177187476445,0.10194182289513769,0.001862605728411074,0.018347777132217868,0.0018101397334021228,-1.4408759729910761e-09,0.1438182860008485,0.1409005997089947
800,0.3268507504200876,0.22177340738318047,0.0747935131763509,0.002978985487953443,0.02933126555070994,0.0019198452183728102,-3.275661193662624e-08,0.15449873184694374,0.18313564341814503
900,0.31439021320678096,0.20244366176054074,0.05968025944951428,0.004584103368499347,0.0370304349246788,0.003273745905110404,-4.818318910241369e-08,0.15828230903242094,0.2266285079357253
1000,0.2997128135349509,0.17731533109831007,0.06172948371737705,0.00504020548608794,0.049398195935042,0.004001382036299579,5.599890334205832e-08,0.15419459021469745,0.2591494384456172
1100,0.2819485819475816,0.1519796803353097,0.05376190948070118,0.007679352442964677,0.05900070818302467,0.0027440709607604277,-2.0272261493379147e-08,0.151880020921703,0.2950861415854624
1200,0.25887251882289675,0.139130192504863,0.030859352503658746,0.00951475166633306,0.06893879473893502,0.005981463619115467,1.211628401599442e-07,0.14691635249517868,0.3387741777097666
1300,0.24202311672087595,0.12635160061731604,0.03599295180916333,0.010131379996495944,0.07914772957330522,0.004960577273472074,8.844744827786287e-08,0.1364168777734426,0.36860373514771255
1400,0.22328345415438702,0.10783136159047624,0.03352506524296602,0.012598861887259413,0.09339854094075077,0.007753924017413154,1.0129308414194247e-07,0.12940823347091143,0.3887794743284081
1500,0.2094044455336972,0.10065270809529471,0.0189474072965637,0.014396525640692675,0.0971356244854111,0.010112302614968158,1.8552535214723433e-07,0.12170747514112584,0.4235090306738029
1600,0.18487978217202267,0.08526031269278671,0.02784545070172989,0.015900828587059716,0.10954914778558117,0.00916614340010436,1.079367831476856e-07,0.11135455890175533,0.4513186659509092
1700,0.17688150417609327,0.0816516124332147,0.021865156291771635,0.018871758148646486,0.11965662401266557,0.012055855265689065,1.9169306062108948e-07,0.10131356727197323,0.46469542408301856
1800,0.15744042553051682,0.07402006181367174,0.019349095204559012,0.020194401354502747,0.12273998532967402,0.012387316005923502,2.141066704408189e-07,0.09282231488695446,0.5076406009959062
1900,0.14294820922170778,0.07181953725818643,0.01007069298602082,0.021491031243472278,0.13070775980465832,0.016445223926979446,3.521272227855065e-07,0.0851738001609336,0.5076127232931119
2000,0.13276347305479216,0.06473273675331956,0.02011971399741251,0.02245393112258538,0.13834615356614377,0.01720775607820296,3.699360443688753e-07,0.08136537815890656,0.5313842574549932
2100,0.1180068623868499,0.057696316476151546,0.008243732673974782,0.02491890351757985,0.15087588013007022,0.019697253006905842,3.8953268133416107e-07,0.07604689380635642,0.5550869544244597
2200,0.10939222984235271,0.053165590749539186,0.020556320882400808,0.025805411510565257,0.15700865725068566,0.021865421107474612,4.4353540643139565e-07,0.06595554118895704,0.5605171451905393
2300,0.10044910252692946,0.04991263465514394,0.010861669090689002,0.02723561580715299,0.1568149205506536,0.02262805554309976,5.501063200400549e-07,0.062016824921194695,0.5742653438923365
2400,0.09081278669221539,0.043524215194485356,0.010962579004762602,0.02873556807721166,0.16258202722937215,0.023565984356556036,6.715327045688912e-07,0.056827821134570244,0.5926852554384631
2500,0.07783533101941362,0.033189479752713545,0.014652942516926122,0.02939006268515068,0.1675336820876792,0.02551706862567222,7.838623882080883e-07,0.05378314719236235,0.594904988369675
2600,0.07781613350119598,0.029432731881985134,0.007639448502070708,0.030754560207911393,0.17535451788950293,0.027190804449068448,8.961290296097276e-07,0.04870893317712542,0.6092501403856284
2700,0.07033090586631995,0.027996343568730826,0.004596496882939529,0.03095166254588837,0.1761414538732368,0.029966418694035615,8.673829485975607e-07,0.04477844393558907,0.607154739172086
2800,0.0610070550604796,0.030375363627116993,0.008386283023823724,0.03182360641493744,0.1760753822309495,0.03378310493450772,9.769467668848152e-07,0.038335925740851186,0.6236538816192203
2900,0.058253415411637144,0.026140902853796714,-0.0002155485691070552,0.03223322605576888,0.18265945967331795,0.033675919784598655,1.1891834030085555e-06,0.035948130635770556,0.6200764984066819
3000,0.04823599486680533,0.025869423490646127,-0.002892207866516763,0.033552986119194696,0.18150071379431518,0.03773207748835883,1.2023096872905986e-06,0.03523168031220595,0.6244277692291158
3100,0.05027235497954918,0.017116130176358872,0.008569418810271841,0.03312822598222721,0.1853875981729701,0.03841871231289696,1.450181118960726e-06,0.03039812441853522,0.6316690490536788
3200,0.042559431592745986,0.024737287184048114,0.010161075284062335,0.033973143538060434,0.186137437744105,0.04017377895236896,1.5275006659490398e-06,0.026857731099609438,0.6497507625997325
3300,0.041805642868503745,0.017181108007604355,0.009161795769207387,0.03406246663114118,0.19065741895277424,0.043215635068678634,1.729121066163812e-06,0.023361617800850956,0.6488839305956183
3400,0.03843895532651202,0.013124810766342108,0.0035210837206826107,0.03537739595653132,0.1940837827307655,0.044174515490663355,1.9017687893320135e-06,0.02389549437190636,0.6367782348947021
3500,0.02841347840283442,0.01479320656904349,0.010348506518063348,0.03563898598813538,0.19466769625947297,0.046441381381364895,2.020608189174896e-06,0.023306175332982328,0.6441885383861472
3600,0.0250987414855072,0.007905419419803352,0.008402245147823083,0.03561632371977256,0.19485014345256138,0.048277747113675676,2.1325476222182174e-06,0.021264181988787056,0.6429437490034907
3700,0.0321175085019359,0.01197838325501596,0.006346154801262549,0.03626751545043287,0.193935052139688,0.05160739119461344,2.3260112095051643e-06,0.01854370729947369,0.6513259594012106
3800,0.027446490016032346,0.01115388184780679,0.00037315700394354237,0.03610177460674971,0.19961090159591968,0.05326421193308432,2.599995787878819e-06,0.018613796633003738,0.6510219330669658
3900,0.021975189397313393,0.014307190448893182,0.007857509704544439,0.03715236547933216,0.20183619497169558,0.05526293753088452,2.771212353469635e-06,0.016206456322619144,0.6571036305603822
4000,0.026122561183612565,0.0051391964914857865,0.00017458859162974025,0.03654370056350637,0.2005584207766798,0.05816838851635571,3.0267712902460243e-06,0.012840404694067878,0.64737870327137
4100,0.02352626220643382,0.008339784864604998,0.005523932223423669,0.03696223358496091,0.20112432798010504,0.06012467191551853,3.1629647306618993e-06,0.013898849452269988,0.6585979604915598
4200,0.013491809110913664,0.003141287573648203,0.002532554810871764,0.03687649262949843,0.19714731502680893,0.06369462882592562,3.3193139363081344e-06,0.01477322353727876,0.6610064954796389
4300,0.01672667809152743,0.007693189707516698,0.0014553503622157333,0.03795069777036588,0.19962468470334768,0.06571291505208642,3.5796178210895104e-06,0.009684192300989576,0.667460930813551
4400,0.01834431685316489,0.002886575100392962,0.007434530113008653,0.03772103867275096,0.20419007103613693,0.06616736087175779,3.904948350990244e-06,0.008092022434958419,0.6639343233447182
4500,0.012677931177010127,0.008445163715739633,-0.0001564495228379779,0.03803665341453859,0.20077901720019772,0.07047820266955511,4.052929125268024e-06,0.008290016509440817,0.6525683235471957
4600,0.017299955716719106,0.006291223887904693,0.008712003132219563,0.03727757949258252,0.20147820090122648,0.07040831950351187,4.368863223790095e-06,0.007008942921237989,0.6702733975869735
4700,0.011027403232365705,0.008037189002187391,0.009690714486420591,0.03787411272038083,0.2004176629112018,0.07245861927874858,4.508336519024898e-06,0.010312302167809784,0.6664912081301396
4800,0.012252754868886094,0.010112760152530226,0.007994339751609791,0.03833770242318379,0.2033121768705947,0.07624266949604136,4.880096781066204e-06,0.008542962776216158,0.6594033610863794
4900,0.010615075360491992,0.0004568005658874561,-0.007016531699686737,0.03789349849056702,0.20384997992680395,0.07724856990543273,5.039928493691308e-06,0.0051280099490132154,0.6561178552947136
5000,0.006596791715854717,-0.0008197565943031718,0.0010372321543678676,0.037559275085045495,0.20013162687510086,0.08060594943611273,5.465019786817584e-06,0.007971295737295457,0.6603018919755997
