miliseconds,AC_active_cyto_mem,G_GDP_cyto,G_protein_cyto,G_a_s_cyto,GRK_bg_cyto,iso_BAR_p_cyto_mem,PDE4_cyto,ATP_cyto,AC_PKA_cyto_mem,R2C2_cyto,PP_PDE_cyto,BAR_cyto_mem,BAR_G_cyto_mem,iso_extra,iso_BAR_cyto_mem,MAPK_active_cyto,MEK_cyto,MEK_active_cyto,B_Raf_active_cyto,bg_cyto,B_Raf_cyto,PKA_cyto,AC_cyto_mem,AMP_cyto,GRK_cyto,PP2A_cyto,MAPK_cyto,PTP_cyto,PTP_PKA_cyto,c_R2C2_cyto,c2_R2C2_cyto,c3_R2C2_cyto,iso_BAR_G_cyto_mem,PDE_high_km_cyto,cAMP_cyto,PTP_PP_cyto,PDE4_P_cyto
0,0.023284895716634044,0.0001187373166569566,2167.1714317439673,0.0006634115815146076,-3.018830344565998e-05,1.5583258981414518e-07,240.79999999959105,3009999.526238772,0.0,120.40026692493866,120.4,94.28101197746106,0.02582087599163884,6020.492113839707,-0.053029046147064676,5.239030705705894e-13,108.36000000000783,9.549901271796206e-12,1.184593935754339e-09,0.027186508580968573,120.40000000126801,5.993984022143214e-10,299.8628424533761,3010000.643254921,0.6020328574038663,60.2,216.720000000002,120.39999999999942,-5.543844868526883e-11,0.00016800115026790603,6.875221567142092e-09,4.7086127027014254e-09,0.13134756927319183,301.0,0.03715483560834396,60.2,5.9247723974226524e-12
100,-0.056442405267938756,-3.004501218615819e-05,2157.0170052765357,0.004367170688495914,-1.8183738705809957e-05,4.41464904010576e-06,240.79999999986197,3009997.9815736185,0.0,120.40015920952374,120.4,31.997481997938817,3.6717939369505848,5915.273679835615,11.418486199752428,-3.0857597619658088e-12,108.35999999996089,-3.963066443806241e-11,1.1427830024073278e-09,0.0023357643630051265,120.39999999951546,-6.296950254804912e-11,300.1066447703258,3010000.1539250417,0.6020047018802838,60.2,216.72000000000247,120.40000000003758,-2.096067203397487e-11,-0.00041698360595488973,-5.7259930008962133e-08,-2.9241866322387446e-09,46.72391907961738,301.0,0.9749713047581773,60.2,1.1684216981296798e-10
200,0.26085912638526276,0.00011115425236413768,2151.3819032125493,0.008206540624861413,-3.9748279275946e-05,7.806469345989782e-06,240.79999999834098,3009997.2352971053,0.0,120.3994401329516,120.4,10.532351077834969,2.805260080754139,5876.490817062051,4.376266770439555,-1.7487850419688538e-12,108.36000000000408,2.148133811334714e-11,1.0295254006352805e-09,0.035867582542395283,120.39999999874696,-5.228808587546572e-10,299.8561319669042,3010001.4060117435,0.6019502519480583,60.2,216.72000000000176,120.40000000002445,2.7590034465331066e-11,0.00023030671952549181,4.5939799164923415e-08,-3.252140060127192e-09,75.6102408365239,301.0,1.6332386863840858,60.2,-8.376496085308185e-10
300,0.25132575964317655,8.488030354749797e-05,2149.510383742476,0.009157459428006305,1.1112934125520636e-05,9.65829264200563e-06,240.80000000056143,3009997.677634106,0.0,120.39962418893606,120.4,3.4922577936550296,1.8177223035742822,5861.7368081299865,1.741738487743804,3.168213965856049e-12,108.35999999999412,1.810564191770132e-11,-5.969507522054348e-10,0.09595346420383696,120.40000000007754,-4.92937157643254e-10,299.5456361819159,3010000.942559849,0.6019562350862748,60.2,216.72000000000077,120.40000000007592,-5.4698616165631297e-11,0.00018319376140768149,-2.2299079937213864e-08,2.2751380013750362e-09,87.40134369886758,301.0,2.20718306280327,60.2,-3.6060997324607585e-10
400,0.5994221209289868,0.0003089429154494965,2148.631678197236,0.010703528422401291,3.66609032415741e-05,1.0359964624469481e-05,240.7999999990305,3009996.3067461364,0.0,120.39983890491756,120.4,1.5847279595826342,1.1466627728587662,5854.1040638818085,0.7433137271042634,1.9910636749489857e-12,108.35999999996898,-5.506785786480137e-12,2.3585171815567016e-10,0.13229470893835935,120.39999999905697,2.0210457749110153e-10,299.3270154464014,3010002.178722593,0.6019599423739042,60.2,216.7200000000011,120.39999999992843,4.791655691975128e-11,0.0005055052393943998,7.232706694657205e-08,-4.5938779042861915e-09,91.13293953231398,301.0,2.647223234078992,60.2,-2.3599165391565154e-09
500,0.8445673459922393,0.0003066515598309301,2148.5142365802953,0.012132963408213127,5.727081657914768e-05,1.1004036226963925e-05,240.79999999916993,3009993.7166211945,0.0,120.39880360357652,120.4,0.5672404163140667,0.8540679598545851,5854.001478982333,0.5557370131426967,-3.0273307393949934e-13,108.35999999995212,5.3312891060167e-12,-6.225388492193799e-10,0.19530008264763996,120.39999999841433,-3.5090197154995763e-10,299.1033387980641,3010003.4649388636,0.6020114972074289,60.2,216.72000000000244,120.39999999992524,9.31736564145244e-12,0.0012501730662293294,-3.726734354368466e-08,-4.6151650090389474e-09,92.4749367240021,301.0,2.8326940228956716,60.2,-4.327216137939731e-10
600,0.9717606311875446,0.00041883370693607,2148.3209210214636,0.013065932176817386,9.002262095458746e-05,1.1241873593611824e-05,240.79999999896802,3009994.146995848,0.0,120.39914573895528,120.4,-0.17457237885583635,0.6793570202814352,5851.58744962783,0.4632591103038119,-2.0380599847504964e-12,108.35999999998099,-1.1524370062918248e-11,-1.5265496566034467e-10,0.22317082635366667,120.40000000088907,5.299765408263727e-11,299.1010103320856,3010002.9891564255,0.6019747394350489,60.2,216.72000000000307,120.400000000066,2.9195991298415448e-12,0.0009771396685300496,3.417064439758423e-08,-1.1006062867321343e-09,93.22541719520069,301.0,3.1513976834483564,60.2,-1.61649614584672e-09
700,1.417864373988107,0.0005091993953456008,2148.1905890163503,0.013633829251665312,7.709965533992787e-05,1.1137386262911403e-05,240.79999999833862,3009992.4039346953,0.0,120.39780637260974,120.4,-0.06339579281228691,0.6618990290843565,5852.223087885013,0.3860291995756189,1.4099037032032476e-12,108.35999999997384,1.8416506747315557e-11,-3.859954425372777e-11,0.2846528257126424,120.39999999847264,5.55911245149835e-10,298.6710102140725,3010002.912287645,0.6019533118823268,60.2,216.71999999999977,120.39999999994579,-2.5188665601677627e-11,0.0017653790706397266,-2.3456037108145147e-08,-1.2657174710995302e-09,93.12217712527736,301.0,3.401107451314232,60.2,-1.307344260582935e-10
800,1.599226024619584,0.00038219301026772115,2148.1887909123184,0.0152401228834717,0.00012104405356951578,1.1429195883647498e-05,240.79999999980436,3009990.3223353834,0.0,120.39790254046855,120.4,-0.17198112434963853,0.5948907234558243,5852.782884478161,0.3225274500475431,2.345865873016978e-12,108.35999999995482,2.3138189583130093e-11,1.248981499279991e-09,0.31916006575931494,120.39999999831397,5.818879570690979e-10,298.63838514282264,3010004.7034508926,0.6019169580854019,60.2,216.72000000000102,120.40000000003045,-2.8707554700580888e-11,0.0016787168759220244,2.385680813088611e-08,5.205736714144219e-09,92.6893064626812,301.0,3.8535237559430757,60.2,-3.181932531000766e-10
900,1.792924405286153,0.0007372255736394726,2148.0356524949693,0.015633098841545016,9.213200575289898e-05,1.1722133960385816e-05,240.80000000078388,3009989.152275994,0.0,120.39693444235344,120.4,0.10188188457656326,0.6015827141630106,5852.816817549613,0.3938397443545062,-3.7845037859054616e-13,108.35999999996864,5.147305009134778e-11,9.207288539543278e-10,0.3818656756478875,120.40000000122858,6.143256231411537e-10,298.3576398366583,3010007.1252237246,0.6018328024644625,60.2,216.72,120.3999999999255,3.4708200264742506e-11,0.0028045815714202774,3.674519083075487e-08,3.5720706660935775e-10,92.69622891917057,301.0,4.006681435645713,60.2,-4.2349067207329314e-10
