milliseconds,H,HR,R,HRRH,E,GQ,IP3,CHO
0,0.9999909055921652,-5.279387784259946e-06,0.0099388935479836,-1.7607442442889088e-05,4.152125885392932e-05,0.09999298635186035,69.78565282545847,-0.0021376703806072384
100,0.998273035277556,0.0013974280218241766,0.008275586255802384,9.03137037275668e-05,0.00013270315132446174,0.09989668535681023,95.69397825112505,0.05835420308775144
200,0.997057767741063,0.0015521722642541302,0.007167268918901373,0.00024241955243766903,0.0004954433984319622,0.09952238829061592,346.54576230959003,0.277065260194357
300,0.9960545039033332,0.0015467696791101417,0.006175463563866763,0.00040071325210627674,0.0007747247498257738,0.0992630987834342,957.7381031857146,0.39507997178155785
400,0.9956354705207001,0.0015175570499963258,0.005384748772274335,0.000488122034140757,0.0010337642149462855,0.09903924685674624,1444.6887915826846,0.42183365568642733
500,0.9950377491266932,0.0014922033654197768,0.004922007061298105,0.0005930260763771416,0.001162057906555177,0.09877932069363818,1982.8193222733844,0.4161361896712562
600,0.9944693012214065,0.001453970841178081,0.004573910595085585,0.000683487771638068,0.0013701849863385401,0.0987025070585567,2422.879256661885,0.3902909309391543
700,0.9942527140601939,0.0014556768805000838,0.004182447906675865,0.0007429925844588539,0.001466958634256866,0.09854024629331755,2628.7452374713607,0.36637507841671096
800,0.9938540323917431,0.0014462942885080155,0.003922191153994309,0.0008015398193182327,0.001544364349653889,0.0984806405420809,2929.1151813893907,0.35071686343862585
900,0.9935985533349858,0.0014380838448840778,0.003568971284679441,0.0008147825132351333,0.0016510944559133503,0.09842065705281201,3140.0889715570775,0.3279932196174126
1000,0.9934946412130783,0.0014326886608537863,0.0035686151507771284,0.0008452702418666729,0.0016860371123044388,0.09833864303890298,3306.2375787837873,0.3172575832087734
1100,0.993446209953647,0.0014317087100311956,0.003276382835683771,0.0008913037546534172,0.001703243037930692,0.0982416668217032,3301.244035470034,0.3015684854324359
1200,0.9933296867553215,0.0014305311628230867,0.003387477487271364,0.0008876310843760458,0.0018024960746185065,0.0982021137352329,3546.706758422006,0.2854669919091062
1300,0.9930204143881884,0.0013999103393081407,0.003285412776931297,0.0009092819496469988,0.0018076732463827812,0.09822715163797904,3570.5793851486337,0.28482075910754556
1400,0.993022862876339,0.001405341572677999,0.0030020318284345138,0.0009349846681983015,0.0018330203891085595,0.09820534892553928,3635.227416874489,0.27724477006728393
1500,0.9929969992680329,0.001421196328968356,0.003088236823879509,0.0009383561608519711,0.0018065091738269587,0.09815314086617515,3646.2954830763883,0.2784393583265496
1600,0.9930137099686523,0.0013995545344257035,0.0028909414636597726,0.0009234296459573791,0.0018882561920551006,0.09811743318921251,3693.7210606112885,0.26635800806469206
1700,0.9929293482652392,0.0014044572311180726,0.003081250688927211,0.0009675229765612049,0.00187842867647567,0.09810199549365875,3717.8792568018825,0.27142889519446384
1800,0.9930100984047515,0.0014135456042852265,0.00303020169621886,0.0009521931698580442,0.0018985549028174625,0.09814115081691004,3824.885075170251,0.2705820282388618
1900,0.9929087405284208,0.0013916923619756497,0.002782737563230517,0.0009647909048967135,0.0018759107423633036,0.09811582163896786,3723.789314321819,0.26476565362363946
2000,0.9927891325726208,0.0014154302892734278,0.0029570857526179653,0.0009663140848878197,0.0018544453068726732,0.09807937979464455,3799.8923357739136,0.26062179921834616
