milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00014978757115247934,6.620780441861801e-07,1.0003024583593063,0.00024386935685681587,-1.6174520132963509e-12,-2.8429514072747056e-15,-2.293510911089176e-08,8.68002554904743e-06,-7.676615624623932e-08,-1.4348523493423829e-05,4.204134597380034e-14,-6.076248196985245e-26,2.0102691763837535e-11,0.0
100,7.952619055967225e-05,6.228216883047994e-05,0.9990494988971548,0.0012130664370999691,5.1411230828597495e-11,-2.2276484940149128e-15,6.784364463280476e-08,-4.663555881532464e-06,7.500706045504197e-06,1.017248057406322e-06,5.590946826122144e-14,1.176138541047871e-25,-1.6103550570974659e-10,0.0
200,7.988469714655363e-05,6.372027714033383e-05,0.9983716568705283,0.0008946661137012252,-2.156723794281571e-11,3.9112854063596554e-17,9.611221434008017e-08,-1.7182446352227988e-05,7.603272067341785e-06,1.5877779473213467e-05,-4.550281904564081e-14,-2.7208631598152044e-25,4.308936043732287e-10,0.0
300,7.844321419891178e-05,6.244487518024514e-05,0.9990817339974806,0.0010402915524116347,-2.704115603514633e-11,-4.56291513813772e-16,9.689202252547198e-08,-4.265876758061059e-06,7.496747761421676e-06,9.199097892055268e-05,5.7850610853893e-14,-5.325393933813658e-26,2.661606079486393e-10,0.0
400,7.973718085145923e-05,6.237082463017429e-05,0.9976004476845796,0.002000546014254854,-6.757555478984461e-12,-3.147010447794918e-15,1.2205110399269637e-07,-1.5592809787480797e-05,7.4707699721677045e-06,0.0001238287245100859,7.757810137059214e-14,-1.9407970103071072e-25,8.339003060655683e-10,0.0
500,7.957476362707719e-05,6.357209424346178e-05,0.9972496617312758,0.002880512346419818,-2.847708500964045e-11,5.082221492492005e-15,1.461164209771039e-07,-3.391623192533613e-06,7.481154734310984e-06,9.2098077018318e-05,7.281029564835868e-15,-8.04592746686668e-26,8.106536125447232e-10,0.0
600,7.903127488697523e-05,6.328990054927199e-05,0.9965208725577084,0.0029757702045730464,6.47686160116922e-11,-1.560941182432832e-15,1.512224729323557e-07,2.1176027989035794e-05,7.634349549525342e-06,0.00017657538530640952,1.693976972992125e-14,-4.238431858720476e-25,1.3919142270904797e-09,0.0
700,7.856245383349875e-05,6.192529260101351e-05,0.9960789950121168,0.004109595912090156,3.831693839758705e-11,7.142402547652492e-15,1.8460748944264503e-07,2.9471661257076598e-05,7.502967835890788e-06,0.00013663949936332188,-4.642383306011426e-15,-5.017170597787452e-25,1.1177862105621805e-09,0.0
800,7.90809850434871e-05,6.307876877993199e-05,0.995445482523889,0.003386610858906636,-1.1607280361114543e-12,2.5188798348005677e-15,2.4627215811474616e-07,1.4637466516269553e-05,7.56454173832006e-06,0.00019029285992108296,1.461146606644717e-14,-4.230424936231193e-25,1.6324791060490337e-09,0.0
900,7.862378461496138e-05,6.316928019692993e-05,0.9943017326707995,0.0050330974893330205,1.1024744438682828e-10,1.772766767526167e-15,2.952637074692404e-07,3.0869002407474575e-05,7.499120117816649e-06,0.00021637782273475906,4.607678596363714e-14,-3.9849857885140037e-25,1.6940995231472464e-09,0.0
1000,7.94649862881942e-05,6.175099651431999e-05,0.99447061789606,0.005054042427341251,7.312525826017552e-11,3.2033059816119603e-15,2.841328828381974e-07,1.283358671841508e-05,7.472500105616222e-06,0.00026519774337861566,7.526459558181478e-14,4.885908029627448e-25,2.324262591624975e-09,0.0
1100,7.99482918744988e-05,6.214496546451924e-05,0.994683023402583,0.006046542158950333,1.1304114485560434e-10,9.61619204095845e-15,2.818150747436379e-07,2.57723477919238e-05,7.5731194478025064e-06,0.00026175180815249377,5.473438756629181e-14,7.270816059720972e-25,2.3744269940361464e-09,0.0
1200,7.874090824669787e-05,6.305000012166708e-05,0.9935863993682247,0.005789018907334934,1.0356410404938103e-10,6.442969435764113e-15,3.665353165709521e-07,4.842645783717374e-05,7.46598528229952e-06,0.0002565771981708318,1.1693746709126928e-13,3.010132188231372e-25,2.6571085994779114e-09,0.0
1300,7.93115245286929e-05,6.24106359390746e-05,0.9932168016794884,0.007212425321894001,1.0204933158666845e-10,1.3674873817938749e-14,3.691496709844943e-07,4.538364862538053e-05,7.514508573328532e-06,0.00033714196266271815,1.763163110068616e-13,1.95999225451759e-25,2.388237124810812e-09,0.0
1400,7.93165752780653e-05,6.172171787062116e-05,0.9919290694573938,0.007325091453952457,1.4461064379584184e-10,1.1026911933613913e-14,4.355777186780943e-07,8.331359270788942e-05,7.503748131507312e-06,0.0003551421523140078,1.4424618089763374e-13,9.418815913789567e-26,3.022857861864215e-09,0.0
1500,7.872669594580266e-05,6.221055320791467e-05,0.9913493606260112,0.008249379673790939,1.7116891960438419e-10,1.4154306707491982e-14,4.7496918092912845e-07,6.724494111902197e-05,7.6045124788745975e-06,0.00032901532982951737,1.719063736066901e-13,5.831998396751278e-25,3.2289056869270437e-09,0.0
