milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00014956816692315714,-5.259648685015797e-07,0.9992488083634581,0.00019698762322655698,3.424696841288761e-11,2.443410106706963e-16,3.647287511203895e-08,8.418553189247705e-06,6.259086291521158e-08,-1.1137495393573343e-05,-3.513613506567068e-14,3.7096143732151055e-25,-1.8872743871813521e-10,0.0
100,7.862981349422158e-05,6.316678270110545e-05,0.9993076806712659,-6.0935172056941636e-05,-2.4460733740417756e-11,1.7411195978339426e-15,1.06317692611445e-08,-9.961397719091845e-07,7.639909388687118e-06,5.0388645484606215e-05,6.44529512178239e-14,-6.252025932595856e-26,-5.292278125796261e-11,0.0
200,7.999692488855654e-05,6.334327055999088e-05,0.9987131444023831,0.0008882467727216114,5.0231501598858987e-11,-2.4269055692376687e-15,6.514772188364936e-08,9.294210175172968e-06,7.667039087394347e-06,5.3806216979047305e-05,3.404076990296433e-14,1.1070802290166721e-25,3.2685863756888406e-10,0.0
300,8.026412115494295e-05,6.246944640478904e-05,0.999018615477582,0.0020016830590464402,-1.3686927881026548e-11,-4.138517593846363e-15,1.129762522340123e-07,-3.19144683473473e-06,7.603056432041049e-06,5.6101383035896665e-05,6.326372560838729e-14,-5.574927766788725e-25,4.3272809304522364e-10,0.0
400,7.847299986186273e-05,6.279577501309513e-05,0.9973855928137755,0.0027761793603576328,-2.807949173143665e-11,-2.3479814311822805e-15,1.3666687528165218e-07,9.484496845647103e-06,7.582748221219737e-06,8.495844783606289e-05,-5.339236491650085e-14,2.5328633964941575e-26,9.993771390556873e-10,0.0
500,7.944199796337295e-05,6.2806171206307e-05,0.9978426415858944,0.0028238320437017767,1.596672629469767e-11,7.851028497721289e-16,1.0473749395127735e-07,1.703455822046896e-05,7.519546548853654e-06,0.00014655083549860732,-2.9327616296791485e-14,-3.489292075693716e-25,8.676624725118582e-10,0.0
600,7.86383527790066e-05,6.30688831672878e-05,0.9969396695893172,0.0031783946691662742,-2.0845589478941653e-11,5.001793449081914e-15,2.1331754901352646e-07,-6.715851799694035e-06,7.615630364292335e-06,0.00014530306007179633,-3.828071976358332e-15,3.9639351630865354e-25,1.3450523450421019e-09,0.0
700,7.847726483339393e-05,6.206208051226882e-05,0.9962316315524735,0.003996998361739542,4.298197272341768e-11,3.80297145917041e-15,1.9784485192977295e-07,1.1225221709950581e-05,7.546305356506501e-06,0.00014134988266737285,4.528997104852661e-14,-2.3841665947175614e-25,1.2785185333330148e-09,0.0
800,7.966471062190393e-05,6.339053874579394e-05,0.9961670417508934,0.0035852666024098483,6.188863178583905e-11,2.1647626710501553e-15,2.4480161122349884e-07,3.055139952282509e-05,7.461764686881463e-06,0.00018511714730820103,2.8842617852642098e-15,4.0745471584594873e-25,1.8921185493182905e-09,0.0
900,7.922543111894407e-05,6.238422068475362e-05,0.9944835162548888,0.004959973567398641,1.169680225848483e-10,7.385404667339356e-15,2.783046075558197e-07,9.877300604485259e-06,7.441080967391358e-06,0.00024140801571288542,1.4594822582679745e-14,6.451654328528975e-26,1.6991024493696588e-09,0.0
1000,7.90830030213377e-05,6.333750175629785e-05,0.9952062115128112,0.004495753250969252,1.325924347489785e-10,8.32584728586588e-15,2.8995055814163983e-07,3.7251176672033434e-05,7.544207312621418e-06,0.00021408432637950333,1.5126140902384846e-13,7.115784580383203e-25,2.0257886594468363e-09,0.0
1100,8.006163502025111e-05,6.284636359347762e-05,0.9946250356703455,0.005857064467596784,3.875403122164102e-11,4.4024047536200415e-15,3.429204518488601e-07,6.018783870403899e-05,7.478151820082784e-06,0.0002807863110463881,1.2198439923422012e-13,4.000787721754809e-25,2.2897847326669384e-09,0.0
1200,7.919852598073117e-05,6.281534475679715e-05,0.9936792292396539,0.006481173366941751,1.503333634299915e-10,4.872025744126104e-15,3.8623320900922544e-07,4.8829305481177514e-05,7.500282108595465e-06,0.00029195672543751085,1.4337392492494007e-13,-2.844321275631853e-25,2.6432849979520844e-09,0.0
1300,7.900842924714563e-05,6.217860425828566e-05,0.9935925558866979,0.007359059383401305,1.361498515859038e-10,5.765571598826296e-15,3.5654342352434094e-07,3.059557519938941e-05,7.504131367031932e-06,0.00029666026490653624,1.5009218069512288e-13,1.693211698435174e-25,2.946675597237817e-09,0.0
1400,7.837021632482037e-05,6.251528713547144e-05,0.9926792419267693,0.00782854569565533,1.2249032533629533e-10,9.931975556451184e-15,4.485843571333709e-07,6.660209504682135e-05,7.589184191685354e-06,0.0003307759000016858,1.7561242571445368e-13,3.4587518171358723e-25,2.9693711944748715e-09,0.0
1500,8.011305933156013e-05,6.175234877038777e-05,0.9912109220290842,0.00806930220708413,1.756084525200833e-10,9.910931807572325e-15,4.5530773084107787e-07,5.244294727312779e-05,7.542879599598833e-06,0.0003453486519807479,1.3247763972580768e-13,9.410230086483495e-25,3.17399963133045e-09,0.0
1600,7.865132613183603e-05,6.316078569307673e-05,0.990868099341182,0.008507896416007103,1.5479518311499655e-10,2.021061235978994e-14,5.054781459082617e-07,8.865480869588353e-05,7.567825504824019e-06,0.00040308511712255283,1.587945464486732e-13,8.269411562354651e-25,3.493137114571724e-09,0.0
1700,7.882955508994855e-05,6.294019427651854e-05,0.9903793699223614,0.008096955006450855,2.5442835818188116e-10,1.3863292623985151e-14,4.722882917441895e-07,8.72411358005704e-05,7.423147744324963e-06,0.0004072730693254161,2.1451867694591848e-13,2.6014043391035004e-25,3.260967176695583e-09,0.0
1800,7.951935231890842e-05,6.187943001413077e-05,0.9896041346148196,0.008905346465285275,2.4221345794179947e-10,2.4346175644878927e-14,5.13049757096379e-07,8.27540414846512e-05,7.583214453174495e-06,0.0004190082126844276,3.207537203000378e-13,1.072906906138113e-24,3.82095601369073e-09,0.0
1900,7.86938772670514e-05,6.166738302961052e-05,0.9895335301809983,0.010297027830032415,2.8853687659909724e-10,2.554424866306959e-14,5.72855564770363e-07,9.559500310594686e-05,7.416188005935798e-06,0.000430348113734679,2.692592598257214e-13,1.24699259585047e-24,3.771579893934523e-09,0.0
2000,7.915322127209938e-05,6.151273534429472e-05,0.9895194767830701,0.009945480533466581,3.7146984070695567e-10,2.361466061584633e-14,6.017654727692931e-07,0.00012479537892948967,7.517797178160507e-06,0.0004875930915529563,3.9408213429858297e-13,1.7819694333991996e-24,4.374179828253492e-09,0.0
2100,7.940067590248111e-05,6.146123136253574e-05,0.9878934954909746,0.010434704417729597,3.8375321008028555e-10,2.7259502854942206e-14,6.355114313763705e-07,0.00011227241623228022,7.394787754438728e-06,0.0005285483112320167,3.4484330262911937e-13,1.3715551999994899e-24,4.402821308405438e-09,0.0
2200,7.905568905473209e-05,6.258473199886942e-05,0.9875589359368775,0.011445801664287741,4.0833090242794653e-10,2.8100939740026587e-14,5.956687058530451e-07,0.0001465723753766397,7.436743257792377e-06,0.0005579911592752241,4.4130789899449493e-13,1.2070960600539143e-24,4.3977825403464615e-09,0.0
2300,7.966074242346471e-05,6.167949543438017e-05,0.9873005150341035,0.011173133824206271,3.984059479724709e-10,3.629243698407873e-14,6.354904573494261e-07,0.0001836868943199476,7.403344955660927e-06,0.0005610675901245222,4.427280637112482e-13,1.710481628282706e-24,4.535674133408479e-09,0.0
2400,7.97773799205596e-05,6.129545288631664e-05,0.9875725371147573,0.011662463179804218,4.832095372989991e-10,3.32832434736904e-14,7.053487402034689e-07,0.00019435475852980314,7.536033584747488e-06,0.0005752230055431385,5.427617644329614e-13,2.035525946838971e-24,4.964592852473736e-09,0.0
2500,7.860862937274785e-05,6.171934541366642e-05,0.9865838239559239,0.013219432625113168,5.412108686416483e-10,4.1499972405509416e-14,7.178818210105115e-07,0.00016929976366903253,7.505767056967429e-06,0.0005885066934678875,5.549358042675935e-13,2.3098277152298183e-24,5.180441134609547e-09,0.0
2600,7.8703487340975e-05,6.216428089994886e-05,0.9851700223941531,0.012980313747562089,4.822390309898963e-10,4.4225746803875264e-14,7.860452674768789e-07,0.0002263340645586446,7.452003810403692e-06,0.0006594607385072927,5.618098790976946e-13,2.995242548390407e-24,5.515861122686258e-09,0.0
2700,7.886285521820432e-05,6.214143025487513e-05,0.9857542707417151,0.013526118606915716,5.823123021303839e-10,4.11142611361633e-14,7.484671799151746e-07,0.00021972250017804573,7.408235186535071e-06,0.0006508480311024116,6.938147273373039e-13,2.8015857784614073e-24,5.939446326951858e-09,0.0
2800,7.824708451275217e-05,6.11243701171991e-05,0.9855588296712594,0.014588084778392775,5.635962466700127e-10,4.4360894664468594e-14,8.0336056232215e-07,0.00022071048324602208,7.41691219730681e-06,0.0006582220674347858,7.09457931748437e-13,3.1890667158954056e-24,5.5880902906997445e-09,0.0
