milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.00015004991108032734,4.77262404171521e-07,0.9992145112074972,-0.00032752951591472366,-3.686569242759746e-13,5.50376432368322e-16,-4.043953860420218e-08,1.0920051608070069e-05,-5.425450075817856e-08,9.997569661206615e-06,2.385602814870352e-14,-5.595755494696763e-25,2.515511964874317e-10,0.0
100,7.990953722357297e-05,6.350711577158122e-05,0.9988038465999559,0.0007368013792492277,-1.7106504069187846e-11,2.8539782324020004e-15,2.702083661042542e-08,-1.6418664540394017e-05,7.4617787280614414e-06,-6.553717317959551e-06,-5.609161434956272e-14,-4.491063418593847e-25,1.771680099557815e-10,0.0
200,7.861465201864844e-05,6.353195719422552e-05,0.9986438576167551,0.001290885490092914,-5.221182320356939e-11,-2.7535223990332022e-15,6.355235055777544e-08,1.414585122229281e-05,7.6204616415556005e-06,2.3634490349882376e-05,1.8996657479338534e-14,-4.756818805976778e-25,1.0217717466663989e-10,0.0
300,8.040165094884656e-05,6.353002535728678e-05,0.9989975853570134,0.0020217859870706647,4.6298839886201073e-11,-1.054021694006462e-15,8.641451424634334e-08,-1.4499666880366394e-05,7.510894600415022e-06,9.068065675708464e-05,4.099261268263e-14,-3.86735426593292e-25,8.416910145046548e-10,0.0
400,7.962387186173651e-05,6.213675901597445e-05,0.998466901160183,0.002611506530833959,5.439262247761678e-11,5.083678413161955e-15,7.719357108783716e-08,-6.071507322331363e-06,7.536106064044264e-06,8.069560494981675e-05,7.242194225543341e-14,3.2083134353650377e-25,6.498354736820335e-10,0.0
500,7.934836461193193e-05,6.317744207606378e-05,0.9975195712044123,0.0029636201459960617,9.217168474423844e-12,3.5839121484722035e-15,1.0694104618486016e-07,8.851903914373284e-06,7.579222277909683e-06,0.0001450511764640725,8.816814344089226e-15,4.656948835895526e-25,8.188493518265851e-10,0.0
600,7.880245947149608e-05,6.223471316580981e-05,0.9969638041392883,0.0026313001131965585,8.79073420362953e-11,6.51586291388429e-15,2.046987828250562e-07,3.368779404930064e-05,7.559554823926644e-06,0.00012136593819862834,-2.600063790289246e-14,-3.4431420310618284e-25,1.2715695269721068e-09,0.0
700,7.898976351819166e-05,6.287601062963706e-05,0.9962834153330645,0.004002518507426431,3.544225079683301e-11,7.0538440045354204e-15,1.9507479716532476e-07,2.744438516061786e-05,7.546997909138318e-06,0.0001708289940487433,3.8079216176593584e-14,5.324185684160823e-25,1.3700355671263537e-09,0.0
800,7.875711539173782e-05,6.268401462277703e-05,0.9960108090588028,0.004228869425807721,1.6877465665342636e-12,7.546547713144133e-15,2.583024176985703e-07,2.7566641105382124e-05,7.632778097535902e-06,0.00016032133827698108,1.085798116116697e-13,-2.067784792872946e-26,1.3305686612670473e-09,0.0
900,7.84065115660832e-05,6.305616473513745e-05,0.9943645020348231,0.003984086001677816,4.9407239965510934e-11,6.189847430223743e-15,2.895864204118933e-07,1.045533880744727e-05,7.59283055834381e-06,0.00021903675417305428,9.475746452860722e-14,2.7642825148354963e-25,1.7226716107201335e-09,0.0
1000,7.883172573576526e-05,6.218302059104856e-05,0.9952425331674658,0.005507439600598046,5.1960558719029216e-11,7.341467203406351e-15,2.872748606232557e-07,3.1217511231268395e-05,7.557227840669059e-06,0.0002474617128689605,1.4262107129036465e-13,-6.637994732367372e-26,1.8118140898827862e-09,0.0
1100,7.944426108991762e-05,6.174593763907292e-05,0.9936328903590668,0.005805831852737577,6.626565972059116e-11,1.0350906321327046e-14,3.081826355862653e-07,3.4948792351483096e-05,7.564934868546966e-06,0.00025249109027096397,1.1238047697553632e-13,7.958230996088627e-26,1.994383891755575e-09,0.0
1200,8.019384940224203e-05,6.199954681666069e-05,0.993923552905748,0.00680579445527473,1.5063176448901536e-10,8.916403195652328e-15,3.341359543105006e-07,2.6594107910922876e-05,7.506228831835362e-06,0.0002950804479683623,9.557690635406773e-14,-1.6948070311408466e-25,2.4261875268622945e-09,0.0
1300,8.012660238489541e-05,6.175209274714575e-05,0.9929956444090032,0.007345795503286077,1.593514978142499e-10,1.1054632556026432e-14,3.7018371165576514e-07,4.014886886088877e-05,7.501923008513163e-06,0.00033357018938972747,2.1142851556870218e-13,-2.268417851252586e-25,2.4457101229555245e-09,0.0
1400,7.857191191372933e-05,6.229753569678057e-05,0.9916217445986057,0.00707891797735313,1.55996492736628e-10,1.2482621212333664e-14,3.738922542809052e-07,4.190929901224496e-05,7.427627872668564e-06,0.00035306587631498115,2.197967499282e-13,2.636759837135288e-25,3.066909560675898e-09,0.0
