milliseconds,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1
0,0.0001493108778603622,1.5926065850719345e-07,1.0002805710682545,0.0002811817063297255,-3.568797601019664e-12,1.8761051027941656e-15,-2.4093419273654353e-08,6.221002758307648e-06,-1.0249584064136735e-07,2.6145840992573488e-05,-3.557224806992886e-14,4.291338774020332e-25,2.028480838638951e-10,0.0
100,7.95553778884676e-05,6.326307357368438e-05,0.9997355102892059,0.0009288721738797852,2.127388890501094e-11,8.123277231825448e-16,2.1231257317836037e-08,1.1244457585288382e-05,7.46060304052462e-06,-1.1958262130067879e-05,1.9987422910435187e-14,3.905227400067279e-26,5.4886209885197206e-11,0.0
200,7.863909602538064e-05,6.269520858679543e-05,0.998830825530037,0.0008877767818770023,2.2103528906796337e-11,2.3098589286015762e-15,2.775456761957175e-08,7.99112445929518e-06,7.492574548994436e-06,2.8365566489579167e-05,-4.156899269238474e-15,2.8066233338691307e-25,3.0297030585962404e-10,0.0
300,7.983933998308616e-05,6.238089787007806e-05,0.9980520840571798,0.0016833497737838634,6.58296290636233e-12,3.3109583790096403e-15,4.476260459792302e-08,-9.464058261723997e-06,7.467912182235265e-06,0.00010094616772753388,-2.904910212781397e-14,1.976750061430085e-25,6.310597521041376e-10,0.0
400,8.035128566001415e-05,6.204630840679042e-05,0.9971995009103108,0.0026071796638897204,-2.7878067049754594e-11,2.032764895491063e-15,1.4449014930662003e-07,-1.7155793419951763e-05,7.502481559852923e-06,0.00012603692977724207,2.6533553030697392e-14,3.391866419463857e-25,6.504352637726368e-10,0.0
500,8.008437735007905e-05,6.25804091938998e-05,0.997772504379749,0.003120429767561529,5.204535418988702e-11,4.527236830921278e-15,1.3516806005662758e-07,-1.5009393689480489e-05,7.490616108710936e-06,8.768382031216316e-05,8.581754814634623e-14,3.5456112789686268e-25,7.1611294113793e-10,0.0
600,7.864200429751111e-05,6.290484922294895e-05,0.9963916317312139,0.0029053425802669946,1.903701748626286e-11,6.1764725808148755e-15,1.4926578853819714e-07,3.04144018891886e-05,7.532295251542618e-06,0.00012290815369201538,1.0482603343299147e-14,-4.091072907092051e-25,1.2947567441876932e-09,0.0
700,7.978118265292927e-05,6.340837490005634e-05,0.9968935625895672,0.003210140926388366,7.651505160674789e-11,-5.582391623034264e-16,1.7222504109400307e-07,-3.450900811937822e-06,7.534051014899779e-06,0.00013394976926777376,2.084582791530558e-14,-1.1065256571067066e-25,1.431623765002696e-09,0.0
800,7.988084635217808e-05,6.196107440165255e-05,0.9963329420829281,0.004578599568670551,3.110516122644528e-11,2.0092217103928378e-15,2.615169049842769e-07,4.171112249494261e-05,7.580679184165482e-06,0.00020748969130569592,6.427292203515871e-14,2.6814019786993184e-25,1.359989487500252e-09,0.0
900,7.968511137129468e-05,6.187303708320216e-05,0.9954551421688389,0.003977922384885312,9.990203357987759e-12,7.214635931445725e-15,2.6019166993923314e-07,4.203392065284009e-05,7.550262348144861e-06,0.00020951240781549816,5.717701542862058e-14,6.529702525019491e-25,1.6911239278408536e-09,0.0
1000,7.872719696193704e-05,6.171198293663198e-05,0.9953149877181748,0.005446704989019554,1.3144982747843406e-10,9.528061137066309e-15,2.809022587427978e-07,9.751773851043469e-06,7.595070161105489e-06,0.00023673777888618384,5.81018045005441e-14,5.62646108520568e-25,2.017195741359745e-09,0.0
1100,7.868916430321722e-05,6.333626820161274e-05,0.9933601101543876,0.0061891011940779705,1.2723099598447213e-10,3.734140742789033e-15,3.2903343771772257e-07,2.3033896406107187e-05,7.618838065638921e-06,0.0002482969611214087,9.489541683415919e-14,2.604850883913273e-25,2.000082273448154e-09,0.0
1200,8.033852874634313e-05,6.185255175984263e-05,0.9941398148059274,0.005891899935865994,1.5760075530335728e-10,4.2804291044526135e-15,3.2245676861777116e-07,5.606905536967305e-05,7.416270075352073e-06,0.0002662257377228325,1.225335491136641e-13,4.178740411539558e-25,2.4454228522304914e-09,0.0
1300,7.878239421060943e-05,6.159911433662715e-05,0.9936999894253521,0.006472571680536363,1.296510291118202e-10,6.107964095534225e-15,3.644759627967797e-07,4.752281220325329e-05,7.559912212031947e-06,0.0003029658065960527,1.485508866952771e-13,5.405032145828375e-25,2.8640699990872877e-09,0.0
1400,7.913323707382985e-05,6.166421988956964e-05,0.9923647397825502,0.0064900706862126515,1.6690193521086387e-10,1.391140678222248e-14,4.278198657379891e-07,6.0819981709569954e-05,7.461163908593147e-06,0.0003408964048584807,2.3051694297545397e-13,2.587112404622718e-25,3.1394745039217033e-09,0.0
1500,7.964034678858354e-05,6.158791795377367e-05,0.9926066216824141,0.00783545274201411,1.3788533813803603e-10,1.0930095517982041e-14,4.625256408880385e-07,8.757627537513744e-05,7.458812078125558e-06,0.0003469562956548037,1.2979802988687508e-13,6.749708259774983e-25,3.3234148512200295e-09,0.0
1600,7.881223264601582e-05,6.254604609679726e-05,0.991715395233305,0.008599348749475018,2.0486381684497183e-10,1.2459334063594531e-14,4.257350611954151e-07,7.090324029834479e-05,7.405288251046847e-06,0.00036148739428543277,2.2123512576760704e-13,1.6542826864773146e-25,3.4947298431275998e-09,0.0
1700,7.940491979721463e-05,6.255466627345527e-05,0.990741668682748,0.008057653195982577,2.25950449379082e-10,1.6925410449080502e-14,5.306049210711165e-07,9.360965114517957e-05,7.589874669997513e-06,0.00037542698470534075,2.628219914945861e-13,1.1095831841480734e-24,3.259805849050065e-09,0.0
