milliseconds,cpd_C00208_CY,cpd_C00208_CS,cpd_C01835_CS,cpd_G00343_CS,cpd_C00031_CS,cpd_C00031_CY,cpd_C00569_CY,cpd_C00569Glc_CY,cpd_C00051_CY,cpd_C00660tot_CY,cpd_C03339tot_CY,ec_3_2_1_2_CS,ec_3_2_1_68_CS,ec_2_4_1_25_CS,ec_2_4_1_25_CY,ec_2_4_1_1_CY,ec_2_7_1_1_CY,tc_2_A_84_1_2_CIMS,tc_2_A_1_1_17_CIMS,cpd_C00369db_CS
0,9.962483409436505,10.132295083291421,100.03488814946067,1000.0026223633392,9.986649975488799,9.589131435192721,9835.707074771257,9930.16729113761,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.06569001282101e-15
100,10.06374257180152,10.081677893641686,100.0846597453526,1000.0109197498783,9.95054537661668,11.435496831121625,7167.951977038972,12734.491266909514,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.0635840391124466e-15
200,10.056226496786943,10.283445414320983,100.05648988724121,999.9168285580599,9.62506852026384,12.026869889749971,5054.754813498277,14715.953256074496,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.0692256521278642e-15
300,9.98871817520154,10.374137570317103,100.19554238427266,999.8801027040762,9.199971203284887,11.90246881071085,3703.721046568054,16376.137305254953,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.086329025901684e-15
400,10.051571278083143,10.280000451395804,100.23622941082704,999.8364792675974,9.068091167864866,13.837500231621098,2412.9689756290622,17304.422156512825,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1090180784898517e-15
500,10.090543143538055,10.366207453546707,100.28809047615378,999.819693736517,8.830012246313128,13.42947932582128,1797.6071450437385,18318.475598042118,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.096383767484141e-15
600,10.02197063440932,10.468111798275041,100.29658849501415,999.8426016285287,8.551380734794723,14.4687455681306,1410.8128969216687,18651.70088277191,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1151313004091343e-15
700,10.104184095725286,10.62993313956907,100.36296859128251,999.8006029298712,8.286599690105714,15.607904064326856,906.1861901439595,19164.811310374327,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.114428177322377e-15
800,10.104041229674309,10.705205947417248,100.43846546075757,999.7379938148824,8.235525214726163,15.383806165422996,464.12660707862045,19347.549492788017,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1265156169289744e-15
900,10.08387590779394,10.844940489484845,100.41532649134828,999.7106709828556,7.7941387266073905,16.121216448400695,263.12574465617934,19507.834729510803,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1316910670011996e-15
1000,10.192888005109426,10.991809505513965,100.5215869964131,999.6732898970532,7.973635512028567,18.100804036352514,163.16564264094788,19600.766416192717,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.144902944559204e-15
1100,10.101570252162379,11.032885981919994,100.61013607256513,999.6593196745273,7.493417780790178,17.465096460518037,111.23921557369388,19748.23374968306,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1507694859671834e-15
1200,10.112659958528559,11.2876897362076,100.57846959753597,999.5984735299999,7.630314582693241,18.664133969109407,116.04476111531407,20025.91985967735,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1618793681707847e-15
1300,10.288446015371807,11.29058270435648,100.71516546576842,999.5605900502977,7.086655965717427,19.73670784299942,-74.64585951959667,20075.48635157968,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1811813809621545e-15
1400,10.303904865993253,11.398621215565464,100.70106970104109,999.5959991854429,7.167211239070021,19.989169745895552,166.54564110419926,20049.650210162723,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.1841364823145e-15
1500,10.311016833567884,11.398189741109267,100.83424692735065,999.5388681810654,7.026778432371316,20.286499687082053,-11.829696493375202,19961.404167511984,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.199897410274319e-15
1600,10.403376457620602,11.415649970815643,100.79713057030197,999.5254971285153,6.605751199970032,21.352733310351056,-72.94424713990841,19971.251897785914,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.2071146508022298e-15
1700,10.430416874600704,11.691085737152685,100.8268397195251,999.4520766791157,6.5812616878782375,21.193793880986128,94.50927481908735,19949.915786194528,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.200248034385248e-15
1800,10.410448813070651,11.618314726128009,100.9813637482035,999.4240576582922,6.246776258259563,22.748163685282194,-50.812101477641505,20048.94409819227,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.204102976990879e-15
1900,10.50123197287412,11.97059236357379,100.98168898885726,999.444927507334,6.07383770965466,22.917758596785546,-154.72308113490675,20015.664178641946,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.2280212082548496e-15
2000,10.616446836654447,12.04477210889507,101.03867788140612,999.4122271065528,5.985658851131482,22.863532418608546,134.6324684867968,19811.64566410839,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.2203000240994046e-15
2100,10.600572773254017,12.163817730992339,101.06594926206415,999.3253962685786,5.9943214451082545,22.93370836040758,-33.04942789827341,20002.78662456042,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.2492305450206725e-15
2200,10.620289326218959,12.159363986501644,101.17561010348741,999.3494625266857,5.791617021057426,23.856783831731786,53.421726474965226,19835.273428839388,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.2526221478483546e-15
2300,10.728885028321317,12.352846317996784,101.14799201047202,999.3121803154768,5.778781776863336,24.850851412111428,-71.46996116207106,19878.196137793988,1000.0,9999.999999999998,9999.999999999998,0.007829999999999998,0.011799999999999998,1.9999999999999998,2.0,2.0,10.0,1.9999999999999996,19.999999999999996,2.252806732728764e-15
