miliseconds,cp,ca,dho,oro,omp,ump,udp,utp,ctp
0,0.0006822605262056106,0.0003229828696998674,0.00037036452200882075,0.0003686646101722318,-0.000455664477311154,0.0003675794892539638,0.0028852991632770473,0.00663582001991933,0.0016348937277084817
100,0.01535923792385842,0.00014571037689386666,4.2108905520224704e-07,8.337942280225946e-07,0.0013459786793153948,7.13196056768477e-06,0.00016819267879465653,0.0018617217824720288,0.010677270733864312
200,0.024159174493513215,0.000372533359301899,4.04604567110921e-06,-1.9048829001881866e-06,0.0018887029108156893,7.256438885814918e-06,5.466723164591916e-05,9.442366672572468e-05,0.008737898031840625
300,0.03566819943877707,0.0006232070515296932,3.22242937439918e-06,2.2259746159343848e-06,0.002420561893355107,1.2603755717088738e-05,0.0001329037523432433,6.652614879204454e-05,0.007564321212692038
400,0.051799997423476726,0.0008530677073315133,3.16738363910578e-06,2.822285198478266e-06,0.0032126263231156,2.846769512640822e-05,0.0001520689252299421,0.00011822095366569785,0.012720919099148064
500,0.06133655028214442,0.0010078355521467104,5.244247226291919e-06,3.1926480443550323e-07,0.005373470957273515,2.958739081567334e-05,0.00023696301997660506,0.00016739820958239346,0.011396696402415389
600,0.07204706328293742,0.0012166967758545067,6.1951670976810644e-06,-5.350621296381178e-07,0.006476013730193355,4.433941994060028e-05,0.00029551840831106084,0.0003241290911718626,0.009479856608225444
700,0.07840022948714914,0.0013921091264393686,7.701115458812522e-06,-1.7194932888653882e-06,0.008414742002595456,5.545873183182788e-05,0.00038488775620046964,0.0003315471640161611,0.014371272186304903
800,0.09054208213529383,0.001607965109036269,5.066912550001995e-06,-7.39236792426244e-08,0.009335991607395296,6.86519116510806e-05,0.0004518545131701219,0.0004161064054147611,0.0156492421585528
900,0.09379653998168902,0.0017236735639071243,6.215589096311287e-06,2.9476990758871204e-06,0.01109822207448766,8.440983453262524e-05,0.0005758397812018253,0.0005310978601741152,0.013069948550835729
1000,0.10162025389100489,0.0019078697531663322,6.807985939659167e-06,4.4649071096099266e-07,0.012857282284266932,9.077862515432211e-05,0.0005911897250933959,0.0005798326802304528,0.015432633552055474
1100,0.11508547892312464,0.0020813897305630882,6.076592999227333e-06,-2.2373599740145391e-07,0.01549999512916423,0.00011265774626704792,0.0007077697221533485,0.000793068937468707,0.020008689415071
1200,0.12091535141145149,0.00214751065277956,6.580625058793505e-06,2.0456317051083386e-06,0.017562669403076114,0.00012182957433479817,0.0008368032803125357,0.0007866841398463606,0.022456226366813686
1300,0.12614530130467116,0.0022360348808514556,1.0022440028417563e-05,-4.466667746721533e-07,0.01840223103480073,0.0001349298260502872,0.0009328257942491681,0.0009431728038210296,0.022095351164273358
1400,0.1304520319659399,0.002459484198166972,8.535234583945807e-06,3.4162148925718114e-06,0.020892647521271786,0.00014415405534122622,0.0010167170659469286,0.0010699048936834807,0.029938739703662086
1500,0.13895222123210832,0.002577241862949326,9.6134563697431e-06,8.521979036782263e-07,0.022162951922074146,0.0001560615959402571,0.001088435963894582,0.0012271709936020414,0.028844816814953766
1600,0.14176321837884256,0.00258022110159821,1.2793008753487384e-05,-3.0498385224331203e-07,0.023389112963322647,0.00016822815071692703,0.0011254848670765596,0.001416122200779082,0.030827560926973505
1700,0.1535310136660798,0.0027846565178825168,1.0722496285882263e-05,-6.790434918554305e-07,0.02515716184957489,0.00018367404005584272,0.0012023670957171464,0.0014151503729280012,0.03349051394761193
1800,0.15847632530912986,0.00282544689154099,8.754472448905094e-06,3.5410966820719947e-06,0.02648626486697647,0.00018859815099678937,0.0012876982852834489,0.0016639394113432523,0.0381794817912907
1900,0.16457868150488994,0.002933052195732652,1.3793755026876066e-05,2.1044812168020216e-06,0.02877458039230283,0.0002002084431853449,0.0013302634575372493,0.0017012082153316406,0.043812397780628225
2000,0.16600587392274785,0.002938785305877071,1.1216770898560628e-05,3.3516789804751287e-06,0.030292067177367012,0.0002113220468057206,0.0014465708752691684,0.0018460668617376963,0.04608435964831813
2100,0.172097957829754,0.003023814466846552,1.1278780158104774e-05,3.8212508044558875e-06,0.03029260507389891,0.00022070711144669283,0.0014839420030078254,0.002043069573909235,0.051464148140001525
2200,0.17484298809429677,0.003103904646574189,1.0528827324212135e-05,3.0655120679559516e-06,0.032693351027462854,0.00022952877202187143,0.001551713664341677,0.0021678568202346737,0.05730424347918209
2300,0.1807109800484314,0.003275433469656412,1.0646537494312848e-05,-9.671696047155352e-07,0.032801512708247445,0.0002372195606304302,0.001622829134486866,0.0022369667404903,0.05883452058267471
2400,0.18093780085469416,0.0033520925580371812,1.4877244288420896e-05,1.8156937562224944e-06,0.03493160605435471,0.00024498344827766135,0.0017166039089075071,0.00236911422175725,0.06557329162379523
2500,0.18473095800250347,0.003362683077916795,1.1799539348909115e-05,5.034277578819742e-07,0.03576018027554215,0.00025217978358954514,0.0017441487151034986,0.0024007789711258816,0.07295507085264613
2600,0.19008008861543638,0.003407596912176698,1.503034067141579e-05,-1.936807543495326e-07,0.037401048239748026,0.0002650126533468899,0.0017625777069346835,0.0025333007885809337,0.07683914633831523
2700,0.19211549753384657,0.0034427458038774,1.11625630262202e-05,4.6059784890693396e-07,0.03747645141350017,0.00026586223487538933,0.0018504934922393636,0.0026637406990297945,0.08113080742295878
2800,0.2014911504757449,0.0035751218190820393,1.1662605565007811e-05,2.3007285002389996e-06,0.038233455670684854,0.00027210596680797333,0.001928514448515358,0.002898151597451313,0.08893640892727557
2900,0.20291760182326268,0.0036344380755981005,1.3302852243308506e-05,2.6461345625026325e-06,0.038926431766237383,0.0002753209973422693,0.0019717057561249923,0.0028729110940209556,0.09084780110337319
3000,0.2045758758020644,0.0036494849135456143,1.5036260608474807e-05,4.107875829333184e-06,0.04065081273740364,0.00028346131174043494,0.0019455358368198694,0.0030101672751949773,0.09962185114220211
3100,0.20466398702309008,0.00364470468665079,1.6922376898299976e-05,1.8533170413504408e-06,0.04118276376595764,0.0002970258314840556,0.0020216382659856494,0.003251073095087992,0.09999380755576262
3200,0.21003702075695324,0.003710063799644785,1.4276014844720034e-05,2.722700937853509e-06,0.04153089386571632,0.00029666028829171404,0.0020897329634342408,0.003288133136010634,0.10583947238714676
3300,0.20987970662288294,0.003786025391636655,1.644702936961761e-05,-6.073412953426126e-07,0.04277494394331186,0.0003033266209852996,0.0020883220840086153,0.0034674274342243586,0.11608749285511423
3400,0.2128847340671902,0.0038438365937369092,1.74380798941712e-05,-2.575500692570401e-07,0.044194510354045584,0.0003088288580167099,0.0021601940653363165,0.0035357272628707558,0.11653556865013086
3500,0.21966761406987023,0.0038224778014008805,1.3913972815546567e-05,2.513747223868113e-06,0.04421405929765832,0.0003101186656258205,0.0021768471972883857,0.0035495450075469933,0.12368298608853703
3600,0.21951066958302332,0.0038824889248295813,1.4550228175949456e-05,8.000803521983551e-07,0.04526965164889459,0.0003172104123061049,0.002229157138114883,0.0036577032799078924,0.1296333657675933
3700,0.22435846112820065,0.003997720399211953,1.3672527777161413e-05,2.0614474669676203e-06,0.04523217678394549,0.0003197264263328019,0.002262670231627026,0.003763919585134724,0.13533888392313773
3800,0.22602899316388067,0.003955421595254622,1.5781592080011362e-05,3.559530789825731e-06,0.046627145579175557,0.00032616200117833115,0.0022765918886567464,0.0038551658365044215,0.14510385694479735
3900,0.22667832085080789,0.004007631507572976,1.3967912173825755e-05,1.3178768377723416e-06,0.04612884511706605,0.00033125416183853813,0.0023033887876253894,0.004056502710206398,0.1503173682742047
4000,0.22868770792436743,0.004007862737552649,1.3728969337538988e-05,3.964232150096745e-06,0.04760133292683674,0.00033892028961156405,0.002297511107532143,0.004095218870892054,0.15272583282684757
4100,0.2320571447888557,0.004068422425169103,1.4984733087892217e-05,2.0114476912140687e-06,0.04725253778822026,0.0003412929919074199,0.00238755224049097,0.004180288096591813,0.15861556342479546
4200,0.23227029042957778,0.004156601489122234,1.617052525224388e-05,2.8180909140571248e-06,0.047831426178000395,0.0003465842945570715,0.002351512584893655,0.004193567244205731,0.1640425220959579
4300,0.2358212614428332,0.004187735538406829,1.5146589011525821e-05,1.442714251072185e-06,0.049312822313575505,0.0003456009540607909,0.0023706572916733963,0.0043639553986047335,0.16793248894245164
4400,0.23378141461788332,0.004148674490644114,1.4764619068230394e-05,5.293120071474547e-07,0.04942884696153885,0.0003517555673523996,0.0023824037946321213,0.004412705954659993,0.17979091105904665
4500,0.2370588632627014,0.00423165577289165,1.8833298639005246e-05,4.3314691267219965e-06,0.049401506462649195,0.00034870449747788167,0.002420112176901808,0.0045844614930968,0.18596998792825822
4600,0.23731273636121603,0.004188017977199132,1.5280651998514365e-05,1.2573143749982686e-06,0.0503012581436657,0.00035733034624382945,0.0024304386759099916,0.004578025753711389,0.1900552209745742
4700,0.24066435445164114,0.004175660061452674,1.6840617175107307e-05,3.3644870845285713e-06,0.04966680169641666,0.00035689430337042407,0.0024448936206295105,0.0046924319648200714,0.19619738411018134
4800,0.24215260027038135,0.004218679138118125,1.5767173147666113e-05,3.95901162723858e-06,0.05130083156060635,0.00035490756330702197,0.0025125939079989183,0.0047152469724545286,0.1980775016406197
4900,0.24179980658202269,0.0042813145793721115,1.4708349787954407e-05,2.568859772368386e-06,0.05087312692242261,0.00036356460398829333,0.0025347826120770494,0.004767461961566472,0.20925853575550268
5000,0.24296038609497234,0.004248613327225156,1.6948907962195007e-05,3.577540435654643e-06,0.050897493388064284,0.00036125750130866664,0.0024982279996504826,0.004933691642417029,0.21230816350671297
