milliseconds,ADP,ATP,MT,Hsc70,Hsp90,CHIP,Bag2,TauH3RUb,TauH4RUb,Nucleus3,Nucleus4,Agg33,Agg43,Tau03R,TauN3R,TauH3R,Tau0_3R,Tau03RMT,TauN_3R,TauN3RMT,TauH_3R,TauH3RMT,TauH3R_Hsc70,TauH3R_Hsp90,Tau03R_Hsp90,TauH3R_CHIP_Hsc70,TauH3R_CHIP_Hsc70_Bag2,Tau04R,TauN4R,TauH4R,Tau0_4R,Tau04RMT,TauN_4R,TauN4RMT,TauH_4R,TauH4RMT,TauH4R_Hsc70,TauH4R_Hsp90,Tau04R_Hsp90,TauH4R_CHIP_Hsc70,TauH4R_CHIP_Hsc70_Bag2,_20S,_26S,Ap,Bp
0,1.0,0.0,15.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
100,0.9343137629681365,0.06568623703186305,14.998537206309617,0.09999999999999998,0.1,0.1,0.1,7.162482451866637e-24,9.67591480256952e-23,3.1269630516762705e-53,7.028967697542134e-52,6.326269834308543e-79,1.2902087770221694e-76,0.00273657768491317,8.737212755297287e-08,7.381799619065814e-13,0.0001172454706442875,0.0008693074246771701,3.3207996719067577e-10,6.529685449866219e-07,1.4049181525943574e-14,2.9283916339289574e-13,1.197604284902068e-17,2.5955965467608426e-21,3.533667613759611e-24,1.8989706277189468e-20,2.847028517638139e-23,0.0018627040367005414,5.70472025916846e-07,9.485507838596064e-11,7.945144925267524e-05,0.0005926169899875585,1.1214856600136817e-09,2.1630055860728645e-07,1.1015478091559449e-12,6.337475330538168e-12,2.6699973076889903e-17,1.1207995657418285e-20,2.97015254517791e-23,1.3621303506353068e-20,9.73579032786376e-28,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
200,0.8730614452505053,0.1269385547494942,14.994817395259549,0.09999999999999815,0.1,0.1,0.1,1.454238207707494e-21,1.975857637647478e-20,1.5295706310043853e-49,2.499194231590209e-47,1.8906245163647932e-73,4.096728857702446e-70,0.004173769575084514,5.217783632816553e-07,1.684618007722183e-11,0.0001863249754731225,0.0030728384773706,3.4347119335948076e-09,9.375632229010465e-06,5.636268674497513e-13,1.6572203935129527e-11,5.722863033451958e-16,2.566774563677367e-19,7.181449650737469e-22,1.8768666620856295e-18,5.780191215287093e-21,0.002837826690454735,3.464568257129776e-06,2.1921562606294777e-09,0.00012534687844317592,0.0020972958202551623,7.097311017174551e-09,3.094453937380605e-06,2.8908703274470587e-11,3.4010865081060915e-10,1.2915296534098307e-15,1.1190584980877847e-18,6.0895430627965084e-21,1.3537304307936079e-18,1.973080835073661e-25,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
300,0.8159671218800478,0.18403287811995173,14.989909066255292,0.09999999999998378,0.1,0.09999999999999996,0.1,2.989164153143673e-20,4.0777588099501527e-19,8.67447662730374e-47,1.6047562232166928e-44,3.270820230380594e-69,8.230265321255043e-66,0.004927889911526768,1.3418567271825206e-06,9.299702195752631e-11,0.0002244036132336111,0.005960992777371964,1.3213219723596217e-08,4.0744099840985206e-05,4.709584079017982e-12,1.584388548842913e-10,4.943572112657574e-15,3.4326451210937606e-18,1.478089874032761e-20,2.5085812698614983e-17,1.188441622289385e-19,0.003345234754456256,9.046040526709117e-06,1.2197747752313898e-08,0.00014968366708648678,0.004075722392013294,1.912043775387431e-08,1.3471212842509271e-05,1.7431782209819993e-10,3.104242009968802e-09,1.1256908219595985e-14,1.5072587037289908e-17,1.2619808987896215e-19,1.8145663852527205e-17,4.040251874251489e-24,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
400,0.7627709520292593,0.23722904797074026,14.984382735531605,0.09999999999992942,0.09999999999999991,0.09999999999999976,0.1,2.418949047799238e-19,3.3068349844933052e-18,7.651233511209458e-45,1.4261450577401383e-42,3.038343443482845e-66,7.733091486025453e-63,0.005323252932044048,2.4711062144181105e-06,2.9046765592774874e-10,0.00024617000365985875,0.009179517575970615,3.356425893626008e-08,0.00011011039767439447,2.0587173759588602e-11,7.423168213710089e-10,2.138929336076873e-14,2.038027291271003e-17,1.198130547838448e-19,1.4885142429809877e-16,9.623055433771226e-19,0.0036067910395755397,1.6879139491349497e-05,3.818214785406887e-08,0.00016268160403706055,0.006291081698196513,3.678993207341362e-08,3.65401231543937e-05,5.853054447798561e-10,1.3931223870931617e-08,4.895626708254657e-14,8.987422730644114e-17,1.027778265746673e-18,1.0765892299134466e-16,3.250089094999535e-23,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
500,0.7132270984873076,0.28677290151269175,14.97853769649937,0.09999999999978916,0.0999999999999996,0.09999999999999903,0.1,1.179459220828656e-18,1.6123742324525816e-17,2.311256226248875e-43,4.3124309237666515e-41,5.7641411967147887e-64,1.4700770269004557e-60,0.005530536523381819,3.81832212384267e-06,6.699916802065919e-10,0.00025934870117645616,0.01253728449742919,6.782744171436551e-08,0.00023078270786803411,6.303678711817682e-11,2.3672185772644144e-09,6.378563233634974e-14,7.795560163948936e-17,5.853687187472646e-19,5.690173608350577e-16,4.696313611396133e-18,0.0037395933046470713,2.6364427749240867e-05,8.767794981667338e-08,0.00016973424411795466,0.008617246988829486,5.931879187492332e-08,7.694427384127332e-05,1.4374861141729938e-09,4.2665621265328605e-08,1.4611725531024232e-13,3.441822431967638e-16,5.0333372499627956e-18,4.1016997540102116e-16,1.5716366107644552e-22,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
600,0.6671028227059952,0.332897177294004,14.972530468623686,0.09999999999950127,0.09999999999999878,0.09999999999999716,0.1,4.187901306136253e-18,5.71196889411324e-17,3.5726872542792736e-42,6.643716510135646e-40,3.860728580336535e-62,9.8052540322213e-59,0.005639407635569269,5.308510683854494e-06,1.2848826600821695e-09,0.0002679951861878129,0.0159306288179253,1.1866284531940124e-07,0.0004133416945944154,1.5414847674065962e-10,5.93940432461451e-09,1.5110887227197218e-13,2.267155559970697e-16,2.083275172948949e-18,1.6538169476189924e-15,1.669479014992744e-17,0.003805261692748283,3.695623967144418e-05,1.6615962597508492e-07,0.00017368031773130655,0.010986915626444436,8.595443887687802e-08,0.00013853624969058508,2.911612637022209e-09,1.0304851150284702e-07,3.4482164784740946e-13,9.988127846710354e-16,1.791121132435355e-17,1.1840123196410003e-15,5.520594095596834e-22,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
700,0.6241779934987136,0.37582200650128567,14.966442663793837,0.0999999999989928,0.09999999999999702,0.09999999999999314,0.09999999999999998,1.1977020488664778e-17,1.6259522512239733e-16,3.450078096952802e-41,6.368526279187133e-39,1.24437702727377e-60,3.129047720250838e-57,0.005696936203667257,6.88796383559263e-06,2.1818299378461286e-09,0.00027423671714806903,0.019302950318274618,1.8808891988832504e-07,0.0006657559233260496,3.229873176910035e-10,1.265890678856233e-08,3.0668664272101737e-13,5.475315571934577e-16,5.973447484711098e-18,3.991512027051472e-15,4.781418292395292e-17,0.0038361569993401643,4.821680092223172e-05,2.766226200673089e-07,0.00017601101411242838,0.013364016073191713,1.1609071128792921e-07,0.00022438933954750244,5.181280182842542e-09,2.118932741470025e-07,6.936847171423414e-13,2.3985508308932388e-15,5.1219378407926274e-17,2.8278754748091325e-15,1.5579147428594859e-21,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
800,0.5842446989482409,0.41575530105175834,14.960316550392525,0.09999999999818396,0.0999999999999937,0.09999999999998557,0.09999999999999991,2.9298235195315236e-17,3.949038056582522e-16,2.3898005801830508e-40,4.3603497305172415e-38,2.429078394311573e-59,6.01081655744253e-56,0.005727754738743127,8.521064348462557e-06,3.404873827777786e-09,0.00027918550351847365,0.022623262203600475,2.7756877161301384e-07,0.0009937400126305612,6.047950205860569e-10,2.398278481676374e-08,5.577084650141039e-13,1.1571918259422392e-15,1.465401882509816e-17,8.430462781754938e-15,1.1715958620782275e-16,0.0038492000698398367,5.98126377086461e-05,4.197971539033013e-07,0.0001775062730188624,0.015729147130464874,1.4926965975652241e-07,0.0003368881514871291,8.40787677529058e-09,3.8812688288906356e-07,1.2439493502526609e-12,5.022360534930174e-15,1.249802171514316e-16,5.888516059057805e-15,3.750496307795327e-21,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
900,0.5471068545333921,0.4528931454666071,14.954173875621438,0.09999999999699129,0.09999999999998802,0.09999999999997258,0.09999999999999977,6.371577644664456e-17,8.505182362367552e-16,1.2889474529787834e-39,2.3141784593655417e-37,3.274819896126998e-58,7.918671776870138e-55,0.0057447470478241966,1.018557446102934e-05,4.9995653268983755e-09,0.000283422734717644,0.025874644166763383,3.8810145261970086e-07,0.0014011411677911873,1.0399091144337085e-09,4.157680285728392e-08,9.351329863483079e-13,2.213527196379985e-15,3.196712845524809e-17,1.6115569404900364e-14,2.552747365404807e-16,0.0038532206709529235,7.149586602549226e-05,5.946173078659076e-07,0.00017857319944444608,0.018071813620241402,1.851535430241995e-07,0.0004778319430278833,1.2739507853386914e-08,6.519042306495358e-07,2.0461970036258333e-12,9.483224825990104e-15,2.7045162520218144e-16,1.1055870806051812e-14,8.005226335850942e-21,1.0,1.0,2.430008046558934e-56,7.1387133656543e-54
