milliseconds,s1,s2,s3
0,571601.6989903103,-11922.761561814888,225830.72626823993
100,554108.6631350424,2798.1032296343847,-139601.63627483492
200,563095.8450754251,7786.095575945787,-85568.8821946163
300,556884.3066477646,1944.2483067860937,-39533.73931651932
400,590213.248515854,-12881.372098052625,-152073.51319610968
500,560355.5965343744,195.6526940598656,-151749.43055912462
600,554354.5754364954,12626.347411358194,67205.61605352063
700,559292.0224117277,-8195.773834940937,-282206.2714691296
800,589331.0545532722,7427.876696518046,-85131.97445120064
900,581176.5466335503,-587.2769800969863,-17880.021156768795
1000,588243.3493395998,8990.094012976262,22161.792065282854
1100,560388.8094401018,13239.755321545963,140046.69339154445
1200,536433.3214737094,28261.080198636744,565049.2332772764
1300,543369.3890188506,46023.11767706572,215240.9576407335
1400,531757.7478309645,62807.7807090591,859708.1661862292
1500,478018.0640525897,112010.80158128499,1324034.4159517896
1600,381151.08326416736,171730.39659674646,2027850.323158468
1700,305951.714009465,221991.58507573933,2996904.4285592614
1800,204285.98887019392,311309.68386529404,3968083.3927183608
1900,123551.97459129857,365804.8905909912,5491322.764476997
2000,51987.48752418677,421751.201071427,6956296.155505135
2100,48277.39589047768,436010.8235147884,8180629.123161291
2200,2513.602735292585,417279.9237941249,8509336.517750798
2300,26596.373908983067,414563.70703571604,9320798.236571282
2400,-17674.6596164352,378322.1169428239,9247229.259790076
2500,3452.035377560219,360842.4715241146,9045907.89179562
2600,-4899.330659051216,338817.44641820405,8915900.912571905
2700,-2187.167155889915,327483.23950836604,8358388.694482826
2800,-3612.8716434616304,311240.67674442637,8311761.002631848
2900,-7313.209953339339,275292.39179794345,7893222.980796337
3000,22246.28174548456,258726.63819658625,7567174.419431009
3100,-25643.490402730426,252729.7133332499,6904691.411734061
3200,18441.257659224728,245823.29066389095,6776900.6408818355
3300,5631.399835610118,213591.681011091,6220038.991960691
3400,23881.315259776253,211741.95926983198,6101894.224716717
3500,-2979.361170557943,186844.51842130703,5712960.718262316
3600,-14677.116415516111,200824.36853672584,5153278.542752623
3700,1315.5803847822808,183229.0305475753,4635986.722138719
3800,19252.4427106843,162741.89024443165,4701700.138879009
3900,22134.7499883073,166251.77597685612,4450685.826972839
4000,-15424.388893880412,150413.08148865725,4104930.198511527
4100,-413.95896756243815,133419.3121052173,3832662.5091382912
4200,13729.60246019271,137547.19554625172,3375979.4637811314
4300,16181.717204974642,126305.82415908016,3497459.3935972494
4400,-24068.963987820578,115088.36465781453,3066192.894087834
4500,4051.8821297801574,108839.0563027162,3335114.806495504
4600,-20308.302458790895,103892.93192747823,2609645.9939994994
4700,-15610.088713021927,100839.76270116626,2473624.1952687306
4800,-2584.776046323,94466.42246382429,2744673.7014376186
4900,-14020.1000405341,92251.49693115937,2254868.37870358
5000,-15225.339528027269,87575.65352134647,2329121.0199771463
