milliseconds,s1,s2,s3
0,574287.8302642637,-11424.311411533072,300748.46790389897
100,562947.7883645119,-3241.801495949043,310784.4417169204
200,584093.8691167549,1240.9093674320286,27610.932115496475
300,578682.5025523633,-5690.790664731554,-185088.81100121947
400,559294.1175396125,12763.886343644308,168994.02998324842
500,594632.4893023402,-2606.5245499265757,279227.41043191653
600,555229.6903916078,-6.8281379183659965,96304.3779521778
700,603680.3801058754,-5211.756693495297,169621.67347988742
800,568088.0836501034,3051.7551096836614,-137554.77545005467
900,594792.706369185,15284.534919545727,48474.93224331623
1000,587212.2203724055,7901.896729293323,21317.903337973534
1100,587416.0607909047,27669.283314490785,67794.80993413995
1200,542654.1832269864,16268.172377668083,489802.43289990607
1300,542805.8180290154,42314.25332915856,215992.31454877215
1400,494299.32922112284,65943.88432640005,770508.824737858
1500,473572.6619353159,103713.09565666299,1131819.610436078
1600,414997.8075422576,161647.98989032413,2054248.6767749977
1700,319914.35869875376,244521.5382513839,3074626.161192437
1800,198105.8271475657,300965.64855288505,3815711.4985089563
1900,115328.97458992971,369398.42306425713,5579682.0019601155
2000,86395.78587912442,404547.9878604706,6567233.688947436
2100,43409.18967724656,422092.1461513766,8191270.503057359
2200,16995.17281593409,432913.81618401164,8738542.656000521
2300,-12232.620401557673,408004.877276915,9112588.22426982
2400,19235.70724224988,393267.8453967273,9463057.579741996
2500,24020.49592061628,374770.8508062053,9249741.21408651
2600,17509.287871060875,342176.9624729341,8928928.680968631
2700,-210.60160852033323,324961.2938987218,8582132.338993445
2800,-21285.623768791622,291965.14886331576,7876129.082872484
2900,23730.51936724993,274293.85902515525,7724628.30162107
3000,9349.869984284047,272152.3524929283,7598866.572818389
3100,-9618.488673208969,260199.57548995837,6685509.656634
3200,-22467.192322518076,230031.84959289432,6408639.003199465
3300,25618.38036748212,219452.75249640498,6299914.097871997
3400,24006.832487033706,219330.49898320276,5641152.670088877
3500,4320.596818842739,207898.8066960831,5792206.81904674
3600,-5985.987057553012,175293.18860180385,5402621.953930276
3700,5356.975537922253,176819.40334460826,5143122.504006658
3800,24412.003692985985,180888.34336030888,4670318.433437391
3900,17011.43546504838,170555.06136222451,4331861.644512868
4000,2880.88922097148,141739.90983029894,3942405.847089369
4100,6367.106975358208,132111.8391759141,3920843.906944149
4200,-17002.620226122,141369.7617023871,3770596.8682304784
4300,-10439.028346494923,133586.79994283378,3377370.3685815316
4400,-3828.731573448888,116387.53987142305,3039780.51061265
4500,4094.336386424482,103158.52537933411,2914570.756702969
4600,15825.676147126936,112691.86522690313,2813589.691863485
4700,8144.318495450468,100239.24622003069,2680984.067443492
4800,4161.124558450248,81889.20619494974,2659526.2969903066
4900,-10431.042987130122,97149.66897891645,2559463.96826846
5000,-10998.011531083746,77673.63507994097,2514013.316619903
