milliseconds,s1,s2,s3
0,604678.6913833747,-9634.797148378279,-110249.6373749744
100,602326.3355489131,-10297.64295473759,147357.8739379003
200,583850.82585243,-11645.780606936847,223373.38078099824
300,575053.6233120058,-1490.250524601723,-265983.2259027762
400,600567.8464636825,6842.759366238862,207169.98540135502
500,574041.5716934642,8943.463917096988,33449.23397809001
600,554288.9704427111,-6727.4430408653225,233207.85730762812
700,557762.578572308,953.7040313385282,316141.816063579
800,589769.9035816414,1538.2486632459559,164436.68301715443
900,573500.4620019064,-1351.6734064054062,257941.03561911738
1000,560773.2006138128,4.359438582399889,-77459.34216228472
1100,554304.6737698368,8926.05130867611,382190.2313535054
1200,547162.9155233603,28491.006251753148,81599.45491663687
1300,509485.3903284855,35511.9437075634,708723.8153190517
1400,516151.8889645566,69067.4145955155,830391.8612639038
1500,467887.63915570994,104452.37770209278,899060.602587185
1600,378243.74868766684,152733.2091263236,1802046.8541640895
1700,335367.31177280773,241545.87192871564,2760142.03236908
1800,196785.23089708266,320276.92126466293,4201982.1409027185
1900,134932.16642380762,382486.3932018576,5701455.307532387
2000,75379.3646221,401551.1783252077,7035741.939824972
2100,26835.81151953081,413727.79260763124,7785078.250540164
2200,10354.025955344838,417510.44552859786,8471272.8759977
2300,5184.434305095945,403314.9350361009,8862830.965956477
2400,1802.265687284846,397209.0661333067,9412384.672589518
2500,20868.853734984204,366044.9839280383,8932131.731207343
2600,4632.311447505588,331123.71116966876,9170628.245535282
2700,-1878.3957464226696,323409.6800790746,8741139.731321549
2800,-9168.486625854935,317623.1909373871,8024361.352984383
2900,-25569.153498143176,295982.5709651492,7922910.933795775
3000,-3462.1182412009575,275892.5555111337,7546733.866546445
3100,-21309.28512354605,263405.0867138389,6963294.34893807
3200,7948.686268652842,228729.5036622953,6866634.696361774
3300,8180.517611206921,217388.12695532918,6319320.817098178
3400,19731.826020251556,201449.02894618083,5598525.454841266
3500,12881.483234188094,202806.86383242765,5602502.57698682
3600,-18237.430210165923,179842.0437736834,5311671.142103125
3700,-7447.58035026942,185014.75407560225,5218688.734264011
3800,-1689.7797748159592,180103.69107321714,4848454.280711205
3900,10772.39635010032,149709.54506250256,4544134.708262236
4000,-22903.302912964762,158966.15709628933,4072743.0916677373
4100,10503.11115026371,149339.28185644528,3788331.9656219063
4200,-1711.3770350597924,140208.78341956687,3675373.9539185828
4300,14196.03832914521,130028.21328596954,3615713.5563103594
4400,19212.020537253702,127171.50648629392,3364500.6768676117
4500,9577.139901344774,101665.10334552306,2971508.04443661
4600,-59.08162661356672,116713.46517010232,2603843.188768243
4700,-6625.9397545561915,87446.21464902702,3021681.560368526
4800,5938.231502617593,84389.11338997369,2765076.8740761327
4900,11947.702786110875,87425.04718552153,2214893.777647033
5000,-3846.478381106353,78063.0795208113,2077010.587920636
