milliseconds,s1,s2,s3
0,579057.2355713863,-11987.446284848727,92253.7268701244
100,569767.268151407,4634.947636817808,301915.34750478
200,580383.6642268966,237.7674025641538,-166882.7576868645
300,597163.2480691448,-2431.8949781826086,-179925.76745108538
400,604604.6082964898,-11229.786343405814,103702.69025739809
500,571526.406355492,-3349.786311574399,-264618.58526431286
600,576851.5059323055,1977.4001335321068,-214773.76698142948
700,599534.3092027808,10487.09672024394,304360.60443284945
800,558316.0023277375,-6377.669616282958,-166350.2829368633
900,586835.9893265443,-3510.9300848561797,-94594.7900049918
1000,590698.9319297506,15247.363288976943,108317.31463110133
1100,539027.8433674548,20621.827593894748,21194.898563887356
1200,527687.513458061,18159.16223579083,176836.7014644029
1300,517654.2811679118,35687.09875220645,160103.11057200632
1400,493840.588977515,72594.76812181239,693550.0557406824
1500,467249.33217526047,99738.93582702237,971822.7358744858
1600,422899.1575351427,168867.06522489298,1764373.6595446912
1700,303514.696594945,220434.1062279699,2891366.1841188837
1800,199290.5418134454,318035.29206776764,4328794.972822265
1900,125061.51058660535,382663.9823488208,5213391.543109017
2000,63368.53417567166,408409.149671005,6872897.999275485
2100,13957.793976584577,418350.50485499756,8107136.83765601
2200,23265.999340663235,420261.37510504667,8646011.222948365
2300,-18570.229970050892,403545.17200031824,9045643.079906905
2400,1406.8233675182237,380298.27099907224,9059657.60092207
2500,-24456.401092385047,366017.5419989201,9096331.723449009
2600,-1708.476498667932,337865.13431143604,8696930.464507518
2700,24628.931376696746,316912.77569283027,8764911.631514506
2800,372.0439632362746,309886.6527652523,8249816.52802535
2900,20516.0036937572,277234.1144186141,7837740.068584786
3000,11969.497059997248,277271.4160228079,7639389.350472393
3100,-4009.8907017020456,266307.5877362675,7162864.98182764
3200,-3172.461534189501,229391.0637933216,6845258.374330306
3300,-12101.86612096662,238216.9592843358,6159255.603399681
3400,20670.61819199801,210069.1063482372,5860963.928289418
3500,9681.085989714427,192960.45467278044,5491063.07240424
3600,-22790.267213628413,178188.76493607427,5499738.829142174
3700,-13082.747351654647,190256.72169385763,5058756.39921557
3800,-3642.4160300910785,163653.47824716684,4857345.924512822
3900,20831.227305282966,147709.46741512316,4670783.606473718
4000,9269.228090697443,143427.13605767794,4121188.9449478122
4100,-13509.519629813265,143431.13166697815,3832416.9409141988
4200,-440.3034199499843,121934.61559211207,3714348.957416608
4300,7940.397010101071,132702.0499699459,3601780.820504464
4400,-5848.752912481656,118513.35054739546,3083674.3770007677
4500,-139.13485691868934,117590.11189933209,3191721.215570329
4600,-9107.095273436114,115601.5358711748,2768155.773763491
4700,-843.6959958017806,104833.68070751986,2425414.271857346
4800,22951.141713188674,80182.11728924997,2394151.106700684
4900,-3209.232812292723,99825.09603380688,2622261.139745358
5000,22034.863351662254,84200.2094968392,2046535.5512409192
