milliseconds,s1,s2,s3
0,565256.4486262692,-13045.469390749891,175867.5449533485
100,568430.2648491889,-121.75535928410858,-293098.79146339063
200,572930.931430504,11196.57141027298,-247474.54874652097
300,572759.6344777424,-8276.405404779447,-152904.0717978127
400,602051.5485565546,-1671.4045034414246,229512.1332685008
500,597521.2984799993,6751.423590263837,-36454.66181977055
600,558439.8387450972,1755.8846992642998,135611.64090076872
700,597619.7788587109,5329.371224720178,273149.2668155549
800,565216.0331805026,3774.778823504109,-9034.180455730657
900,563054.5273868417,6436.230584978486,342774.6666776614
1000,546336.5097689484,12782.724989474682,310635.7053077245
1100,589321.9247419619,20735.751032320488,-124022.16690559866
1200,532466.5815890721,16007.012131897618,319604.96761452267
1300,552668.8809081853,45256.928288894575,431849.23030692723
1400,496477.73013295064,63515.699042105036,949612.8901099629
1500,468427.399545352,114078.52600448605,1105847.0290312557
1600,378460.5168704689,161840.52930629806,1711952.215782721
1700,296292.74477007176,233952.8654504099,3040927.3899414535
1800,246136.52910921682,299855.5099235993,4240474.791788308
1900,142724.75585172983,381961.3331549605,5763006.909345255
2000,48631.42577925607,410946.55646798696,6766075.399925624
2100,14199.865329939887,439404.49688486924,7671300.1306014545
2200,20277.020146545456,433500.03958559444,8450599.242536906
2300,-428.99765455967736,404514.6834001994,9254771.655299459
2400,-18702.97874926681,398037.11961999605,9289552.481756512
2500,-11560.275912919527,363672.11758830305,8900848.524734505
2600,24835.102548069328,353056.24806357315,8649652.583474664
2700,-4227.423000635942,316026.63705431245,8271552.900463916
2800,-15629.548430653538,293929.55216356827,8089591.576918697
2900,-6119.645984135141,297950.3793661105,7688658.129720858
3000,-14771.773979152817,273805.9233496058,7354307.1018371675
3100,-3913.6144558862748,251208.62409590054,7078670.25626716
3200,-13417.023424032426,231629.62347266337,6841783.168514657
3300,17701.727812293382,216114.1659445278,6023487.95070972
3400,1657.3841722705322,217051.40914704744,6138831.058409193
3500,5062.905003917279,193530.202330909,5240430.76517327
3600,-23215.151671756354,185334.87007626763,5466067.0340456
3700,-24117.0515217401,190027.16474990832,5126663.32796201
3800,-23520.713405503648,161306.690823991,4929543.659332674
3900,-16960.615671304553,148281.9804866324,4253969.740429213
4000,13212.819437087863,151004.6483057841,4403599.340669156
4100,-17559.361834569372,126511.55761445258,4013116.457974409
4200,-9532.45465155442,138466.63263543014,3948858.5240381793
4300,-24952.022124883122,133372.23322789386,3139436.625113592
4400,-8264.651024890141,129259.85324192616,3286985.4990101606
4500,24229.856300108866,98908.30222610084,3294452.622716222
4600,-9571.4364904021,111083.24512210317,2727933.482361197
4700,17435.105411674056,94361.93550076241,2823724.5817476893
4800,-23174.13268244938,83002.84124823101,2469037.0428985925
4900,6095.025024556658,78125.12748121266,2390677.751309505
5000,-23676.61717454111,71762.19817150765,2102836.2052302314
