milliseconds,S,I,Z,R
0,499.9865550522535,-0.006516332511939828,0.9903106666284814,0.003911087394590405
100,499.66092483644013,0.38353875356585904,0.7546145418994605,0.23112887683031605
200,499.3254679663025,0.7349291074091212,0.5654888157942755,0.3806007821317615
300,499.15309651987224,0.9249318447002327,0.40802151155845,0.5101451264291804
400,499.0191673959524,1.0730403281449676,0.30379550628770363,0.6223468468579539
500,498.92446475045847,1.2180271099995266,0.23774511789126826,0.6768694458645433
600,498.8400144461827,1.3086144883151893,0.18876630280466206,0.7296706983689769
700,498.7028488742196,1.392044320999415,0.15422298078992586,0.7516862777785326
800,498.71546125013424,1.4099203081549305,0.11344402474453828,0.8414964883299237
900,498.6482177678224,1.4738457516368704,0.09067221938142106,0.8256602469604922
1000,498.62435723940024,1.506829848257129,0.06984195498507574,0.8679812512719893
1100,498.6069398467169,1.5521303011847736,0.046430368817296945,0.8677396293343062
1200,498.5824441828066,1.5634259017587646,0.05734824423570217,0.9253860059484794
1300,498.5567332966752,1.5313191537149164,0.04643921649636713,0.8995439628319881
1400,498.5529549415147,1.5699093209261619,0.05378091919516298,0.9136227321617718
1500,498.4757093638312,1.5648869552277145,0.04901012795677485,0.9828398396006396
1600,498.4692031647113,1.5962440080250628,0.017628448237851885,0.9510094758897479
1700,498.4640720604578,1.5630730839219658,0.017268106751873,0.9616493497972622
1800,498.4353208619658,1.5809835755982335,0.04680377266619231,0.9895025992094639
1900,498.41670258918936,1.599121063680425,0.01754498377064848,0.9896689900705247
2000,498.468542303776,1.6164577426744355,0.02548077765697567,1.0259348165277244
2100,498.39913320049214,1.6528297464303794,0.012197607732197933,1.0514803956191863
2200,498.42533224509634,1.5963093998386904,0.017038202492451276,1.0393346499697755
2300,498.4123789779147,1.6509547294153835,0.0287096909604729,1.0485336522797575
2400,498.3632878860869,1.621970293362766,0.04585163491796021,1.0486981104250672
2500,498.3955477860036,1.6105193432228118,0.021619320359166857,1.0539963594812036
2600,498.3331127043384,1.6248744774551145,0.03565577142310771,1.078861853847999
2700,498.36217995418906,1.6320378155140625,0.02604421720190978,1.0937532031945096
2800,498.3305619790734,1.6459853136182185,0.018388614750860587,1.1149772894720538
2900,498.3523101023251,1.627545094160878,0.04643025410884673,1.1080496548264864
3000,498.3262206474656,1.6779040163437573,0.03611107464913041,1.1367209026103748
3100,498.2772220591284,1.6656910541199275,0.018697478747513926,1.1764506384356468
3200,498.2737214612398,1.7013480852903582,0.02171457151285875,1.1353334256244176
3300,498.28484074467383,1.6706153823849326,0.03536022301659162,1.1755149802872589
3400,498.2956167474331,1.684498664363384,0.016459287842600537,1.2069595387590102
3500,498.2980518703914,1.7139459802612025,0.037060965159712675,1.1872368966043516
3600,498.252363923785,1.66485970280163,0.04313411703435302,1.2212871880269678
3700,498.2234235610294,1.6682876851073913,0.03218857206093136,1.2204796135522327
3800,498.24745157559107,1.6859367456959091,0.03293922270063078,1.2241004514501765
3900,498.20345630456706,1.7239169316543452,0.03706515000606956,1.2200878862520308
4000,498.23905038044967,1.739742890282357,0.027639948766199917,1.2598010709172287
4100,498.18467124671713,1.7059524557478352,0.03401257355187688,1.2762476253763888
4200,498.1916508552832,1.7399326368827228,0.03830731513451379,1.27628464064209
4300,498.1838519067252,1.7603099623805536,0.011475254367126406,1.3084442805297944
4400,498.1425221049413,1.7114287642308526,0.0104367767897976,1.3001384193218164
4500,498.1747556272,1.7661007764357157,0.017344954372977672,1.3038011861383378
4600,498.09651366828405,1.710411084549794,0.016534292326499583,1.3090431017434223
4700,498.14015888829795,1.7632651978060143,0.018342462612089723,1.3686161564449244
4800,498.11442143871966,1.7232936683578317,0.04578764477287665,1.3448346768680006
4900,498.1187879065917,1.7799819572832296,0.03386365223365513,1.3627226728186892
5000,498.08863490773774,1.779331263176915,0.024344814947038277,1.3857256714017874
