milliseconds,M,MpY,MpT,Mpp,MAPKK,MKP,MpY_MAPKK,MpT_MAPKK,M_MAPKK_Y,M_MAPKK_T,Mpp_MKP_Y,Mpp_MKP_T,MpY_MKP_Y,MpY_MKP_T,MpT_MKP_Y,MpT_MKP_T,M_MKP_T,M_MKP_Y
0,799.9740602858425,-0.015953697192834865,0.02665736453163849,0.0021304503394635535,179.2838855769935,100.79637118736595,-0.00043338662762857467,-0.000269564434014528,-0.4142942623663819,-0.14627510137059613,0.0014298822743923827,-0.0053268138367901525,0.0003010562652113919,0.00033285735261530765,0.0004685540763069816,0.00016961782808207128,-0.22296606144746264,0.14005423000918693
100,621.018549232752,0.08178427843537237,0.06549617066213728,-0.023599668533883348,16.855640208419707,83.31812733457538,0.001855689813600219,0.0008566245696829193,81.4217065845022,81.55607540450634,0.002349422962860741,0.000717556064254309,0.002886153415748283,-6.99497651505546e-05,-0.00020546459446929522,0.002464580234394508,6.458531520868687,10.488094575437508
200,596.1148698778446,0.10020360508075496,0.13470453145733113,-0.02754550184647738,7.069285505762657,69.13923693147521,0.002095099957293166,0.0018253100339229022,85.70158147174676,86.14670101365678,0.0015949999995658168,-0.0051103073257650925,0.00747218900720997,0.00860147529993083,0.007403382782465875,0.0082914110897345,11.246774132803804,19.313950515958897
300,585.8956326553093,0.16147727331024958,0.19365101518766564,0.026962707686264412,6.28874776309864,59.252581780741075,0.0026762823786261815,0.0027245932179767005,86.04380340960974,86.08805231789155,0.003058178955956564,0.001708070593806466,0.01706000616310986,0.01502691268477353,0.01862994731124407,0.015557518455877823,15.96241852978669,25.063288230176163
400,576.7656275715935,0.24440916179892905,0.2471463974019029,0.018682625037625116,7.0280778131693,50.642222566515905,0.00365691812847782,0.003058112420149728,85.90316329104571,86.79520957374035,0.007565980430420029,0.009362141442891542,0.023967254840902022,0.025101678383076424,0.027521196643341614,0.025060264880873255,18.650257696318015,31.293505823896275
500,569.2429124499566,0.28920609752764104,0.3180882480117488,-0.010295070563902952,6.742802539215626,42.12415830913965,0.00436971481167362,0.004394460415069575,86.79760061433072,85.60525970838279,0.005480572960657076,0.012568803435768792,0.03263384089668228,0.03505877488745704,0.03663070876926619,0.034372029355127634,21.659556473530348,34.51732192228416
600,562.4571517322833,0.36798090035601294,0.352537561644038,0.014697109059201527,6.589139247588606,37.9693104122317,0.00538972364008845,0.005182190020794677,86.3515686812,86.64403166716636,0.013593008449304065,0.011999848724984214,0.040888989253749286,0.04665429575387865,0.04722078058017194,0.04128495005578495,24.352890308098825,38.94376712234119
700,560.9605845290499,0.3959937798315668,0.43643082999633215,0.004761616435154645,8.835582926246552,32.110604379788086,0.005787986410666256,0.005660385008736956,85.55814286328162,85.52925416011121,0.013231088007841901,0.019939892986448587,0.048316604055931585,0.05482908616984999,0.055609499101967205,0.04737033720894254,26.32377054059535,41.06042157528918
800,554.0009697954032,0.48461130961596394,0.46357528919608243,0.020904709382266254,7.357095768906678,27.85830265979527,0.006630181441289482,0.007243777702590807,85.5587704878338,86.2676889549242,0.018323848978791996,0.014574049677047226,0.054080666825248314,0.06157806052103799,0.0614236613042144,0.05541070195941355,27.95512237913895,43.52565738892775
900,552.2668454010256,0.5288669648838425,0.5257932605364494,0.06028986021943854,7.672871526703639,24.84445893617785,0.007705283445287193,0.0076362587102267124,86.49475806741896,85.74112158576169,0.018339752768573685,0.026651815425888598,0.058966129832750076,0.06920479842885224,0.06780415153610075,0.058502551060410794,29.177868993958818,46.48720954023879
