milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,80000000.0,20000000.0,10500000.0,0.0
100,74261343.80876105,17895194.279059082,10531586.409358883,8896581.65392984
200,68957566.85161054,16021960.03204557,10564398.864773361,17143010.28900599
300,64049552.09594994,14352539.44554573,10598147.463038843,24790076.118674155
400,59502926.59919744,12862998.982436016,10632560.949745534,31883490.79481374
500,55287266.45163501,11532574.786816861,10667384.158580795,38464629.16221483
600,51375499.05662304,10343181.330146294,10702376.228592103,44571087.83243019
700,47743434.63772874,9279026.823259585,10737309.354415331,50237135.11513439
800,44369370.529966995,8326288.484763527,10771967.812921239,55494098.136329055
900,41233719.174015924,7472807.539494675,10806147.160354286,60370731.742553234
1000,38318723.676280215,6707855.795192201,10839653.913338995,64893509.49103472
1100,35608249.573988535,6021964.632077119,10872305.458073214,69086841.38285759
1200,33087580.31954477,5406756.604657481,10903929.961680783,72973288.40411383
1300,30743236.495578837,4854795.942055671,10934366.451888362,76573756.20916183
1400,28562826.29275363,4359464.751963435,10963465.019587696,79907658.42333551
1500,26534935.010455213,3914870.713056244,10991087.166272359,82993042.97035637
1600,24649029.114603322,3515766.0775165893,11017106.258065352,85846704.93126059
1700,22895359.437069092,3157466.209922715,11041407.755352385,88484297.61804944
1800,21264883.720249597,2835783.908720958,11063889.472018277,90920424.93217725
1900,19749182.900860857,2546958.524556258,11084461.840335244,93168739.98381953
2000,18340429.851399977,2287627.8551451545,11103048.151882088,95241992.1719061
2100,17031336.242042065,2054782.276825755,11119584.654262478,97152095.07001923
2200,15815103.811417164,1845722.5584372731,11134020.568614122,98910189.74326576
2300,14685381.97323727,1658023.2396561971,11146317.849906942,100526700.28249922
2400,13636236.288123073,1489505.1617158952,11156451.001732918,102011379.25282775
2500,12662121.812987696,1338212.091272279,11164406.745229881,103373347.74029276
2600,11757856.384357914,1202387.7730162372,11170183.496906618,104621134.69975583
2700,10918595.708084209,1080454.999887725,11173790.687461315,105762713.86027549
2800,10139809.507366054,970995.4392942523,11175248.128656128,106805539.78358255
2900,9417260.70733834,872732.3633298357,11174585.29881937,107756580.409618
3000,8746990.823974395,784519.5741063855,11171840.381098965,108622342.26211816
3100,8125303.709580141,705329.0065283384,11167059.332892582,109408897.20779641
3200,7548747.762439314,634237.0114798996,11160295.018399807,110121910.72109291
3300,7014100.789383589,570413.3884054112,11151606.274585996,110766666.8200687
3400,6518356.608790151,513112.3043719928,11141056.97605082,111348090.71500306
3500,6058710.815268904,461662.4077699717,11128715.120594887,111870772.3791131
3600,5632551.436832894,415462.23156472645,11114651.907324575,112338983.57199103
3700,5237446.690991967,373972.60232231126,11098940.918995205,112756698.3226795
3800,4871133.0023914,336709.3679175962,11081657.364705836,113127612.84358086
3900,4531504.781055568,303238.0272574905,11062877.383593598,113455162.85998878
4000,4216603.834135715,273167.9563510414,11042677.347451279,113742541.47668578
4100,3924610.4691858524,246148.42528042634,11021133.279466324,113992714.34270363
4200,3653835.6132812235,221865.61703904308,10998320.39030228,114208433.1592408
4300,3402712.10895335,200038.64589961295,10974312.650272459,114392250.22801718
4400,3169785.91672156,180415.3913558844,10949182.385946542,114546533.00483257
4500,2953708.388513422,162769.37155241202,10922999.959838653,114673476.97333774
4600,2753229.4739686092,146897.4647717176,10895833.532750214,114775117.02760376
4700,2567191.2423564913,132617.7926736641,10867748.879419109,114853338.26468764
4800,2394521.406857505,119767.4284506098,10838809.235919807,114909886.65478414
4900,2234227.1567091467,108200.25684788819,10809075.188721927,114946379.1647027
5000,2085389.5125605098,97785.20831375849,10778604.611258179,114964313.03119321
