milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2.4999842890273226e-06,0.0,0.0,0.0,3.598627596037064e-20,0.0,0.05999988000012065,1.1998479839378523e-07,7.540463889284153e-11,7.671066712154106e-24,4.312757732304268e-36,1.675462030438801e-18,1.675462030438801e-18,3.5987503324852027e-20,1.675462030438801e-18
200,4.999937385046011e-06,0.0,0.0,0.0,4.99528311598998e-19,0.0,0.05999976000048088,2.399394208359429e-07,3.004911826283316e-10,1.9221977679925935e-22,7.626031538185832e-34,1.2648189252406212e-17,1.2648189252406212e-17,4.995590667983133e-19,1.2648189252406212e-17
300,7.499859243665216e-06,0.0,0.0,0.0,2.583370071641741e-18,0.0,0.059999640001081024,3.5986383358797017e-07,6.754266337348794e-10,1.5880113751088312e-21,3.345561122338963e-32,4.25364049915957e-17,4.25364049915957e-17,2.5836241558125393e-18,4.25364049915957e-17
400,9.999749857882868e-06,0.0,0.0,0.0,7.120007129037285e-18,0.0,0.059999520001921124,4.797580351338985e-07,1.2002183027354721e-09,5.004718886704939e-21,1.2576774409256341e-31,9.683012615301886e-17,9.683012615301886e-17,7.120807892952774e-18,9.683012615301886e-17
500,1.249960922689008e-05,0.0,0.0,0.0,1.9731466879953834e-17,0.0,0.059999400003001205,5.996220428929977e-07,1.8747790735234695e-09,2.0999588271893682e-20,2.3099464852279043e-30,1.9452365326521074e-16,1.9452365326521074e-16,1.9734826809615186e-17,1.9452365326521074e-16
600,1.4999437345885659e-05,0.0,0.0,0.0,4.3183159140048335e-17,0.0,0.059999280004321295,7.194558619248864e-07,2.699083469435251e-09,5.456221020834497e-20,7.513665856037334e-30,3.457453051739338e-16,3.457453051739338e-16,4.31918890455174e-17,3.457453051739338e-16
700,1.749923422168525e-05,0.0,0.0,0.0,7.354938967741309e-17,0.0,0.059999160005881354,8.392594850470796e-07,3.673167656391275e-09,9.860950889586092e-20,1.4420027169637946e-29,5.361172190949385e-16,5.361172190949385e-16,7.356516709145495e-17,5.361172190949385e-16
800,1.999899985428885e-05,0.0,0.0,0.0,1.1083015849204801e-16,0.0,0.05999904000768137,9.59032912259577e-07,4.7970316343915395e-09,1.5314148433444138e-19,2.3029030426029724e-29,7.656393950282243e-16,7.656393950282243e-16,1.108546609474278e-16,7.656393950282243e-16
900,2.2498734240646243e-05,0.0,0.0,0.0,1.8434982348557024e-16,0.0,0.059998920009721395,1.0787762002823896e-06,6.070391480736886e-09,3.0790319745391585e-19,4.5061161197751e-28,1.0966255544976442e-15,1.0966255544976442e-15,1.8439910037639587e-16,1.0966255544976442e-15
1000,2.4998437380423322e-05,0.0,0.0,0.0,2.9732055179986215e-16,0.0,0.05999880001200143,1.1984893553285828e-06,7.493216094757762e-09,5.727252517693604e-19,1.3428753025911607e-27,1.5359014936361878e-15,1.5359014936361878e-15,2.9741222680264975e-16,1.5359014936361878e-15
1100,2.74981092754682e-05,0.0,0.0,0.0,4.319748342421158e-16,0.0,0.059998680014521445,1.318172343031733e-06,9.065677504062897e-09,8.932314798492664e-19,2.4469973389381407e-27,2.0457115819974e-15,2.0457115819974e-15,4.3211782318104276e-16,2.0457115819974e-15
1200,2.9997749925780865e-05,0.0,0.0,0.0,5.883126708123309e-16,0.0,0.059998560017281446,1.43782516339184e-06,1.0787775708652286e-08,1.2694218816936333e-18,3.762977721018446e-27,2.6260558195812792e-15,2.6260558195812792e-15,5.88515889511575e-16,2.6260558195812792e-15
1300,3.249735933136132e-05,0.0,0.0,0.0,7.663340615105075e-16,0.0,0.059998440020281436,1.5574478164089036e-06,1.2659510708525933e-08,1.7012964573024607e-18,5.290816448832076e-27,3.276934206387825e-15,3.276934206387825e-15,7.666064257942464e-16,3.276934206387825e-15
