miliseconds,BUB2,BUD,C2,C2P,C5,C5P,CDC14,CDC15,CDC20,CDC20i,CDC6,CDC6P,CDH1,CDH1i,CLB2,CLB5,CLN2,ESP1,F2,F2P,F5,F5P,IEP,LTE1,MAD2,MASS,NET1,NET1P,ORI,PDS1,PPX,RENT,RENTP,SIC1,SIC1P,SPN,SWI5,SWI5P,TEM1GTP,BCK2,CDC14T,CDC6T,CKIT,CLB2T,CLB5T,CLN3,MCM1,NET1T,SBF,SIC1T
0,0.2,-0.00014822512794701714,0.23575961910786697,0.02406887313185118,0.07010266690535305,0.006851216264141794,0.46485358515814995,0.6547019568010424,0.4424345047336485,1.4761035374597835,0.09806763618725807,0.015489702535507983,0.930154306443015,0.07000038264536167,0.14822189209548722,0.05238067321727929,0.0654324510889712,0.30213880380053765,0.23649313564780383,0.027428678895114585,7.213795898750971e-05,7.893110784230351e-05,0.10195451057712626,0.1,0.01,0.5528895784553803,0.018953697867018744,0.9733074861446555,-0.0005009393080260615,0.02569063187059972,0.12317808808652789,1.0449692908513661,0.6021630300886097,0.019590236315223393,0.006403200206632518,-2.331177958890153e-05,0.9466797717524791,0.01986310369558238,0.8982486834055925,0.029879073820963675,2.1173033030816697,0.38407881148549594,0.7446485413437235,0.671961267699725,0.1290554001132187,0.033751731714324766,0.46648583705708546,2.6383520302603976,0.0021806860879771514,0.37138767825264724
100,0.2,0.0012168426758086793,0.24478834803491742,0.021135066467514032,0.07481194389067997,0.006364139222695667,0.49024079274458204,0.654206131589699,0.4373061103751292,1.4312312856652665,0.11520267348325286,0.014655565692146594,0.9518128052483974,0.047677336832477026,0.12080587051181184,0.0469791173270627,0.06449797457292697,0.3086815682891604,0.23553060244434734,0.024163485900438812,8.852331780512524e-05,5.996186429841849e-05,0.09437956494082037,0.1,0.01,0.5533065451171754,0.017789578812817283,0.9986529070318572,0.021191820307704484,0.024202868931078956,0.1219355940863494,1.0927603383432671,0.5237249652937004,0.023498558542198303,0.006119327859067877,0.005147198621352224,0.944445749669041,0.018524911139426684,0.8845352169942773,0.02990454267986234,2.1168704179844187,0.3970939793660324,0.7672421262767768,0.6414213654106128,0.1281280663524232,0.03378164360790784,0.2432639733698977,2.6386138969570747,0.0025367959327069066,0.3720068060343053
200,0.2,0.002482650044644282,0.24758207995727616,0.018462141777601134,0.08048844348174758,0.005776624384240913,0.5024027442078226,0.6545689684114822,0.4369266059719898,1.3819278756837978,0.1404394561336564,0.013934984811743333,0.9704714455130234,0.02901168444465111,0.09582219385159144,0.040487108649532935,0.06405559762606439,0.31782565434696025,0.2341429748430105,0.02049114257556899,0.00010174840764892686,4.5443448253240466e-05,0.08775064352736665,0.1,0.01,0.5536649547617212,0.01692159141974477,1.011553913330212,0.03811442128943872,0.022949790639070464,0.12091957098088073,1.1309294854469836,0.47393994188869953,0.03259937235849136,0.005801201302527288,0.009141331218522458,0.9397899493773928,0.017064346678545464,0.8816560731907755,0.029897846646494253,2.115066052649333,0.39873641106651614,0.7919587108882494,0.6211510451460048,0.1269469785625173,0.033792730493082054,0.13716810275142824,2.6392240829119293,0.002982562686322757,0.38465359570230984
300,0.2,0.003774602780177236,0.2471031186532261,0.01583449718376943,0.08520252370842875,0.005182358515678275,0.5038495110092568,0.6484423179430329,0.43223019194939033,1.371360796595935,0.1441601707275601,0.012969725268744367,0.984826934076189,0.015535086260572869,0.07726832656339448,0.035098713988422736,0.06319566243254285,0.31866530398804427,0.22944591761430497,0.017719964439689873,0.00011342982646155974,3.525476828644502e-05,0.08223636791167434,0.1,0.01,0.5542070701199506,0.018019098269478246,1.0101438649815886,0.05164469435086892,0.021654256078945337,0.11976954133022859,1.1752527206121202,0.4393829418341671,0.038249171241396276,0.005326802888183499,0.0129030773637718,0.9343021495767863,0.01607410221217669,0.8585835555622704,0.029951133211529826,2.1137590037950793,0.41398639075180993,0.8025223705155233,0.5931659944231322,0.12642709745325967,0.0338400839155991,0.08316181068605173,2.6402013098586616,0.003480359720609375,0.40211997833374985
400,0.2,0.004494305631516378,0.25091191054434,0.013718771202734263,0.09020752741147488,0.004723090880571444,0.49705068161854804,0.6479194176795162,0.4283295690815962,1.3226825866357477,0.18638456602212017,0.012079675193404648,0.9919954452263686,0.007728040116901598,0.05751498149644494,0.02967426213881299,0.062472808670091126,0.3277020921634394,0.22550352414873076,0.014749332782306931,0.0001223118632070321,2.6427013527116862e-05,0.07704505742875291,0.1,0.01,0.554879367986339,0.018573337928318067,1.006743349479909,0.06389863506494275,0.020871833528157236,0.11896131324414895,1.2156425371105677,0.4054546589712808,0.04973137685568893,0.004956590324155525,0.01579492617364495,0.9342147114960098,0.014592856384248426,0.8557988410702221,0.029953254143867222,2.1129539286545533,0.42598764137146755,0.8292328154141624,0.5552975634935697,0.12522311414780607,0.033855518434410585,0.05823376392822063,2.6405398811635554,0.004063216983407542,0.40935877416911187
500,0.2,0.0054890130666728565,0.248567769886099,0.011574465820573832,0.09571857408244248,0.004324621902738074,0.48250687968116734,0.6468113796775243,0.4216585704212301,1.2523400296446716,0.20267294795572066,0.01121402551915177,0.9964704506509581,0.004033109233723998,0.04621023440655764,0.02426452833296621,0.061290187327136356,0.34239426200552203,0.218659360035078,0.012288703043152317,0.000128749558029551,2.096641880953628e-05,0.07137324953630224,0.1,0.01,0.5552834287256464,0.019185631068229358,0.997252929183822,0.07230721885853413,0.019862572673610135,0.11769146773757905,1.252430297197866,0.37963514860752806,0.05550838973254754,0.004631724221504496,0.018687164329398192,0.9228957488878694,0.01348397453629858,0.8322255651682762,0.029988735034303545,2.1128168642660357,0.4415631013448205,0.8460621587552448,0.5446433063660868,0.12379127829171462,0.03387201648716782,0.03674785902824714,2.6410725221710063,0.004581704898548976,0.41243183289959295
600,0.2,0.0063932539862604516,0.24454881529964856,0.01012347787012598,0.10032432242219615,0.0038576542171482324,0.4763704042701431,0.6426012570601729,0.42008534191654745,1.2166930278261991,0.2161064414292474,0.01043960352899491,0.9975299275420574,0.0025363395429798693,0.035470107602402115,0.019311339928545036,0.06104155251653631,0.34717406034406517,0.21345205493513236,0.010559648790433843,0.00013511777497595895,1.7288362673167564e-05,0.06628556332857526,0.1,0.01,0.5558057164714376,0.01984788985881132,0.9814856612449339,0.07929179115397843,0.01921483635460037,0.11678751565531045,1.2685273356692486,0.3629530793185502,0.05641506580920011,0.004344586376032396,0.020609495584220074,0.9226979376225389,0.012038545081597537,0.8237234011789935,0.029988457194703586,2.1116691649579358,0.454565934459361,0.8624219757081734,0.5208299612460368,0.12360188988232225,0.033886948083370165,0.02364313019601655,2.641365749644974,0.005183742457968962,0.43249310972733973
700,0.2,0.0067146354645974664,0.24101783925435546,0.00869351156410169,0.10412545918480993,0.003578658452582782,0.4620383008721886,0.6409665777618639,0.4149429655147326,1.178137396564876,0.23127169794761995,0.009698731242905961,0.998696002178343,0.0012114844976562839,0.02706057925524562,0.014583473009798566,0.06010467702729188,0.35392359465556344,0.2039730965011599,0.009124463547958029,0.00013872940365608765,1.2558821752230655e-05,0.060199794705399025,0.1,0.01,0.5561594844770652,0.020948050284932913,0.9703228289636335,0.08474340773076333,0.018356422870581948,0.11567832571766318,1.3015457073545427,0.3472387037257894,0.06256155596375357,0.004069290817412319,0.022242490664577442,0.9139650126305622,0.011000676061102681,0.8088826904745217,0.030038100751991488,2.1092993580369312,0.45574324585352255,0.8940577558373609,0.4849405173696138,0.12229872270964781,0.03392642284923867,0.016952795279975973,2.6417902282454984,0.0058527455744796205,0.4307081299338468
800,0.2,0.007381514226663843,0.2384967932330108,0.0076138879952556224,0.10798241228949931,0.0031993122422340806,0.45030190103158707,0.6397527070731095,0.4083633946377393,1.1325975598239524,0.2708288180383665,0.008992102602476315,0.9981870302584039,0.0018113306133155588,0.018859531087305426,0.010111027124548306,0.05982557997654707,0.3635581809170548,0.18817843908044335,0.007575112119764364,0.00014213582853371336,1.1183752775454328e-05,0.05473570485282232,0.1,0.01,0.5564541991493731,0.020903856134617094,0.954875241811984,0.08903223690815867,0.01782061419523388,0.11500009344863227,1.3345046830985148,0.3377344463126531,0.08418691736229246,0.003841777029015486,0.023599493865336937,0.9071686585232709,0.01018260006297904,0.8112017934584479,0.030049829510147147,2.1091478274407325,0.46489490189695293,0.931494659289046,0.464626467804764,0.1215302856752916,0.03394746336886601,0.011491418920244745,2.6422523875786,0.006218981097939366,0.44968122813819617
900,0.2,0.007880472914828933,0.23754920987136774,0.006927810210716327,0.11047209079726045,0.0030214182535328827,0.42788308849863677,0.6342383111626045,0.40524812649718456,1.1180105804395182,0.27914630416829356,0.00856252852699556,0.9986385502349652,0.0010900011288466323,0.01549670833612335,0.007260355388821317,0.05881711833245654,0.3717822926888189,0.17872433073246646,0.006107957170286349,0.00014428580656586417,8.08591204498699e-06,0.050502392999674475,0.1,0.01,0.5570493106503732,0.022033860362314025,0.9421016485073123,0.09232128848677235,0.01736895912506381,0.114382628708663,1.3527171890244003,0.32209940381453883,0.09393831468450013,0.003757487643604506,0.024564562265066127,0.9043635799497421,0.009169598799112682,0.7888472747491382,0.030074250488401056,2.1076449828187913,0.47840369667663896,0.9436605393779967,0.4439038148722781,0.1209252319599481,0.03398791330052919,0.012695077163362966,2.6425711049570255,0.006696142344073893,0.4523421850835465
