milliseconds,T,L,N,C,I,M
0,10000000.0,2000.0,500000.0,41700000000.0,2000.0,0.0
100,9849318.8604236,2026.6215815411506,453269.9982043436,41699960023.990425,843.9598185450603,0.0
200,9714748.25340933,2012.7271436133037,411607.9277740448,41699920095.92328,400.34219572332285,0.0
300,9594219.492199995,2000.2005327849465,374364.7478748896,41699880215.741066,229.86323968613777,0.0
400,9485985.541050402,1988.884430803595,340992.0819225326,41699840383.38636,164.0906826174128,0.0
500,9388561.13891799,1978.6430824687304,311023.5152344825,41699800598.80181,138.47256154426117,0.0
600,9300675.86531291,1969.358740395932,284059.92962202453,41699760861.930145,128.27305678232034,0.0
700,9221236.992486596,1960.9288002383378,259757.8914873945,41699721172.71412,124.01336015100937,0.0
800,9149299.81964036,1953.2634731883334,237820.37516936765,41699681531.096596,122.06013018775658,0.0
900,9084043.78065732,1946.2838800432946,217989.2888560478,41699641937.02047,121.01844999718224,0.0
1000,9024753.059146432,1939.9204800540917,200039.40818161846,41699602390.42875,120.35188796203529,0.0
1100,8970800.74048384,1934.111766495286,183773.41481737423,41699562891.26448,119.85255802168118,0.0
1200,8921635.755079672,1928.8031755840195,169017.80734831534,41699523439.47077,119.43807253633088,0.0
1300,8876772.104162203,1923.946173914848,155619.52568724816,41699484034.99082,119.07557258999326,0.0
1400,8835779.82102623,1919.497481185208,143443.11818694632,41699444677.76789,118.75014316877852,0.0
1500,8798277.400514906,1915.4184106859207,132368.36804170508,41699405367.7453,118.45408284287379,0.0
1600,8763925.504556637,1911.6743143937101,122288.3189580096,41699366104.86645,118.1836329031224,0.0
1700,8732421.574236238,1908.2341022911232,113107.58461403298,41699326889.07478,117.93598061167121,0.0
1800,8703495.192938365,1905.0698222746935,104740.89330033238,41699287720.31386,117.7085678031254,0.0
1900,8676904.209787233,1902.1563065003431,97111.87067411582,41699248598.527245,117.49951985732471,0.0
2000,8652431.36681896,1899.4708585041258,90151.98036484621,41699209523.65862,117.30715181008014,0.0
2100,8629881.422520967,1896.9929858428918,83799.62015824138,41699170495.65172,117.1298988872725,0.0
2200,8609078.599182416,1894.7041579284796,77999.31970620471,41699131514.45033,116.96637513520776,0.0
2300,8589864.384397281,1892.5875967037018,72701.04930467634,41699092579.99833,116.81534248169959,0.0
2400,8572095.681741612,1890.628099481827,67859.63820702836,41699053692.239655,116.67569968028643,0.0
2500,8555643.178342901,1888.8118786657913,63434.26102401817,41699014851.11829,116.54645333378126,0.0
2600,8540389.863454314,1887.1264179972366,59387.97155445068,41698976056.57833,116.42668968973202,0.0
2700,8526229.720403716,1885.5603448433792,55687.291056123264,41698937308.563896,116.31557096400559,0.0
2800,8513066.599441795,1884.10331585017,52301.85332312842,41698898607.019196,116.21234061281999,0.0
2900,8500813.233262952,1882.7459189093308,49204.094593924325,41698859951.88849,116.11631680092447,0.0
3000,8489390.35468162,1881.479585402626,46368.9755855742,41698821343.11612,116.02687827151941,0.0
3100,8478725.902748492,1880.2965076320957,43773.73134479251,41698782780.64649,115.9434560908191,0.0
3200,8468754.317139002,1879.1895678346054,41397.648856987034,41698744264.42407,115.8655320678664,0.0
3300,8459415.913939532,1878.1522752990907,39221.87025712855,41698705794.393394,115.79263609496535,0.0
3400,8450656.328627087,1877.178706293161,37229.21718782464,41698667370.49907,115.7243400318756,0.0
3500,8442426.020957319,1876.2634538576572,35404.03465155477,41698628992.68576,115.6602523997472,0.0
3600,8434679.820624068,1875.4015815164603,33732.04770316262,41698590660.89821,115.60001537022418,0.0
3700,8427376.53490323,1874.5885815250842,32200.237649333365,41698552375.08122,115.54330265439202,0.0
3800,8420478.496162646,1873.8203264850315,30796.699332168537,41698514135.17966,115.48981474333188,0.0
3900,8413951.35994611,1873.09304365268,29510.577352670858,41698475941.13844,115.4392800801953,0.0
4000,8407763.73596898,1872.4032881400353,28331.949594412297,41698437792.902596,115.3914496156565,0.0
4100,8401886.937746188,1871.747910857455,27251.748186761382,41698399690.417175,115.3460961642036,0.0
4200,8396294.790077297,1871.1240280633817,26261.69870646282,41698361633.62732,115.3030117852659,0.0
4300,8390963.346810058,1870.5289991480624,25354.231112395904,41698323622.47822,115.26200606484387,0.0
4400,8385870.697720958,1869.9604034162412,24522.418754325434,41698285656.91514,115.22290430373087,0.0
4500,8380996.807559259,1869.4160389562635,23759.927536685547,41698247736.883415,115.18554706529672,0.0
4600,8376323.337800022,1868.8938810057373,23060.959610676266,41698209862.32843,115.14978836689227,0.0
4700,8371833.491877819,1868.3920736866276,22420.204489245367,41698172033.195656,115.11549475138477,0.0
4800,8367511.9173862655,1867.9089114104556,21832.80812336882,41698134249.43061,115.08254381524144,0.0
4900,8363344.55154673,1867.442841505669,21294.32411050063,41698096510.9789,115.05082348120847,0.0
5000,8359318.515412212,1866.9924450978203,20800.680256478852,41698058817.78616,115.02023089275819,0.0
