miliseconds,R,O,I1,S,A,I2
0,0.9974636796458127,-3.045590298500418e-05,-4.396298577209717e-05,1.091157716515648e-07,-0.00560143664309427,0.0005759698375659111
100,0.22752309679093277,0.004557413463815298,0.015104561430030243,2.1607172526780055e-05,0.6805402233882727,0.07322989836162722
200,0.059554507458034436,0.0011811849395084728,0.017643348210942232,6.377037947791555e-06,0.735406340074772,0.18463977937300713
300,0.01647617460242911,0.0003985178650828094,0.01717926416398005,1.9495776375385415e-06,0.6704347083923676,0.29513943682266097
400,0.010485527867955511,0.00017911172862328887,0.016049749337847457,8.630893402222813e-07,0.6024583629205815,0.37563539564902104
500,0.0013557873879885191,0.0001337074935965033,0.014391160784799325,5.005612708066464e-07,0.5428434046904319,0.45033784937020815
600,-0.0017034659227811136,0.00010857945175313248,0.013208600832755886,4.17862273812849e-07,0.49585013584469995,0.49047009445004175
700,0.005200841356060761,7.406659966779923e-05,0.01229506569447897,1.938047073141942e-07,0.45153623375633545,0.5327224990209125
800,0.0053333725407058,6.91274817674726e-05,0.0115383045853405,4.4259218186194636e-07,0.42273924366393256,0.5700395875236712
900,0.0014891332751761793,9.854689508436412e-05,0.010426640355903115,3.1476792647946506e-07,0.3987303337604015,0.5825491558159527
1000,0.0050071809397825556,0.00010771207823922013,0.009693162933214507,3.775856944975873e-07,0.387657317634738,0.6067122556506372
1100,0.004817172746774329,6.935780599572208e-05,0.009165108022145091,1.5373453792114175e-07,0.36993963666517177,0.6229616357239115
1200,0.005361782792176934,9.536554057129457e-05,0.008397943969920931,1.4937226522838184e-07,0.35720161533941586,0.6276455735263975
1300,0.003953083297155706,8.883930603802746e-05,0.0076724846109505074,2.0001483355804882e-07,0.3452119830868647,0.6365844693465239
1400,0.001504795701502003,9.040086466042475e-05,0.006926143675874966,1.4368781782505028e-07,0.34000436657036165,0.6405740957113697
1500,0.005171345274400039,8.345028694184013e-05,0.006421460606919029,3.5004454815606906e-07,0.3440900725747493,0.659491140246359
1600,0.005288942317747302,9.143069756276518e-05,0.0060696552457708015,1.9698927193281382e-07,0.3414495513125532,0.6547462576867142
1700,-0.006634950517052335,5.510178792988788e-05,0.005647409660618972,1.7294516621128703e-07,0.3342392608360405,0.6578630878763255
