miliseconds,Susceptible,Exposed,Infected,Asymptomatic,Susceptible_quarantined,Exposed_quarantined,Hospitalised,Recovered
0,11057003.05857365,23375.424649981436,2219.8303233411625,535.4987760932561,76834.58978695014,0.37778021387183713,595.5197424248335,1907.940913504596
100,10495808.81226375,23961.15901720125,2353.666354078109,548.8629247325227,789236.4303745618,0.3837088224369281,584.8747996237953,1849.7744785633736
200,10015232.259138983,24456.25290184753,2583.54258744742,605.4917187254046,1123208.4721230743,0.3911276742000294,526.1426692010826,2170.7040825269505
300,9593305.378459891,24876.641866645627,2750.227887495234,640.7682271886762,1677708.6466687785,0.3947322318187497,656.474023693682,2165.5543615835263
400,9148611.013981678,25128.15814213262,2954.434166304292,675.4572226287183,2115062.7040313776,0.39907669592303296,609.5374843537049,2342.185362000533
500,8816240.459509155,25414.702906538278,3069.462426522684,724.462830964164,2381337.577349175,0.4040964321232499,639.7014404243546,2507.61729726339
600,8355081.104350967,25795.84043787675,3289.4653756610596,756.803615624486,2723438.63287912,0.4047455256645861,703.9448223433158,2496.2251497305156
700,8175265.283400282,25910.93196486672,3440.4480090194656,787.0881591091793,3208197.79761268,0.4077806619109093,709.894092067172,2652.9198550908
800,7883371.770838239,25985.2191808021,3526.3921807091215,838.5376056353562,3409340.1955217095,0.40834614073531567,838.5487837529549,2796.666539812981
900,7610213.332774378,26166.780850323143,3722.100948187368,866.7538667443409,3748129.1131201624,0.4109072256385298,875.9359922013567,2848.68472567581
1000,7369950.668846761,26260.777559390554,3807.4522721145063,922.0563356557357,4020386.163175986,0.41137413646572724,934.5354212062114,2983.5225186616144
1100,7104186.178919973,26278.982223011764,3996.311483458949,945.1684771533616,4240593.61772445,0.4117431729190408,1015.0649373586742,3338.4908296723347
1200,6805452.60991371,26341.355148286082,4076.129908186233,968.849860463017,4326541.278225925,0.4096393516182136,1043.8519674407596,3459.9815903729705
1300,6580314.887911619,26256.74174351924,4210.698631564166,1014.7344493795081,4572176.329864438,0.4101068219262138,1118.9291321846981,3443.444968087747
1400,6432970.140181067,26211.381329377946,4321.249960085548,1068.762841433344,4789487.831543463,0.41064182634585195,1163.1137879485111,3793.90822065461
1500,6328329.655884334,26249.150798593797,4369.500635495786,1101.9971614871497,4991189.51234731,0.40790923717447375,1308.1798983670835,3782.0577919653047
1600,6154850.794910548,26129.6580137675,4495.222710947519,1125.3921444502396,5117832.225112273,0.4064554776554443,1351.8912206454797,4078.0084560361174
1700,5924827.997745357,26102.75605539012,4555.749399535188,1134.2375112364557,5150848.829847515,0.4067883219913397,1484.6094957482317,4193.573747205726
1800,5972478.47792443,26002.887911770704,4599.011647187392,1162.296195637486,5423366.261443948,0.4044412001791764,1541.8992958816214,4353.579134884509
1900,5825698.785386101,25954.524076362977,4655.8653498393005,1204.3896294705014,5491540.175565999,0.40421374311937175,1604.8307737650114,4574.102632542307
2000,5606785.665086162,25773.039333051704,4687.971616312624,1226.765529731021,5621354.673419712,0.4013627241408196,1766.9168324638365,4781.198327549205
2100,5543184.633415803,25593.3615885573,4762.714415518093,1258.7826031089005,5636262.519174304,0.4002006471479871,1746.0189258737087,4949.753338587315
2200,5344184.890480802,25592.67894151719,4835.066992200077,1314.572214809066,5819778.512179394,0.3986877220537589,1926.684701241531,5230.473457195515
2300,5211621.632128025,25341.471761620607,4855.626787686053,1337.2286207711165,5877597.994287314,0.39583486432890197,2067.4328549095617,5551.738174191718
2400,5267210.418752004,25272.370133077686,4881.890282339817,1350.2638325127316,6046878.305030756,0.3934531283313621,2067.0051422822653,5642.460047251063
2500,5155503.641333185,25075.26529667068,4903.214827631457,1395.1375449975328,6179282.596563626,0.39128233435077,2282.289727308987,5860.1872460730065
