miliseconds,Susceptible,Exposed,Infected,Asymptomatic,Susceptible_quarantined,Exposed_quarantined,Hospitalised,Recovered
0,11117153.410078384,23380.077296884832,2219.107672319185,525.5271769875019,116245.67145268034,0.3777261479122228,450.98131231537224,1853.2912994265528
100,10551118.589829171,23930.96207749559,2414.466708254151,556.1322246264538,672902.9447738456,0.38431076998749714,522.4008127593795,1877.6370266831912
200,9969564.379289623,24471.53531861302,2572.6845871711776,617.3025368444667,1310387.0110696852,0.3915530500007711,575.093435841917,2088.6193754035885
300,9524038.616121046,24840.577916897397,2725.6771577578984,654.4821470013864,1588420.178506542,0.39621716630731046,653.4009798583534,2044.3042566287338
400,9191672.19500933,25224.08072538048,2912.6674133473834,691.6937174859123,2115178.359612602,0.4006516760090727,637.9184764506095,2281.0975215867293
500,8782400.77428928,25409.562194711685,3066.621324109143,718.4419067025394,2540589.1976557975,0.4034712251463658,633.3789972276934,2303.9810917286973
600,8384786.074627789,25652.670967302394,3223.2069247792065,769.3619400411446,2844976.329868352,0.40521027769327744,723.8976663408586,2516.2454082551203
700,8118136.984202601,25845.64922641933,3378.3618125652124,775.238075413624,3131628.864120512,0.40688822583008244,720.6921081403771,2629.8603239026056
800,7864809.1604972575,26082.05719560581,3528.178759130944,837.8179532243952,3443152.0345948664,0.4082642505941969,830.5290550334728,2660.657560421085
900,7511818.175899883,26116.93750098958,3697.806816339631,872.1735770993444,3662572.412455307,0.40950045256785916,936.184056697076,2818.6555401629676
1000,7274015.255457683,26160.830874249878,3870.942417495046,900.5829496191672,3886693.850655463,0.4102311883877032,866.2805074485112,2972.437609868156
1100,7061004.957797167,26280.944186624103,3966.748247632774,946.3966454513405,4172469.994651611,0.4117257927506143,915.5889200708941,3143.39903140773
1200,6810208.612630885,26250.67515200548,4056.6408224538222,984.010859435291,4402120.243776314,0.40971297470807566,1065.801341795773,3510.7989128845293
1300,6572024.34800367,26297.99856095913,4171.894886298006,1028.3924129301577,4611676.214198176,0.40953229438904115,1117.7125190644558,3607.923231023048
1400,6401868.822404774,26315.71231905813,4305.976918055171,1033.5692655713597,4665516.576792794,0.4105186839546682,1231.373135806895,3770.6914520446303
1500,6259109.478415433,26146.33882435879,4361.828140937856,1076.8281430844986,4982471.281239314,0.40736487629520995,1251.6252208737706,3920.383542088261
1600,6199986.2278558295,26143.740714689542,4484.917270079167,1120.6382471843706,5065145.775430552,0.40666841194671544,1294.188491728055,4004.9986914731853
1700,5941613.608753025,25991.058029821135,4548.654008913934,1139.1340443774643,5187734.053576495,0.40509605752991457,1480.2088063059875,4151.091659696487
1800,5832809.707965974,26011.01008047793,4592.598430286675,1173.2201057716736,5355313.494695603,0.40464249705022387,1510.7283154558604,4564.687742617311
1900,5823730.163780669,25910.877248890843,4680.638701878198,1229.4849585541406,5563270.056041559,0.40358678658830505,1651.6764916165089,4567.688722701693
