milliseconds,InR,Ins_InR,Ins_InR_P,Ins_2_InR_P,cytoplasm_InR,cytoplasm_Ins_2_InR_P,cytoplasm_Ins_InR_P,PTP1B,IRS1_TyrP_PI3K,PI345P3,PIP2,Akt,Akt_P2,PKC,PKC_P,AS160,AS160_P,cytoplasm_GLUT4,cellsurface_GLUT4,PTEN,PP2A,PTP1B_ox,PTEN_ox,ROS,GSH,GSSG,cytoplasm_SOD2,NOX_inact,NOX,NOX_deact,IRS1,IRS1_TyrP,IRS1_PolySerP,IRS1_TyrP_PolySerP,PI3K,JNK_P,IKK_P,JNK,IKK,DUSP,DUSP_ox,degr_Foxo1,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_RNA_InR,cytoplasm_RNA_InR,nucleus_RNA_SOD2,cytoplasm_RNA_SOD2,E2F1,SGK,CDK2,AMPK,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,1.406259687723339e+18,0.0,0.0,0.0,605918047699378.9,0.0,0.0,6061331765529211.0,0.0,61160840288284.055,1.212130876983719e+16,6060604032414878.0,-7268711253.896832,6060622035268139.0,-24273400814.378838,1212195470135450.0,-35979051136.90224,5815923981148204.0,6.199017845231582e+16,6060606692234993.0,3.03030303030303e+16,2447471834862.174,212721556028.69498,-176176833.42411098,6056570909036.631,-2918762693.711976,2526814896786079.5,6060606060606.061,0.0,0.0,6059635169483389.0,0.0,-189610473451.08487,0.0,606060606060606.0,42661320138.71663,-1362695287.2765918,969668829607793.4,121210866412799.55,6060996751754397.0,824949072359.4655,-12589229.400607718,61222744592502.14,6526439616639.348,-5560499949024.775,687736541.4548172,17734811833.41037,-68906098743.22238,-229672593.3907699,-135081565862.18541,144728508613.67178,3682754.1948503563,7863711.2186683975,1485028767.0167067,127930529.04273076,-107413790.1236245,-5595943580.584156,66561.8130102044,-5491638.298193559,-3342251.748898139,130579.33684286992,-5345809.37327332,38261530.75797786,4167.844074028277,-237144.824109456,-1068560.1744521158,-3024444788.514074,6432584412.439979,23795161721.283493,-10199489.492861072,80744175.99903157,132414486.47841728,-991057.7148708634,-65685326.575813636,-148338047.08024353,14591.204019415141,824092.2070589268,-604280.4900227542,-265492.5566276673,-131129.8617574044,67943.2888250975,9073.493839866902,5745.562215528188,132134.25706339485,132.3150905558886,4184.519339294857,-7519.697393434154,-81.69011963205553,-230.54934714929956,-214.1973642984707,-2210771681008.7188,-2529912832.0103154,-14089449343111.625,581357508.3755046,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.61
100,1.4062955370151944e+18,0.0,0.0,0.0,605762971990537.5,0.0,0.0,5982775593400482.0,0.0,11488187441632.26,1.217089563200497e+16,6059881293706658.0,761516758248.9435,6059548149108093.0,1032000643332.7062,1211612257219734.0,418042221958.52875,5817678337036359.0,6.288318630352549e+16,6060130074241020.0,3.03030303030303e+16,113653718090231.12,161468310273.69476,109193192755.47246,6011488474820.54,52606353314.80671,2526211855920585.5,6060606060606.061,0.0,0.0,6058705218453190.0,0.0,2259850420447.018,0.0,606060606060606.0,77981124420.54239,2027354232.657433,969596295368471.8,121212194737688.47,6059518540284394.0,1347515000902.7964,-16456996.583766442,59600986913068.73,32211823261367.773,11451418886312.781,5995033910.8498125,-29091576722.028828,-324420254449.2309,1367509173.957842,37114417176.6226,26200727993.405,682962.8615356294,-303847987.04628223,-868299459.5109078,-144589986.49555442,-1476387414.4631832,4252161866.996234,897653.2232923891,-5311443.65781452,150301847.2653085,253692.311501889,-8673002.246674031,-9667498.356382914,-4557.913749573012,177819.23316350795,-1107765.1050778707,20697080613.771587,8304092055.199673,-43333515083.80251,-5556438.366838831,73967601.85415326,136833474.0983673,2245044.9707725774,693318.8820516906,110188286.7630926,-58827.67001170617,-390828.97777900874,238065.93209494278,-358532.03492871503,-36066.657569819516,4537076.88154624,2997.8246635589717,-6495.210767679831,219849.5125746217,461.2776609311295,1644.1932538227184,-12681.104394288099,-26.81639217968333,328.9484163700493,-881.0089642012575,3634403745250.4478,273778016.48924,-6047699973929.568,14521764165.130499,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,1.4062502627503562e+18,0.0,0.0,0.0,605358234489308.1,0.0,0.0,5902202172307567.0,0.0,11233274930409.809,1.2170764150336518e+16,6059890443362061.0,700095016120.9893,6059638387944551.0,975909728991.2819,1211231847031790.5,858533008899.196,5807299770231300.0,6.3693167580258184e+16,6059889710838487.0,3.03030303030303e+16,174967830672983.4,403368287955.4437,109395895616.14806,5974121854562.429,94435604158.4024,2526682059767907.0,6060606060606.061,0.0,0.0,6059806996613458.0,0.0,4033346346151.125,0.0,606060606060606.0,74276176258.9862,1427559795.666051,969571645104727.5,121209329682935.89,6059600685843232.0,1923618179254.1929,-280786646.5984317,58199097387983.9,69646068883739.12,-19133058928736.555,8644566906.114973,-18695176816.796722,213500323111.9223,-433928303.55580974,89068916798.69678,-238520035533.65152,2913711.032074413,103631710.29595804,1039105022.5720123,-123817426.71428965,-546060444.7165059,6434561937.209167,-677057.3089071003,3039797.199687674,-53165658.89778916,-293004.526781904,17982431.228253305,3429804.521643007,-6946.300978877433,73046.66618539987,626202.4354026305,42229784921.22794,14108697270.922226,-11276194488.294214,27043410.00291646,-69235430.45339286,-77613334.21319139,712431.3744102485,99500645.12305616,91662291.8838486,63944.698958180554,519734.55728346354,1838941.6897290286,93773.21905981166,-17405.514644897718,-5334472.692973818,-21851.97625337333,787.4563205529222,75881.60705333584,-481.6024213710565,2360.1640195826953,-23976.37182138113,-41.4664679723226,290.0435047607113,1023.0662776234228,1186397073840.9456,1915252750.4773908,6895048779340.042,-11952839447.181969,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.61,0.0,60606060606060.6,60606060606060.59,60606060606060.59
300,1.4062851857504307e+18,0.0,0.0,0.0,605456269847918.9,0.0,0.0,5813313119083001.0,0.0,11117856708529.52,1.217102714830296e+16,6059960102304254.0,670921839917.8108,6059700251550941.0,893653320732.7472,1210870500854054.2,1327298937770.5627,5803034520983471.0,6.513217066435129e+16,6059709535764867.0,3.03030303030303e+16,237421267400171.25,746273902390.744,107659374078.20294,5938278217014.404,123249176047.27165,2525586256810633.0,6060606060606.061,0.0,0.0,6058463506523209.0,0.0,5365273755347.138,0.0,606060606060606.0,133814620697.86777,2948533645.294748,969609158364120.1,121210101678206.5,6057900723891375.0,1991892471156.8853,1135964134.4910576,56958263267401.06,94204082136707.84,54470486361849.53,14234214672.04194,115886296623.30176,123886807205.14227,2067701205.2455606,-22038143203.08173,-327081391296.26416,-2353183.583472249,-14183379.499574006,-1327497013.324368,58595914.37511028,1731088639.0100687,1162818855.2641606,2326.951760972792,9205527.30835346,-85568081.73984331,-271980.3411164264,-3388519.9745340194,-5694338.078086197,-3862.093665164949,358737.0321101167,577292.3684150332,59691268134.43546,48842143618.33065,21784325974.056458,26869718.244718604,85080851.87741077,285925172.05703914,-1274221.827924401,-86962267.91452354,117795793.7113505,-62225.26105739555,197405.24867946564,-623798.9323529825,271907.2862457501,-115845.64668635935,3216916.663273151,8676.158920198837,3848.52557596354,-56431.16451262852,-1071.9250949681552,-4408.238196291848,-6586.138937172527,62.61437679217016,-272.97045232513966,1161.2596945342636,558157025245.3027,3556275355.5480456,2882256776459.6494,18311229519.597576,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.59,0.0,60606060606060.6,60606060606060.6,60606060606060.59
400,1.40620860030541e+18,0.0,0.0,0.0,605231819275276.1,0.0,0.0,5749752422331210.0,0.0,10847457178195.06,1.2171210015649654e+16,6059997584924783.0,626081268392.5697,6059722489956394.0,876878265755.4336,1210456413779015.2,1650990213187.827,5795677165184618.0,6.6825376941458296e+16,6059727643141050.0,3.03030303030303e+16,303223191055073.0,1336311661094.324,109720013178.38892,5913203315142.052,150208723283.60867,2525535674361478.5,6060606060606.061,0.0,0.0,6057641615057672.0,0.0,6588666958233.364,0.0,606060606060606.0,148072810896.4005,5045009427.052039,969511357846033.9,121208010744717.58,6058021315776332.0,2554164539881.201,583297705.5154855,56600132093944.82,131565989036813.52,-14323671178215.84,25207061977.509262,61312136117.34162,17513341911.646515,2335105356.208728,56137142364.700424,321067300596.9212,2342538.9094599737,455787065.4710463,603526691.9815054,-4159942.521988839,-150476983.837979,-1783022808.680851,-861062.4672747187,-33172261.792711437,60423254.04518277,250884.21420446708,17343782.024755165,1812894.8981468414,8937.791596455289,138191.77359624903,956643.3579251962,73207898302.08382,94592679592.8858,58161512024.58768,43664703.1332695,65778062.24733201,-277796120.8552887,7924596.522905625,103256376.90021679,3508922.8130444996,-51259.34981455783,577708.8395819181,-1077842.4732206909,56077.46232505518,-118050.95495065534,4523957.831121915,-3781.040775521944,2766.6567227839982,-199896.6292208196,-619.9662109193242,-7434.725704106439,19204.179052833006,16.589696960591127,-331.7960332677373,-709.3157547800056,10182378122771.932,7937372378.164079,-4195849501417.74,-4142251594.2259197,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.61,60606060606060.6,60606060606060.6
500,1.4062092480070797e+18,0.0,0.0,0.0,604731578755754.5,0.0,0.0,5691726816710825.0,0.0,11734692379437.557,1.2170722573060148e+16,6060027682566103.0,568957999262.2607,6059783812107600.0,805966074792.7498,1210101269087187.8,1904591174066.6353,5797150599375064.0,6.838099512314848e+16,6059279633938955.0,3.03030303030303e+16,360682410731413.9,1133191003248.2756,109567498141.90065,5896843716093.955,174475329234.845,2524926126650890.5,6060606060606.061,0.0,0.0,6059138066067151.0,0.0,7565976385162.171,0.0,606060606060605.9,234439197477.28217,5231299464.995325,969442548700930.6,121206531570749.5,6058207504968447.0,3656793161799.605,371529421.9039777,56047519587932.88,157126895927738.84,99026516293826.61,29727115842.47211,112038872529.61496,-274195641611.96985,3286926729.606073,-96149127107.88956,-139921643186.02264,-919090.854401984,-14174828.148201559,277238034.11217976,256796217.63542953,498636914.8092809,-321970634.25471324,5553676.935251319,-39952185.86242,-4347075.833124893,119935.15924340812,-2450884.855548984,19276043.517998856,2626.3983319162894,-124993.2442119438,291944.2153420238,87685273771.33403,124222628581.70284,57219350139.04707,85765541.06613389,74493143.34534062,305660714.4898644,6641116.155030672,-1863648.644342672,184616040.089341,-53030.38239651449,-174721.04735757742,-110131.68583416901,114323.80337598626,22055.793401530944,-4924581.087486501,26607.745596198878,781.8528477112737,-284981.4055564151,-1134.0141588856275,2896.154561401169,17671.280681913115,-29.22598544051163,-54.950104890847726,-56.94460882215299,2114526294288.3188,-1438161455.9750948,31359715114452.22,18630647221.986015,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.59,60606060606060.59
600,1.4061922237607485e+18,0.0,0.0,0.0,604548133756844.9,0.0,0.0,5597911182374577.0,0.0,11365477234529.305,1.217020874769641e+16,6060043727545844.0,538659151507.3706,6059828052876823.0,774314554951.984,1209826155463834.2,2224404862858.4033,5788605178432182.0,7.041205259744028e+16,6058864044704564.0,3.0303030303030296e+16,417240834205061.6,1670096912252.6826,109081691825.28264,5873714792964.772,185466300531.15643,2524407167116995.0,6060606060606.061,0.0,0.0,6058589278787426.0,0.0,8419617741688.661,0.0,606060606060606.0,234073103583.42096,6136263112.621941,969487467513801.9,121204563580801.56,6056430846697368.0,3022482542493.505,1940569194.6997147,54601455458799.72,180354993987799.53,10550474355329.11,33768859009.138466,109060381329.93526,292258365485.9014,5481785269.52607,79054204876.18439,-141324169751.03314,1507769.2578463443,493365128.5299161,-1319103131.125586,103985010.34897125,2587559888.0366015,7893931075.347456,3910081.114818779,12634864.451928282,127180318.99747494,181499.83883097142,13067474.674127849,-35838756.87019956,-4768.197232890819,-191400.30288699685,-746664.670839748,97370699792.45486,147708387321.80072,59504636054.36556,91256019.27150746,161598259.63514534,-77945001.99782333,11552989.601509057,108162092.66693732,15236065.318468072,-31427.322282408553,849303.4997235541,-1664152.2499037497,533600.4282402084,494622.4080353817,-4149913.622942039,27318.21125826565,-5007.024967727784,-302652.1609609636,1096.187731651437,417.27855504273685,-4300.489753804488,1.8345801904417234,-430.6141653277473,487.2643821245439,3277023833816.659,-1265473564.5473404,33271984652253.555,28896988179.442017,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.61,60606060606060.6
700,1.4062465721182093e+18,0.0,0.0,0.0,604386838939820.2,0.0,0.0,5583581376838744.0,0.0,11038334518862.684,1.2169987013370078e+16,6060082163284375.0,509236650866.746,6059881608289242.0,732974379899.7694,1209667472018601.5,2435604659780.5977,5787934803047010.0,6.937700178593382e+16,6058545650430362.0,3.03030303030303e+16,477711619135324.75,1888685672751.4473,110191735461.40186,5858070653725.931,201109823361.6504,2524384674408165.5,6060606060606.061,0.0,0.0,6058119581587508.0,0.0,8890488738073.516,0.0,606060606060606.0,281226743919.03937,7830409133.603914,969437733055397.4,121203919819434.66,6055937349013200.0,4734326268188.774,674188598.3326024,54303904826470.32,224379958305210.47,145655968259753.88,33962200138.096546,177655181508.6165,89553451370.89836,5742462246.663002,60088301592.72143,-248061620950.48764,10925.409496541135,480183263.2229639,336415775.266233,398013043.60615367,-547123172.3586304,6501884888.623637,6393056.871227421,-16025324.85107249,-44628148.009244405,295385.2382667753,9468392.433984261,-20136235.163981408,-1859.3429922639077,365244.8491333183,-1027390.092726994,104277119465.85884,212338920804.52213,83056463330.8744,145030275.31946197,180022062.9526955,409147771.80846936,8694756.640734412,27228156.111193843,-87522831.67219022,71428.93592696053,723326.7189816883,31099.596677815534,457313.4321499986,666384.9766174662,6052424.912640973,23522.169372181626,-2735.936129585699,307302.3028194514,141.98226933926503,4804.948900661543,-21388.392696946878,0.18514447779132948,-53.276652852135676,1427.3034878287965,6780250048379.706,-87686198.0867796,16754957546423.855,32514917556.40049,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.61,0.0,60606060606060.6,60606060606060.59,60606060606060.61
800,1.4061420009964895e+18,0.0,0.0,0.0,604204906398073.1,0.0,0.0,5506257553662911.0,0.0,10609193322769.453,1.2170177223749578e+16,6060127188138482.0,480872338043.1971,6059910994673898.0,668620727503.5887,1209370165881319.0,2615266029055.798,5784704611033126.0,7.204903538007634e+16,6058517722389431.0,3.0303030303030296e+16,535659138343539.3,2101591102261.0044,109295056396.08827,5847916664680.663,215990716702.69894,2523739088578735.5,6060606060606.061,0.0,0.0,6059295866012772.0,0.0,9533669595495.326,0.0,606060606060606.0,370298013149.182,8222398962.950793,969313394959379.1,121203101840109.73,6054913272869928.0,5247444472451.303,1262909598.1919434,52893910922430.516,231259478698605.44,127930862753586.88,42530764678.78056,222513012221.3167,82713018946.37555,8441517506.164492,239593106867.87964,396044656548.74945,6613071.523532755,-245673909.2137343,-425299421.13105965,380336926.4867798,1952586080.3661728,-5121548455.07194,5328919.893746433,2691893.072559814,138037040.46770734,307970.8520161965,-13197806.263737613,41678951.401156805,2087.620241255442,79605.23237007787,342359.7972854966,115345131361.72429,240069299889.55582,74246638278.12035,169730339.31864437,271477294.75545007,548416801.147269,14467597.415895075,111040249.19082062,76918092.38187705,-6700.14186074365,-495264.312567441,-601607.8087086778,861837.5960497501,859681.1758219145,-1235461.6404399439,-10843.594051864286,-234.8168982123998,-261454.47858676745,-909.2730090222183,5599.310281468134,15787.428212082903,30.87117857107806,323.6401408485641,-1146.3638423073137,13000447335179.32,9127737639.060677,35180076216104.035,34812572018.55055,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1.4061701713371633e+18,0.0,0.0,0.0,604063260215531.0,0.0,0.0,5492466765479453.0,0.0,10803956546917.574,1.2170446147548382e+16,6060135817028193.0,453226920996.22095,6059978337965462.0,611132329562.0078,1209330164226510.5,2821998483770.6694,5778848603163099.0,7.347421596931152e+16,6058012045680894.0,3.0303030303030304e+16,576674488753868.1,2485466630034.648,109774205382.04337,5834639410786.434,218955072223.63184,2522333408096428.5,6060606060606.061,0.0,0.0,6058869344403370.0,0.0,9692657790718.963,0.0,606060606060606.1,415034405155.86926,10284370325.817894,969272530032609.2,121201596485274.8,6055652985710691.0,5147343929805.866,1319772724.117309,51981339389872.73,272364583841038.4,96882772948315.47,42489025663.805824,190017425170.27444,-1613999324.2024994,9144199263.822498,115152766943.41328,-104790109738.30711,3141246.087113346,143426861.37314862,-1057609160.9680499,599670709.4055588,1666899568.4960656,4318826370.6243725,1494265.537034286,38809397.73260993,30826461.19345077,13126.789440742781,-12247784.005770132,2299176.399581233,-4987.252346968985,-195996.84953650893,1091151.870227363,122283592754.75322,276903469501.9881,117273165222.30185,213307696.96959656,475579554.984812,-62247921.039601386,30789144.418150153,249212502.5880442,-77995904.9723393,26722.99914393244,-95510.93499124696,-1707892.334848042,1374624.724517913,943747.9888789069,-4320788.51370215,27654.661062544645,7072.43725921761,-85523.0193196204,-74.97511983432125,-926.8189903374098,3625.9493903412845,-15.354654170588043,266.54477085329063,-1115.2280143142314,6366471831347.444,8384644487.143244,10629570255427.195,12079544063.421005,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
