milliseconds,susceptible,exposed,asymptomatic,symptomatic,detected,recovered,deceased,detected_cumulative
0,14367979.056510987,440.3266823589325,186.55603719241287,211.34882551279398,1.184953209896013,3.5483065578611246,0.10757882857808201,0.766525780619604
100,14367974.023760024,443.55544273629397,190.55118512610278,213.49024168916264,1.2002862459463224,4.993912517868837,0.48103007169025647,1.335226515828833
200,14367950.19130311,449.56713517873834,190.44929264761564,214.20970776415572,1.37617693325539,13.598038997332411,0.5700241919474874,1.7789649896210284
300,14367943.858030206,456.54289206371624,193.9843499319481,213.94069932828288,1.9099810650301665,16.154264629036017,0.8240400864889463,1.6450912815645653
400,14367922.49885821,459.39098127466974,195.39365558125266,213.98624920261292,2.248396421871248,19.853606768802578,1.4623303686333036,2.035842510403824
500,14367910.769111194,464.08681690024383,195.78585600708854,216.39073816185447,2.5291185870847945,26.987403492801683,1.5222356197163247,2.3836005264655586
600,14367910.991337383,466.97266608561995,196.75932994383098,216.27878203354024,2.7958492931804124,35.06246323740218,1.9749912050314984,2.566570800766335
700,14367898.520228963,468.64468145738766,199.63020041401478,217.75720916082938,2.92836068299215,40.40003825286733,2.1946134918256925,3.027789563169485
800,14367874.608665993,479.22735937883715,202.4406141665699,218.34742986790582,3.168136341489265,46.73325888771817,2.8735988004494604,3.3325704849373676
900,14367864.206763161,480.45301873821046,202.25388298597386,219.40153970530935,3.3899865264603695,56.49683417918074,2.7319896768448286,3.7174660277567755
1000,14367844.387597812,487.7946140240566,205.05981054312753,219.86129895739654,3.535185615761952,56.67674135594898,3.402510596595573,3.708096782234466
1100,14367838.84472424,489.87003553829675,206.23190603648496,221.71271193663068,4.050314526587882,66.45503570510711,3.8520741286561284,4.026201817154091
1200,14367817.602029618,490.95596299608144,210.15868185988765,221.30126960011566,4.3957405240415826,66.9631820095102,4.102325293705336,4.4110521488428205
1300,14367807.76557066,496.54331102787023,211.79891784548477,222.39183133048795,4.360365031868843,75.08223985445471,4.513919923634029,4.966444844481234
1400,14367798.45351704,505.26476324331594,212.70574696468313,223.95918660983602,4.676815106189215,81.47152035930311,4.8273132338113065,4.94265801084068
1500,14367782.801365344,505.740201833796,214.0841178758687,226.20595026483457,5.174700195919231,89.52858064611179,5.088067564948563,5.395712028515211
1600,14367775.6129768,508.13105549144103,216.2138744310464,226.61185730699717,5.20906976195744,90.9404050202041,5.078003881136417,5.4923629695080995
1700,14367746.99778456,515.4809710721017,219.50153382009353,228.37862067361885,5.757230335996881,104.33853368507694,5.930127406263577,5.901441152096897
1800,14367745.223049818,519.6976048744399,219.96578529876544,228.86421353326907,5.915957808800677,109.65032343446346,5.77394125600759,6.488932714647392
1900,14367731.580619853,523.4262377669374,223.32027214366693,230.02380396243734,6.009662379918069,115.3381641557002,6.588471014728637,6.88002438111898
2000,14367716.744980885,527.7254464206761,224.7649480725217,231.71864290988626,6.4467376362988436,124.14313945151643,7.000197776214394,7.012946675066559
2100,14367691.465308875,535.5550210344328,224.55157922947495,231.80584689726268,6.474284602570499,125.91258911184372,7.089468314381842,7.455374058968399
2200,14367686.874047084,539.7033342499024,228.87590252735757,233.6716238787105,6.935982634589634,136.3315299238888,7.5178302456178745,7.468135200278151
2300,14367672.894690372,540.3516292748942,230.76690523050283,235.60194394502332,7.109672156577046,139.68374923325317,7.640692219591824,7.945221796582641
2400,14367651.786986861,543.2710402676042,231.4295484774573,235.60254609789524,7.380586539803901,142.8683338283575,8.237086966394097,8.17736250546376
2500,14367627.516001442,553.3011150470691,234.44653431263134,237.05498900895293,7.504894760621541,151.28404190509517,8.699782160298277,8.459906632854942
2600,14367615.916320914,553.2428872102671,235.1130104272504,239.41054841295903,8.009275268153447,154.1807353068652,8.855151267842212,8.686748918301628
2700,14367602.936328495,561.2307498631245,238.4354521452574,240.23287969477488,8.165252245987904,165.90207519697378,9.061324682908774,9.358326376972734
2800,14367588.12420977,561.9475967796806,238.71975290909086,240.37062359504142,8.576820319249897,171.33474632069192,9.819049573386028,9.306960487558461
2900,14367573.886495281,569.7425290638738,243.2885496600538,241.82451313858863,8.835398206579141,180.00916009857823,9.827224117235797,9.86434339998024
3000,14367548.340282401,570.372041133811,243.85616143687722,244.00191959382335,8.739588801385247,183.03552350521426,10.226160096124158,10.167873395204385
3100,14367532.361687655,574.7083558203382,246.1175054326165,246.21106712752584,9.164793427424367,192.97436512412136,10.588010859497825,10.512116178235416
3200,14367533.830812206,578.3165893821349,247.8630928510922,245.96687920416903,9.382674984359328,199.01214567633076,11.042596779567358,10.882846749162537
3300,14367510.552187439,585.6530426247313,249.31113639350292,247.7037443706441,9.78773205151408,209.31894144280878,11.339514031245448,11.140271954629329
3400,14367499.952379849,589.5199865406447,253.3545766993414,249.13327491766546,10.07600615497376,216.14744223245248,11.980747908734989,11.595724801890288
3500,14367480.38191018,592.7706559181016,254.67368637958856,250.5460821375775,10.03790812918049,225.5818017609047,12.381539633135667,11.657557266933534
3600,14367457.718344834,603.1845413313378,256.05743405511527,253.19381675626133,10.593720729300484,231.8293595576754,12.552903578218885,12.09554093234133
3700,14367457.671105023,601.423821929789,259.5947415199217,254.55917004563193,10.878337915060024,234.47025261066685,13.18199815394969,12.664160469132302
3800,14367426.651568752,607.0030477130055,260.74678038962287,254.98957445842223,10.949882164686676,240.59565092184502,13.26797190679766,12.721232167321613
3900,14367422.663441207,616.2508609693724,263.8183819367641,257.5237391134794,11.363058574390566,249.06870949254494,13.65027067848178,13.12065006671683
4000,14367388.37747191,620.6704548150934,266.21351469650267,258.980965899709,11.654288266936597,259.6401785805466,14.578026585868612,13.458121166442416
4100,14367374.787480922,621.4562341571809,268.76115717570667,260.4368433007657,11.741026918908531,261.9045653548918,14.685684050964914,13.701283701462595
4200,14367373.13911304,628.8692412108932,270.43014074330256,262.72501331924667,11.931218764874053,270.9891639170477,14.920953375191736,14.091107771228602
4300,14367348.380572706,635.9536079999863,273.95162867374455,263.69978424709416,12.295313894400119,280.197637212289,15.673309229642854,14.624780317474732
4400,14367322.08459643,640.4349355765632,276.00785539907577,265.6244010226561,12.431655507780034,291.2656524826917,16.13704704424193,14.827618321429744
4500,14367318.844052294,643.380907601805,275.6399922212111,266.8576929841872,12.806075767979458,290.31813269051923,16.353318911018768,15.112294880813339
4600,14367303.896318547,647.1008760702142,278.0559856448357,268.06335987313645,12.942567153155107,299.10427946000533,16.85749395220286,15.90543321238907
4700,14367277.568573643,653.67152381107,282.6065270251705,269.5771816452511,13.103735008120314,313.21870725910986,17.199336535851874,16.007263476005907
4800,14367267.30054933,656.4444737228916,282.9808313954602,273.1484395127488,13.721834845041231,316.6097097645443,17.418152773087645,16.332752656041798
4900,14367237.759318026,661.7421772432294,285.01433676661804,274.01244305289623,13.972784911322567,326.0999129533922,17.83624471406709,16.61852913682252
5000,14367227.490914574,667.8714570962663,287.7250390906564,275.55851857606234,14.036752514504592,333.5678614456913,18.43604407408156,17.35284482906493
