milliseconds,Fe3__enos,Fe3__Arg,Fe2,Fe2__Arg,Fe3__NO,NO,Fe2__NO,Fe3__NOHA,NOHA,Fe2__NOHA,Fe3__O2__Arg,Fe3__O2__NOHA,Citrulline
0,0.015043387129896538,-3.5067615794468614e-05,1.5421734477949963e-07,7.999331307237941e-07,4.99152708475712e-07,0.00012206292708911031,1.3747869859783622e-07,-8.193650321637038e-05,-2.5497542733580933e-05,-1.4558287551635254e-07,-1.6592862494213016e-06,-2.45090005806102e-06,-0.000327134669878428
100,0.0050923543878032594,0.00862052754441078,3.723930559603755e-05,0.00019241357912431746,3.2726875899997473e-06,0.00025858891256197664,-2.4430932172570063e-07,0.0003984617735828805,-2.247232122973174e-06,1.431050465843419e-06,0.0006403714835362095,7.56493738636877e-06,-8.479725484480178e-05
200,0.0018232714932981263,0.01076756512356072,2.3948961547285372e-05,0.00024220710173127432,1.1153740906513143e-05,0.0002721908822361089,5.594961734403905e-07,0.0013540663929471803,7.073411389393441e-05,7.2268838448959055e-06,0.00083733077531597,2.6564667499711885e-05,1.802825505481e-05
300,0.0007897904084965408,0.010809837863343582,1.9505517304044033e-05,0.00024733780930486497,2.554065409067887e-05,-0.00020122519373098473,1.8967017441039423e-06,0.0021232110215022946,0.00010979265109828345,1.2687445887319933e-05,0.0008626964394232197,5.105795125666432e-05,0.0003250218200731528
400,0.0003487333361394475,0.010249600140530883,1.7737808125146506e-05,0.00023674054306602736,3.844107774345469e-05,0.0005216966832320056,3.5189313130872447e-06,0.0029416220622672773,7.544556242888761e-05,1.9322857566730175e-05,0.0008361772060443483,7.535995020301387e-05,0.00022488334388830623
500,0.0004798522495284179,0.00978187248850278,1.6911817699068075e-05,0.00022476009515614095,5.096116539713587e-05,0.00021736577476078273,5.338427872052785e-06,0.0037661119568345434,0.00013272996128275503,2.3330163491018312e-05,0.0007922457609633926,9.780681317107491e-05,0.0009790594538022232
600,0.0004136210342752218,0.009149545373711182,1.6587221974525148e-05,0.00021446700486074492,5.8816614643813365e-05,0.0009552134224644625,7.313478526713886e-06,0.004327030178523881,0.00022789780706405224,2.8303622845147728e-05,0.0007555119302053169,0.00011554957658162396,0.0008978700622209452
700,0.0003640753391170895,0.008606502621883923,1.6245435516343286e-05,0.00020345269587498027,6.910132308823972e-05,0.0011742828799479006,9.184881299576804e-06,0.0046619023421106,0.00022076679052649247,3.0888326863809734e-05,0.0007142775429145512,0.00012702727101782983,0.001402841911910552
800,0.0003673137205811496,0.008322461093126999,1.6121465431591007e-05,0.00019606041403216615,7.474584805419632e-05,0.0014090114578087282,1.0715971774170612e-05,0.0051102442393616545,0.0003684428015137854,3.40833692181349e-05,0.0006908951438502978,0.00013898861570376238,0.0017965598787488195
900,0.0004211252516194003,0.007986166427285135,1.577585100075327e-05,0.0001894886985416612,8.116873447465646e-05,0.0020543924699948247,1.205633336155741e-05,0.005465967679070327,0.0004140788142622758,3.622139426860185e-05,0.0006639109259926124,0.00015043434487434074,0.0023774711479633646
1000,0.00042526300619411255,0.00765181845507974,1.594729783262498e-05,0.00018204769478070545,8.359801100931585e-05,0.002121408884075913,1.322164216382053e-05,0.005628877070245116,0.0006231760026849918,3.83493329382172e-05,0.0006475684880673154,0.00015954580957999222,0.002641257956391418
1100,0.0004629835041607339,0.007489269725066459,1.5812789980917095e-05,0.00018008998000258622,8.821207991217889e-05,0.0027108343283908025,1.4012624025445633e-05,0.0059631546788621505,0.0006247517690016743,3.919111160744245e-05,0.000629769195499138,0.0001649828970173276,0.0029753616727208024
1200,0.0005578350417946534,0.007234637088769033,1.5570788386721864e-05,0.00017627696627584225,9.12951749268901e-05,0.0034049468976047425,1.4869652410446297e-05,0.006164965616326704,0.0007601252883944055,4.0397166893138184e-05,0.0006128493580483737,0.00017071696300034934,0.003929991286287197
1300,0.00047444097409551754,0.007064868530769774,1.5776727697393686e-05,0.00016988103745737337,9.44330732879021e-05,0.0035844110273478853,1.5796613534653596e-05,0.0062784734060516425,0.0009439653772173578,4.184769862053779e-05,0.0005997739121461025,0.00017512278453849257,0.004053323720580516
1400,0.0005484367255558926,0.006982796797883507,1.5623195760519255e-05,0.00016967920014916222,9.60694011431589e-05,0.004378984177903135,1.6656312168424707e-05,0.006306465817848073,0.0010442284967210776,4.2274322432422954e-05,0.0005956371057243125,0.00017640526579484214,0.004764174496379509
