miliseconds,Fe3__enos,Fe3__Arg,Fe2,Fe2__Arg,Fe3__NO,NO,Fe2__NO,Fe3__NOHA,NOHA,Fe2__NOHA,Fe3__O2__Arg,Fe3__O2__NOHA,Citrulline
0,0.015013309146991732,-6.0846932839773823e-05,9.410325417739706e-08,1.288448238103617e-06,3.5494500520006317e-07,0.0003071863108146266,-2.867177542987229e-07,-7.758701559156168e-05,1.4418670557605201e-06,-4.963318506805816e-08,1.4763875054907104e-07,-1.6455484254182305e-06,-1.009262846325744e-05
100,0.005165385102877841,0.00860376767624671,3.7133879330929894e-05,0.000192471419983504,2.7718917043493376e-06,-0.00022472740574085037,2.841400238810613e-07,0.00046254654050027603,6.229048657023234e-05,1.9613083345208703e-06,0.0006392150459476595,5.852064738271789e-06,9.861377498620473e-05
200,0.001786587393422243,0.010723658819067039,2.4107005613584424e-05,0.00024243409428602005,1.3048775736207925e-05,0.0004228978363672159,3.279816221322137e-07,0.0012213676563723498,3.269381351028326e-05,7.498490768429462e-06,0.0008400092900539333,2.4738795443541123e-05,0.00016669007483027397
300,0.0006876508876881087,0.010885846308258649,1.9464626433226125e-05,0.0002474724024240532,2.4765878294481784e-05,-9.78164751830861e-05,1.7645135431750452e-06,0.002248434162821864,9.555499050294093e-05,1.2818603217204609e-05,0.0008614035806456673,5.119838174514113e-05,0.00022488557053077564
400,0.00039605796185326143,0.010391297675732322,1.7734325197947716e-05,0.00023650367943669887,3.9380570503582085e-05,0.0002593999898213024,3.492401098854545e-06,0.0029998571922960253,0.00017211662900388976,1.8227723129581578e-05,0.0008327702986465678,7.738693945058739e-05,0.0005045535531890143
500,0.00043990842273214283,0.009739430223934514,1.6744772567178746e-05,0.0002259674329052187,4.9422560112585506e-05,0.0008744674098595996,5.042634065474443e-06,0.003641991431884903,0.00011018481880387983,2.3269484536435406e-05,0.0007988823021008752,9.579340315442244e-05,0.0003580130238341608
600,0.0004171048667266901,0.009069780539289607,1.645203241413308e-05,0.00021329224190385656,6.0303544412107675e-05,0.0008209967190242734,6.9863999305731695e-06,0.004288598074118212,0.00024229124922836966,2.7446875214622612e-05,0.0007499090133405482,0.00011537876345676292,0.0008898085395271833
700,0.00045253306847933513,0.008619749911759792,1.6465104810384024e-05,0.00020303533054641867,6.713561234586035e-05,0.0014459629944892202,9.318466367134169e-06,0.004711583017691797,0.00037350959208177885,3.068792848238764e-05,0.000717071542134583,0.0001281867900658053,0.0013205333794562165
800,0.0005605999869426144,0.008196713483613232,1.620322304895222e-05,0.00019495300880689433,7.422870261054138e-05,0.0014755127653428444,1.0714004058447427e-05,0.005157738111796168,0.0003902511832212491,3.395938864837452e-05,0.000682988499746655,0.00013849136024474834,0.0016691438849138365
900,0.0005788092788366528,0.007942163043505176,1.602092859808178e-05,0.00019021885615258107,7.974520000272307e-05,0.0019877881921604897,1.2277243102850138e-05,0.005362330886767076,0.0004189024494006482,3.5712084121813925e-05,0.0006625192362869377,0.0001502198585777566,0.0019427864999243824
1000,0.0004233805164895653,0.007663216396441633,1.5801045227654257e-05,0.00018291420095651917,8.447722604429088e-05,0.0025401879183686977,1.3369032929326695e-05,0.005746474763693997,0.0005504060746441498,3.815317428949184e-05,0.0006395109108703221,0.0001561904075279299,0.0027070812783176568
1100,0.0005055262533844081,0.0074041784308371324,1.5710115794546454e-05,0.00017860203378153387,8.932679874386488e-05,0.0031360623476124404,1.4265299095325851e-05,0.005984708008689941,0.0007089620109567686,3.998018455635764e-05,0.000630767495429994,0.0001667104157076735,0.003174901257083385
1200,0.0006204371386260625,0.0071741121226478605,1.5838856789845634e-05,0.0001733777045022626,9.187318622420048e-05,0.0033388559151276407,1.5417780593714844e-05,0.006160670878377738,0.0007901301040031164,4.0675959134551424e-05,0.0006120548632071494,0.00017059568533457054,0.003431563985103433
