miliseconds,Fe3__enos,Fe3__Arg,Fe2,Fe2__Arg,Fe3__NO,NO,Fe2__NO,Fe3__NOHA,NOHA,Fe2__NOHA,Fe3__O2__Arg,Fe3__O2__NOHA,Citrulline
0,0.014994509612911983,5.59620779963349e-05,-8.059222963623205e-08,8.399111369371032e-07,1.2530553798859227e-06,0.00017848533713526844,2.8767244559606027e-07,2.2588902644879883e-06,2.7973939714287302e-05,3.124117326183717e-07,-5.339181087694623e-06,2.2107981705026412e-06,-0.00018258871632714156
100,0.005072478878592551,0.008614169424453857,3.725692616182711e-05,0.00019196334929375653,2.2822732424669403e-06,0.00032758982602154455,-4.037865999566739e-09,0.0004237923021676641,7.400640063251468e-05,1.2176046398447555e-06,0.0006324895062412616,8.199773402259489e-06,0.0002423033464891392
200,0.0018180288861730399,0.010802499401552115,2.4216435036597363e-05,0.00024313008569456203,1.2334347219407188e-05,0.0003330599084117745,4.787277767248524e-07,0.0013140745836315055,-6.0309497441181435e-05,7.053370492318611e-06,0.0008430513608065434,2.7756026292439597e-05,0.00038992944296178847
300,0.0006982215044791492,0.010900368617470402,1.942295083699198e-05,0.00024682696636609604,2.6082777773902664e-05,0.0004774169266819372,1.6267341091831042e-06,0.0022112591507908643,0.00012424732966063933,1.2532335025451244e-05,0.0008658310516871347,5.2046894638409845e-05,0.00014951478620586122
400,0.0003736051588151654,0.010252837212552346,1.7500726869386822e-05,0.0002378646943495466,3.824636602015099e-05,-5.517157908202486e-05,3.188557882973608e-06,0.0029629700889923526,9.985931146322787e-05,1.8444589185668717e-05,0.0008364486825292135,7.852089948643152e-05,0.0006972812542065765
500,0.00032905879967320793,0.009711671643675597,1.6922375676803612e-05,0.00022672764090092781,5.1095252239389895e-05,0.0003873906266134705,5.240850339101537e-06,0.0037462685828097394,0.00022716557710150513,2.348833892898927e-05,0.0007875257027948085,9.834601021571809e-05,0.0004270144272116906
600,0.00044110508997463713,0.009146484435245131,1.6659934793086665e-05,0.00021488664540109876,5.905603534179566e-05,0.0009520026256486508,7.018085561979274e-06,0.004334423755390194,0.000293250590154768,2.7947174667325473e-05,0.0007472439516626955,0.00011693590735769009,0.0006073984547768638
700,0.0003615897918212922,0.00864882164286642,1.6120370024892344e-05,0.00020258729632442732,6.832769702096555e-05,0.0010975085199949792,9.158096963623912e-06,0.0046691759136267335,0.0003740227352399268,3.142358367230903e-05,0.0007172370404196105,0.0001314789484697736,0.0015203779179812768
800,0.0004715016559283563,0.008209738131503396,1.6125601074745135e-05,0.00019581786292797182,7.563961685475252e-05,0.0019484449009370163,1.0936936702170302e-05,0.005095577454366881,0.0003597729870923955,3.376303046239579e-05,0.0006908459782306939,0.0001430533723870715,0.0016507118266423583
900,0.0005277259327796578,0.007918776653011808,1.594450344968665e-05,0.00018767903669835906,7.93585622739058e-05,0.0017170227128497902,1.209948964333523e-05,0.005363404529926169,0.00040414008484871024,3.587460757158764e-05,0.0006594126872234307,0.00015032255190431724,0.0017914742072892063
1000,0.0006064443398532092,0.007682679553504116,1.5915036729966636e-05,0.0001829294089301379,8.395588932481577e-05,0.0024647676705149228,1.3109203596587446e-05,0.00575144143611206,0.0006114705399376527,3.7454438784136206e-05,0.0006371658599329476,0.00015985370587809353,0.002867544838897755
