milliseconds,Fe3__enos,Fe3__Arg,Fe2,Fe2__Arg,Fe3__NO,NO,Fe2__NO,Fe3__NOHA,NOHA,Fe2__NOHA,Fe3__O2__Arg,Fe3__O2__NOHA,Citrulline
0,0.014961100703093354,5.041917853474339e-05,8.653657172540556e-08,5.11335254419554e-07,1.3100012213242255e-07,0.00029995093845682625,1.651010610399214e-07,3.156072202553057e-05,-3.6649914544696274e-05,-1.8984190205300632e-07,2.549234184661777e-06,2.4274989206404225e-06,8.634350719033027e-05
100,0.005016491923408212,0.008651160056506985,3.720339395355161e-05,0.0001930000633247435,2.4335458709164806e-06,0.0001360198433872036,-2.1694697409256959e-07,0.0003539146488714084,8.650881603683048e-05,1.895576780311722e-06,0.0006408070608498702,4.541412214860211e-06,0.0002338015683152636
200,0.0018450358508835718,0.010723777848724591,2.399667310151588e-05,0.00024009710937211956,1.1315154456629001e-05,-1.6766660025751178e-05,2.7225597577181636e-07,0.001288805710868638,4.211521450820502e-05,7.478575507145865e-06,0.0008373102687609452,2.4995041295303115e-05,0.0001880341219074557
300,0.0007874298640846654,0.01080516901601658,1.9256709314149175e-05,0.0002456014482934744,2.512657795903005e-05,-0.00015605800027981007,1.884161075350179e-06,0.002135758573096446,6.533139988987965e-05,1.3374523309853048e-05,0.000864375973443685,5.1722698254281994e-05,0.00010635299998906401
400,0.0004006851506623728,0.010337452409325964,1.7794429084310827e-05,0.0002371122891146824,3.834476964780534e-05,0.000509387593664557,3.238192102519174e-06,0.0030539538895231377,3.125311491236314e-05,1.846383847941084e-05,0.0008395155804654076,7.643282504222096e-05,0.0004286092290818799
500,0.00030586106516451196,0.009660901776557694,1.6978159705679676e-05,0.00022611216223149123,5.059967265226457e-05,0.0003803941284853263,5.46468558437193e-06,0.003692545744808735,0.0002016102812163478,2.417679069798809e-05,0.0007987420197673209,9.962121531130577e-05,0.0009451891568517433
600,0.0003700237687557672,0.00917559487777468,1.6555297070228033e-05,0.0002153587203689188,6.10213898645116e-05,0.0005301349090068684,7.464307163544649e-06,0.004228233773108294,0.000170773266991794,2.8136075350693492e-05,0.0007527139778329181,0.00011650848088801267,0.001162970367081711
700,0.00035818607473197064,0.008638892353243504,1.637300416512391e-05,0.00020574455247198293,6.684397343719485e-05,0.001055437069134662,9.245415980746338e-06,0.0046811479703344535,0.00032665324069276345,3.141363021832825e-05,0.0007164072987510127,0.00012947694831587483,0.0010165757393412866
800,0.0005550770892606723,0.00821651288771614,1.5911249288899237e-05,0.00019658355765694537,7.482173431085138e-05,0.001965908812214182,1.0870941169410408e-05,0.0051192565310716346,0.0004127308119001928,3.426568788955201e-05,0.0006896840991781638,0.000140208833404953,0.001934703847513994
900,0.0004134370344917428,0.007990757836765776,1.606462802570724e-05,0.00018870907599632963,7.865397941415672e-05,0.001973622384149223,1.2248318943731731e-05,0.005361163860565752,0.00044991038918664025,3.5683379837775596e-05,0.0006597494139730019,0.0001495825908568094,0.0024934746470316963
1000,0.0005563789091400863,0.007658872568001587,1.5875137816358826e-05,0.00018230439879484954,8.374006904541311e-05,0.0023227497274090434,1.3021379622519097e-05,0.0057690527658298876,0.0005021589133208419,3.788238568042634e-05,0.0006434084217175548,0.00016078137844867946,0.0028264265741206568
1100,0.0004958082160932362,0.007474846784161479,1.5710263969371406e-05,0.00017749858336462264,8.928719525875489e-05,0.0027527527556299404,1.416332318282182e-05,0.005918780236482006,0.0006507454030984103,3.9410170248979835e-05,0.0006262031170344696,0.00016636867758228725,0.0031868517614444874
1200,0.0006643398351961504,0.007154513180250279,1.5786999390215218e-05,0.00017409487776760788,9.05001329919101e-05,0.0035250796200009572,1.517820311930393e-05,0.006133548938323804,0.000708805345740675,4.116554836772236e-05,0.0006163585273194876,0.00017222900020397798,0.0035536492134929593
1300,0.000498378312954782,0.0071390630017064876,1.578794446006402e-05,0.00017001338877686346,9.457110514861756e-05,0.003619236396031793,1.5664839052368303e-05,0.006231921219070155,0.0008830771685074052,4.179489940702518e-05,0.0005989102870133362,0.00017437042905474703,0.003853089785638473
1400,0.0005459333638516103,0.0069719848131613695,1.5495623454196767e-05,0.00017022523357373281,9.558787605673783e-05,0.0045786170726684425,1.6517580356064646e-05,0.0062613021003124,0.0010400888878584924,4.2202435792341924e-05,0.0005926930098541907,0.00017636268059586152,0.004251984991179136
1500,0.000691953872770856,0.006785578327732903,1.569792101951685e-05,0.00016741262496071878,9.754326178592158e-05,0.004921964898273915,1.717919553238338e-05,0.006448666576422842,0.001088016769073733,4.369100873594474e-05,0.0005816281225399308,0.00018386422208279367,0.004811584362163232
1600,0.0007133787181192457,0.006833788481978254,1.5578706493319127e-05,0.00016376323054924477,9.850700466971824e-05,0.005772284385661531,1.7306441663819866e-05,0.006509997654134292,0.0012202453525868126,4.424735254878422e-05,0.0005766776880875932,0.00018418220016734694,0.005668240322146506
1700,0.0006665846892865761,0.006637328360019416,1.5367015704444198e-05,0.00016330468500524927,9.82654516868119e-05,0.0059200409622617725,1.7621145322875e-05,0.006599305320012536,0.0012867629224252507,4.3947909716833e-05,0.000576315645457224,0.00018420360384569808,0.005834469094102728
1800,0.000557003391318324,0.006652218937383023,1.5425712677510517e-05,0.00016386296617253743,9.945453082047885e-05,0.006187462004370875,1.8147106636275098e-05,0.006700842138970259,0.0014254346665824537,4.466626106718395e-05,0.0005668941011709921,0.00018857128901660533,0.006335640823213917
1900,0.0006616343369153878,0.006661859947341294,1.5432006251231477e-05,0.000162758721498165,0.0001013220587699487,0.006950695166839767,1.808694002410193e-05,0.006757460716686158,0.0014954735053640093,4.564743283267123e-05,0.000563904219342701,0.00018688738916108907,0.00708069010356099
2000,0.0007088742054799798,0.006632716499737421,1.5554867733886092e-05,0.00015946985745729053,0.00010065023930515034,0.007427689248777357,1.8108803377104293e-05,0.00676241876297245,0.001677923794445026,4.522463353110949e-05,0.0005685108694068599,0.00019010327793204658,0.007769670055703197
2100,0.0005548433424719381,0.006502603784981608,1.543260720674359e-05,0.00015904468034605497,0.00010141533324974872,0.008439500449739954,1.8441865498966057e-05,0.006718713156069878,0.0017354577455182566,4.5504843217078074e-05,0.0005586195774831703,0.00018820165567025318,0.008134687535648341
2200,0.0005970927682511437,0.006432786070379931,1.5421568919001817e-05,0.00015854354469200336,0.00010297253899782949,0.008533201358237678,1.8789773865458984e-05,0.006831398870159718,0.0019417170002392504,4.5366992233823356e-05,0.0005570573752646403,0.00019222531284961007,0.009288221742997432
2300,0.0005983029807973298,0.006559111355929007,1.5251051649427855e-05,0.00016069455992556418,0.0001034268972443902,0.009407569355146486,1.8904274361525958e-05,0.006718321294466726,0.0020539164952535767,4.5999013630861635e-05,0.0005569998448135764,0.0001897053316719153,0.009210744473028757
2400,0.0006946274140086953,0.006462078342520045,1.5280245895614217e-05,0.00016017022243260674,0.00010321554548087566,0.009675544785201592,1.8862260924933427e-05,0.006883911289998152,0.0021780691633139283,4.6466213513333626e-05,0.000552792743822766,0.00019175264969293736,0.00995561262003295
2500,0.0006658242191084443,0.006412577571976793,1.5309209842530283e-05,0.00015990065107842033,0.00010242610777806237,0.01033379399358062,1.8625852079302483e-05,0.006850849444856427,0.002376721184415914,4.630969480456513e-05,0.0005538048320985248,0.00019505275341813864,0.01040454815910818
2600,0.0006057354691096538,0.006506581369220832,1.5380645475100027e-05,0.00015741617866271525,0.00010299259328320469,0.010952370099371235,1.8822741794596516e-05,0.006813782719277861,0.002342268908790661,4.596074063727695e-05,0.0005539040133897928,0.00019260453680633883,0.011053669641238868
2700,0.0006584857617196744,0.006476336967942601,1.5290442133963055e-05,0.00015871142767165237,0.00010241739473552914,0.011175936830539149,1.9118287308972897e-05,0.0067779488898435615,0.002477256050911602,4.6381808174072175e-05,0.0005591628684084974,0.0001925827182853989,0.012169160392391574
2800,0.0006194383282417849,0.006377222376275606,1.5419094940701987e-05,0.0001571915756489189,0.00010472916474265382,0.012106797769571001,1.9184916377190934e-05,0.006818184481303892,0.0026755201658245366,4.673228789501988e-05,0.0005547844327587085,0.0001957021928047987,0.012719349672958718
2900,0.0007042352489313313,0.006423203938364664,1.52383894000376e-05,0.00015636778742208354,0.00010308319616043874,0.012373237228810285,1.9280523944105683e-05,0.006860812410101096,0.0027759800688652624,4.6773936214068083e-05,0.000551205507967913,0.00019506899998436144,0.01328999018467311
3000,0.0005484624934935623,0.0064275269293629905,1.559944095015882e-05,0.00015763153930677527,0.00010514511352688388,0.012834164715190869,1.9133468952948195e-05,0.00693419713594889,0.0029185519505611174,4.6543624157022485e-05,0.0005532542112713041,0.00019588200849197045,0.01362261641149759
3100,0.000594373451232234,0.006444625115601955,1.540825210469431e-05,0.00015774811869753762,0.00010321203311930377,0.013537629651825813,1.887538576038997e-05,0.006856590458143675,0.0031047000214172076,4.637575008791362e-05,0.0005498598921237078,0.0001933693807797872,0.01416480988918104
3200,0.000595783667961693,0.006346144974899289,1.539888369657244e-05,0.00015725613312151643,0.00010477161656360931,0.0140524468940552,1.9088518147158013e-05,0.006864837870747669,0.0030978954926112454,4.6247231268789255e-05,0.0005468548688509337,0.00019570704358659024,0.014752443498647043
3300,0.0007140503361216634,0.006434150358197632,1.5317842360350112e-05,0.0001563432827995949,0.00010291943606712973,0.014847652869791473,1.9309646257194827e-05,0.006869071798590188,0.003264231079658569,4.670555649618717e-05,0.0005459263524008928,0.00019627337514190705,0.015489800683713487
3400,0.0005828489881887743,0.0063964231194200164,1.5372890114757585e-05,0.000156302242445326,0.00010332863829864214,0.015556612678288907,1.9194828554796326e-05,0.006939334298653447,0.0033075886773812077,4.6134419799458944e-05,0.0005572250975104063,0.00019465988778500216,0.01605610085149252
3500,0.0006971655661128321,0.006410321237922453,1.5234442168444368e-05,0.00015684985640455678,0.00010445641367714391,0.015973005930894683,1.9386635305649397e-05,0.006856202441869596,0.0035417532823797684,4.701872677051012e-05,0.0005570238092742038,0.00019518749939828462,0.01669331028484013
3600,0.0006131035178875184,0.006326161801001309,1.5592927485519382e-05,0.00015630752325905846,0.00010309745263424014,0.016672727139211068,1.9303805788536032e-05,0.006941407675092232,0.0035718891232727015,4.6367623008595266e-05,0.0005503948671862514,0.00019693020786388564,0.017175902096604353
3700,0.0005866400174470689,0.00645266760776314,1.547824090595598e-05,0.00015670091917941708,0.00010309200202179557,0.01696807745314401,1.930352366001102e-05,0.0067898204665402554,0.0037161412134159065,4.636300242810949e-05,0.0005461579884875288,0.00019449025972903647,0.01736042297930448
3800,0.0005588665499340457,0.006445779749057194,1.5500093697285933e-05,0.00015899905418591023,0.00010437394715657435,0.017548327548598985,1.9295787797625614e-05,0.006808193040548036,0.0038538579009272443,4.685382781460935e-05,0.0005465842132197035,0.00019202540763350076,0.01842243365706588
3900,0.0006808677255932413,0.006343232764538943,1.5302523521612983e-05,0.0001578012648778327,0.00010498796861804445,0.018341865141761178,1.9025475518417358e-05,0.006841562811035219,0.003970185404920233,4.6420501067643404e-05,0.0005513007642735988,0.00019431871531934682,0.01875664789810827
4000,0.0005660551339660907,0.006377108139356809,1.530733018291829e-05,0.00015808363534956018,0.00010550231547625343,0.018953733067987293,1.896933136149172e-05,0.006816284900363566,0.0041100197866969805,4.687227154343917e-05,0.0005490609296640348,0.00019439675574562564,0.01927927483225074
4100,0.0006524560922187837,0.00633162950173611,1.529764310267662e-05,0.00015644257556845863,0.00010312346220051409,0.019356939192725953,1.942573587307154e-05,0.006783525896190309,0.004279956912326894,4.6419881878342735e-05,0.0005552517793307798,0.0001947862205449457,0.01952987620338347
4200,0.0006108365250523042,0.006328875474088567,1.542171930505669e-05,0.0001590930437521209,0.00010461282396046811,0.02012022206275252,1.9101034465272496e-05,0.006856623253277724,0.0043747385933149896,4.6784290951612844e-05,0.0005560687068611147,0.00019465798394360903,0.020699839519234115
