milliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.520713544404336,7.202397728341376e-07,3.7943235146920574e-08,1.1559489925352011,1.0691808140352462e-11,3.552336040781678,-1.20932608368703e-09,-3.762411466922338e-12,-6.957911240422432e-05
100,8.5206377490461,-6.631885490709478e-07,-7.935959990966998e-08,1.15594897981942,-3.889166033338191e-13,3.552336041178386,4.520415018989467e-10,-3.770078084405369e-12,-6.752628391898637e-05
200,8.520613557824152,3.8162782177273e-07,9.415821100310624e-08,1.155948986824569,2.9062294791741998e-11,3.5523360399630692,-3.1393877745270976e-10,7.965895330949253e-12,8.299718306136002e-07
300,8.520660667095568,2.0840081411152065e-08,-9.381003731410285e-08,1.1559490393071956,-1.8668021914909537e-11,3.552336040929931,4.382712113400048e-10,7.108814200136091e-12,-6.116167282117454e-05
400,8.520676334335942,1.6645508872794794e-07,2.1940758984734594e-08,1.1559489794180957,-3.773696251914567e-11,3.5523360391802083,9.581626166329053e-10,4.97229995991584e-12,1.0826280881438962e-05
500,8.520580254610762,1.3164412665274401e-08,-3.861205012901261e-08,1.1559489516997892,5.589385228513042e-12,3.5523360392190284,-1.4207620101267985e-09,4.951914512960724e-12,-1.816453458634191e-05
600,8.520683463665366,1.629407951730186e-07,-2.624756994421584e-09,1.1559489244217631,-2.994717867529681e-11,3.5523360395662205,-1.4956562584321239e-09,1.3212930789836787e-12,-1.62553556256684e-05
700,8.520537918916004,3.06707994883865e-07,7.183567228399825e-08,1.1559489049870317,-2.3212021033055556e-11,3.5523360380677933,-8.996756909901772e-10,4.821881275695454e-12,1.827403365880013e-05
800,8.5205356343007,-5.895615740795972e-07,8.771414949846774e-08,1.1559489380192691,4.569869462968139e-12,3.5523360409744917,-1.7311176845868367e-10,-6.633530040111602e-12,-3.178137193440611e-06
900,8.520525597911433,-5.844395660624039e-07,1.4157869074938743e-08,1.1559490484953248,-3.856478941073626e-11,3.5523360410514573,-1.4645265942268801e-09,7.786006935792524e-12,0.00010840426457973506
1000,8.520560146242138,1.80354016442352e-07,-7.81639431267587e-08,1.1559489475062001,-2.630900774584942e-11,3.552336039052308,1.863693490355076e-09,-4.077784583771768e-12,0.00016051746246481416
1100,8.520497566603348,7.259939895009842e-08,-7.5443836698346e-08,1.155949033134959,-2.755624340119431e-11,3.552336038069191,-9.850091813100944e-10,2.316203430284642e-13,0.0001547747729369907
1200,8.520541197812888,-2.7035514409653376e-07,5.151048297397021e-09,1.1559489235120284,1.3608541308071703e-11,3.552336037783898,1.9292046916011505e-10,-2.5948924011202314e-12,0.00019371490475008745
1300,8.520428111700364,9.713194913012392e-07,1.1131619140269584e-07,1.1559489063989228,2.928100841653774e-11,3.5523360396754837,-9.76249135241273e-10,2.13714860664709e-12,0.0001138242796074048
1400,8.520486462286765,8.779607319886789e-07,-4.195550107479659e-08,1.1559488960371722,-2.0861642409451968e-11,3.552336038891452,1.1631234057217436e-09,3.264017199547247e-12,0.00025639942032426886
1500,8.520474929882145,1.2064343854187588e-06,-4.434471770012024e-08,1.1559489121693491,3.480711395873348e-11,3.5523360387773244,1.3487034653042173e-09,6.359823300654296e-12,0.0002411451799453155
1600,8.520426292406448,1.4959694780422146e-06,-4.882068496663637e-09,1.1559490025933632,-2.2107989962477512e-11,3.552336040230566,6.254128178196079e-10,5.203581231963435e-12,0.00018556040507413242
1700,8.5203896901485,1.802677124425303e-06,7.342551362296884e-08,1.1559489712456192,3.950934958459867e-12,3.5523360378826085,-1.3479690527271638e-09,4.294458339063895e-12,0.00030622996252946296
1800,8.520323578912489,1.074884037346103e-06,6.087541355710345e-09,1.15594886881857,3.784650006664992e-11,3.5523360377808597,6.00609477255896e-10,-5.145386436305105e-12,0.00034317246187524594
1900,8.520366855423115,2.1230440071674253e-06,2.997718387687693e-08,1.155948928623755,-5.484103931719026e-13,3.5523360401565283,2.2921137403110844e-09,9.236271133152935e-12,0.0003419764094608182
2000,8.520250535050158,2.4461359746028075e-06,1.5573806572655375e-07,1.1559488042742667,7.066555131509022e-12,3.5523360403735915,1.3011888375222793e-09,1.491343489344711e-13,0.000436257029387834
2100,8.520192673594705,2.4588979233528642e-06,1.4055568986725773e-07,1.1559489447876754,6.908664685739558e-11,3.552336040085855,3.8041436726646665e-10,4.404950419333541e-12,0.0004421718726371132
2200,8.52019660328686,1.8112463364717017e-06,9.857908123328622e-08,1.1559487411264882,1.5480495532875485e-11,3.5523360388885914,2.9875925285499155e-09,1.12091413455348e-12,0.00042938111424676315
2300,8.520140240794289,3.232774015047207e-06,1.5405234045325868e-07,1.1559487405321494,7.844241375348093e-11,3.5523360389164975,5.589103205890811e-10,-1.8620743623664177e-12,0.0004302579822343929
2400,8.520088729413807,3.4784695313280325e-06,2.807593798195995e-07,1.1559487935800368,4.367198015284986e-11,3.552336039207001,1.8470918174346024e-09,1.6063868157275377e-12,0.0004704468319069413
2500,8.520051387877453,3.2692835953411214e-06,1.613965538271318e-07,1.15594879407458,4.637267656784201e-11,3.552336036285552,2.3028359764401755e-09,8.788101194774069e-12,0.0006326039454332078
2600,8.520050237394955,3.77876957727902e-06,2.497114379356787e-07,1.1559487587717483,8.944499159745579e-11,3.5523360362705727,2.3788513561422358e-09,1.1706670600041375e-11,0.0006616978384197803
2700,8.519949004947138,5.012788637955467e-06,2.841182145692262e-07,1.1559487448959034,1.0903845362848178e-10,3.552336035109278,3.734848564104943e-09,5.782823741562976e-13,0.0006489986804354236
2800,8.519947569331045,5.56995220426446e-06,4.2376277484665356e-07,1.1559485990973244,9.217920596791959e-11,3.5523360356905593,3.968661644928896e-09,1.0222632972389457e-11,0.0007653381922278418
2900,8.519795697425101,5.399526336507662e-06,5.013645526033309e-07,1.155948585778511,1.5759601213312505e-10,3.5523360363980663,3.616386770657058e-09,1.3066931233084634e-11,0.0008252006131252884
3000,8.519755039568361,5.727397060653104e-06,5.3218966197442e-07,1.1559484990599258,1.366875441806763e-10,3.5523360329332614,6.232935501140546e-09,2.1050867762696007e-11,0.0008104831871152201
3100,8.519677271801864,6.669479785774226e-06,4.5857539567957416e-07,1.1559485159505147,1.593687654867219e-10,3.5523360312959227,7.677575284559998e-09,2.2351846997788137e-11,0.0009605053012731172
3200,8.519623037405275,7.5313163541441235e-06,6.309404654605651e-07,1.1559484346038924,2.166695801212204e-10,3.552336029903473,6.358218413032077e-09,2.967163920286533e-11,0.0009820193131856924
3300,8.519693144365705,7.819544141957e-06,7.460762826032372e-07,1.1559481956683644,2.3987837765573625e-10,3.5523360320875335,8.471320740720227e-09,2.8737238884769603e-11,0.0010664071539240034
3400,8.519569220355283,8.532932873801633e-06,8.067157427543785e-07,1.1559480875900405,2.649952371158879e-10,3.552336029084103,1.210506017964431e-08,3.138650154643274e-11,0.0011093610961933524
3500,8.519498729607081,9.284815421751474e-06,8.951177353939022e-07,1.155948023912879,3.1482421704036776e-10,3.5523360277312657,1.0348165553940508e-08,3.283535248250093e-11,0.0012026782417078193
3600,8.519382806303877,1.1152834253137386e-05,1.0793591265018011e-06,1.1559479713352483,3.706215298335951e-10,3.5523360265047574,1.2567962176018988e-08,4.1693123631045394e-11,0.0012201123859455199
3700,8.519395628172898,1.1623281909775311e-05,1.1881225812729847e-06,1.1559478693046985,4.021367280983763e-10,3.5523360221916067,1.7808260391436676e-08,5.545994031987149e-11,0.0012577646687174748
3800,8.519246634526635,1.175925277154283e-05,1.2135064062407594e-06,1.15594784281409,5.10623954621529e-10,3.552336019732809,1.777638487231456e-08,5.992591068484192e-11,0.0013313861387340394
3900,8.519221617658118,1.2653792576542753e-05,1.263877580211649e-06,1.1559476313731456,5.738246750343517e-10,3.552336019975668,2.1502276638288597e-08,7.284504071773795e-11,0.0014040187111592853
4000,8.51917087138399,1.4537823233030515e-05,1.5229497400866371e-06,1.1559474993697134,6.334821481681096e-10,3.5523360144483878,2.440633168165454e-08,9.270622818888112e-11,0.0014434887664798066
4100,8.519034135455279,1.567698789871287e-05,1.5912364798695358e-06,1.1559473436630987,7.274899661408542e-10,3.5523360147373264,2.6940414569739055e-08,1.0639853037647953e-10,0.0015628524218196276
4200,8.518950843127254,1.569417634716581e-05,1.8108303038456428e-06,1.155947171515068,7.728340214925286e-10,3.5523360097263814,2.8830643150921453e-08,1.216864489045592e-10,0.0016407638977956511
4300,8.518922459110527,1.6802399272749506e-05,1.849222218473529e-06,1.1559470208485476,9.103840286240175e-10,3.5523360049145785,3.4043575719270644e-08,1.4536937175529633e-10,0.0017385782991603653
4400,8.51889335703239,1.910744105474527e-05,2.1451703437369597e-06,1.1559468612093253,9.866740934532227e-10,3.5523360009695986,3.694807863243134e-08,1.6528272391513796e-10,0.0017488970427051418
4500,8.518748068436022,1.933091891837991e-05,2.2365136201965226e-06,1.1559465628373478,1.0684074452148853e-09,3.552335997508261,4.037032611858244e-08,1.8179927339346027e-10,0.001902668629635006
4600,8.518668390221086,2.0314897581930496e-05,2.5239969415633617e-06,1.155946377481827,1.1870101931813458e-09,3.552335994329693,4.669663817714457e-08,2.1133456821373513e-10,0.0019350486594152919
4700,8.518583715586258,2.2567589960568183e-05,2.725057435241396e-06,1.155946197536774,1.3110206125989822e-09,3.5523359871600526,4.950768992222944e-08,2.229263943726025e-10,0.002102673887312648
4800,8.518533719879432,2.3595162248457186e-05,2.9378247661582765e-06,1.1559459728402097,1.49540752639738e-09,3.5523359826193937,5.6706596700437157e-08,2.5984539910643134e-10,0.002095471049675068
4900,8.518462189846334,2.4553051475615027e-05,3.134007479363083e-06,1.1559457454365367,1.5727487770481087e-09,3.5523359776113552,6.388380285442507e-08,2.9248885370157734e-10,0.0021713065582804935
5000,8.518315872553545,2.581879637880563e-05,3.4554454680696936e-06,1.1559454621397518,1.7442037924359234e-09,3.5523359712658364,6.863267133049483e-08,3.3686186094422463e-10,0.002269186132385762
