milliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.520618366706746,-6.381622667159945e-08,-7.016589596926933e-08,1.1559489919420673,-3.5066769241373627e-11,3.55233603951861,1.225118470822871e-09,4.679897653272092e-12,4.4390872080023606e-05
100,8.520705773745332,2.7668568043805545e-07,7.799570745103028e-08,1.1559490099269274,-6.016765108156515e-12,3.552336038072624,2.0782050120956004e-10,-1.9184854157520614e-12,-5.58481149285618e-05
200,8.520716836341938,-4.215424225256407e-07,3.042478212142564e-08,1.155948883957768,-1.3031425565767702e-12,3.5523360409742377,1.2124679953695627e-09,-3.023992950860351e-13,1.80051646127981e-06
300,8.520701320235963,7.553995104969754e-08,3.701744413053881e-08,1.1559490289178775,2.8310026583990965e-12,3.552336040443043,6.05064082987351e-10,7.975903207528041e-12,-7.831020651813484e-08
400,8.520690058045524,3.036083163086065e-07,-8.574029279835927e-08,1.1559489111930048,3.431579741817228e-11,3.5523360402650233,3.1888892510934174e-10,6.882083532155515e-12,-3.5654880920569117e-06
500,8.520594179499527,-7.00964414356171e-07,-4.5572238200837814e-08,1.1559489887674552,4.709040971779463e-11,3.5523360398669763,-9.591610929321331e-11,7.323736074366234e-12,6.2726358323072394e-06
600,8.520640122162346,5.487873370918187e-07,3.697579997665288e-08,1.1559489485121717,-2.7506971820583996e-11,3.5523360405744686,1.5368006050635107e-09,1.3475634526228669e-12,-1.3645561074571341e-05
700,8.52058616867552,4.3243561815297056e-07,9.513728866763538e-08,1.1559489582292028,-3.3521745387832423e-12,3.5523360406796023,1.252974142347958e-09,5.791286558016759e-12,7.178387940149993e-05
800,8.52058979009712,3.17431510045655e-07,-9.633151474947465e-09,1.1559490431929993,-3.778244199128615e-12,3.5523360380070907,5.566032110892158e-10,-4.32448953127587e-12,6.897441405804112e-06
900,8.520542912798748,8.060560653470441e-07,9.817121015163929e-08,1.155948903984229,1.751359005080938e-11,3.552336038335433,1.4767900842784149e-09,1.6234189906376637e-12,0.00012208399646972706
1000,8.520570900711043,-2.6981440424343154e-07,-1.8161104907689886e-09,1.1559489267077492,3.6873495553821776e-11,3.552336041141776,-6.661040295732798e-10,3.5431836710749512e-12,7.95291955989097e-05
1100,8.520464306399289,2.0769136565908976e-07,6.329222866191935e-08,1.155948975513694,2.7124894842826288e-11,3.5523360404125146,-1.320643428992065e-09,-4.3276021115704687e-13,7.113334260217894e-05
1200,8.520580572425573,9.294764223249828e-07,5.710964687435212e-08,1.1559489919004613,3.032870833960464e-11,3.552336038401392,-9.943096404204018e-10,-7.864841526367597e-13,0.00016290170170810855
1300,8.520468713684858,1.1014577107968465e-06,4.503235967202891e-08,1.155949054323265,-2.2066495558252626e-12,3.5523360402334347,1.8232875996201244e-09,2.7508510694768718e-12,0.00013588768993468242
1400,8.520479358677841,4.5007849011938653e-07,5.40088289012035e-08,1.1559489516346564,3.375136104647012e-11,3.552336040605242,1.3923129280882538e-09,-4.659959624934935e-12,0.00021832979802927985
1500,8.520413075606601,1.4777619927119986e-06,-5.293490623858396e-08,1.1559489251106578,4.4840543272921775e-11,3.5523360394713004,1.8440292494146773e-09,2.5426794633834397e-14,0.00026296896375446147
1600,8.520393599801372,8.40942266192327e-07,1.080239215404588e-07,1.1559488662290256,-9.987393033986751e-12,3.5523360410793186,5.602388980608392e-10,-2.4636875984564166e-12,0.0002083533395096267
1700,8.520380213444312,1.8815655130365436e-06,5.4226167052315636e-08,1.1559489321447758,-3.550732959718733e-11,3.5523360396887664,2.039540375231777e-09,-5.7475065909221085e-12,0.00020306411006308251
1800,8.520332800777423,2.1753299172726956e-06,3.225645242575779e-08,1.1559489257050695,5.530658461261656e-11,3.5523360382885754,-8.662854303892089e-10,2.5433415259533047e-12,0.00027861913626850724
1900,8.520302546240067,1.6178632311807167e-06,5.087472422046752e-08,1.1559488941436877,2.7425175039141956e-11,3.552336040585236,1.884382216400907e-09,-2.718391972422597e-12,0.0002792215504563741
2000,8.520213235930425,2.1574067473486166e-06,1.4599336712201624e-07,1.1559488453959506,2.3400861338472947e-11,3.552336039580122,1.8733437481320546e-09,9.31681165542874e-12,0.0004475861858545764
2100,8.52016459844507,2.2219559176546075e-06,3.966994937381336e-08,1.15594891062349,5.047093808457869e-11,3.5523360372330375,1.3730976885212318e-09,-3.335171184774316e-13,0.0003573358395784805
2200,8.520179568449908,2.228680707184842e-06,9.772647185625891e-08,1.1559488061824486,2.569557762329984e-11,3.552336037075534,1.3826767242682936e-09,6.130722699070274e-12,0.0004598922679187684
2300,8.520156434146633,2.1245547145231727e-06,8.24698991771584e-08,1.1559488003117777,8.79901074343701e-12,3.552336038373302,1.5573004738869616e-09,1.085239168297612e-11,0.0005307347507926285
2400,8.520128997227843,2.8387080671686106e-06,1.9704317467383072e-07,1.155948818735811,1.873189798219499e-11,3.552336038176815,3.1087847264835703e-09,1.2452858335342027e-11,0.000553365974433904
2500,8.520096386594048,4.357648257426996e-06,2.1781351231886248e-07,1.1559488087659622,1.1254580855056743e-10,3.5523360376651083,1.0869992254309342e-09,1.1424708722772625e-12,0.0006187794502379412
2600,8.51996389664099,4.090429201504449e-06,2.3411162031088721e-07,1.1559487446521703,5.346330861193643e-11,3.552336035349195,1.8112509234920607e-09,6.408811313937799e-12,0.0005807740378002069
2700,8.51998322798226,4.001266930514042e-06,3.8409314928323726e-07,1.1559485866596604,8.34679528898906e-11,3.5523360349738953,5.2166509355988e-09,6.181394733913546e-12,0.0007025186099966052
2800,8.519875526099355,4.513628175842018e-06,3.748171163092704e-07,1.15594855369428,9.596957511252144e-11,3.552336036154389,5.443552831820711e-09,1.4299784449034045e-11,0.0007957840901639136
2900,8.519871251530839,6.269958130563911e-06,5.148882417585921e-07,1.155948621991866,1.0741905690701091e-10,3.5523360353134805,6.620175936060552e-09,1.518526154430922e-11,0.0007288001439369248
3000,8.51973884384573,5.664319922623117e-06,4.589453253751282e-07,1.1559484040926007,2.0453999528115083e-10,3.552336032474073,4.260825137288126e-09,1.4120263824375186e-11,0.0008336200367728543
3100,8.5197510915745,6.43966449224029e-06,5.797024510937886e-07,1.1559483701735411,2.2268865012949132e-10,3.5523360338149566,6.222593945173627e-09,1.385356250407816e-11,0.0008379717789085441
3200,8.519743996879694,6.758358907478966e-06,6.402247096580387e-07,1.155948272625626,1.915667989038788e-10,3.5523360307386773,7.76061276269859e-09,2.6237125316592522e-11,0.00089573410039254
3300,8.519598963314163,7.556763420291441e-06,7.633845112730255e-07,1.1559482024877972,2.355161637803219e-10,3.5523360310956944,9.200979057049562e-09,2.5963287722461157e-11,0.000970707402184691
3400,8.519522892111441,8.819908833481369e-06,8.563065667333059e-07,1.1559482217882495,3.087514637194022e-10,3.55233602764943,8.749821044937404e-09,3.776652755413426e-11,0.0010842043145760575
3500,8.519477801587293,9.910697602602995e-06,8.418991092631328e-07,1.1559481123690787,3.4275026606969e-10,3.5523360277952443,1.0798653754056273e-08,4.060502853180642e-11,0.0010886053654863817
3600,8.51950309391987,1.0411874718070948e-05,1.001614577667547e-06,1.1559479710668539,3.5395115350381916e-10,3.5523360245930706,1.3312798875475857e-08,4.5108326378293175e-11,0.0011831645996410235
3700,8.519295979336183,1.1293782153274494e-05,1.0152993036543969e-06,1.1559478150716203,4.4586747597456523e-10,3.5523360227959313,1.7391204760202745e-08,5.932504433026672e-11,0.0012779037828987334
3800,8.519285003863185,1.2358264735709392e-05,1.1893528563054709e-06,1.155947752357041,5.156917168162403e-10,3.5523360209439345,1.9121703650830923e-08,7.307875182115576e-11,0.0013978947982760225
3900,8.519215038042914,1.3765301867695216e-05,1.269941611862764e-06,1.155947542484999,5.77242462401131e-10,3.5523360199943905,2.1033863557276824e-08,7.472600233573993e-11,0.0014303254154315367
