milliseconds,S,C,V_C
0,830782903.19083,2486.7852943090825,33540768.937404178
100,828199739.8447162,22590.791565178548,32678373.898955546
200,828152803.9487721,35159.89688788427,32894505.45542859
300,826241476.5029768,44740.120942810776,32093354.67127151
400,825374407.6485311,48924.98986805454,32317800.378832527
500,822621017.8626047,73190.60968875965,32013734.16464038
600,821736491.8086139,81483.06229642617,31615201.414008923
700,820889623.6610918,78820.79411700867,31352751.012060136
800,819761953.6627992,112479.61681343502,31106632.75370916
900,818117963.3032712,118384.27638405298,30327554.50010015
1000,817384466.3978252,131973.66404473578,30438137.243550196
1100,817125941.6974707,147939.13310965363,29746861.071076673
1200,814831771.139189,162584.97430363664,29586245.28785022
1300,814141003.9147269,155890.0993510769,29556252.50150789
1400,813061253.8715321,181085.9758873015,29563073.572305154
1500,812211462.9745717,175665.39977254195,28747214.178257544
1600,812188676.6329113,185039.69627374908,28729170.303754386
1700,811663311.3130592,203479.62970275915,28220521.665619925
1800,811403318.1536266,219571.43374400775,28157136.73046804
1900,809654520.6025558,217712.67779754256,27798076.592459135
2000,809726119.9054494,242349.0219354755,27677253.726638105
2100,808778272.4591292,250638.0636059892,27651919.887419585
2200,806678250.6948831,255097.7321067426,27397398.349341914
2300,806071345.253064,257779.31429324156,27294595.982311912
2400,806400383.9429747,271546.35604479583,26725317.101589654
2500,805471959.4076306,300280.469470538,26718892.84804972
2600,805386356.3831954,313637.1719531407,25994011.9229479
2700,804274724.9980174,301115.3478035514,26054755.910750765
2800,803958614.4118139,325977.2271496091,26126290.903209735
2900,802787829.9625957,318793.04229050176,25335335.78321929
3000,801568725.7379242,345458.4764766349,25132899.2106725
3100,801783699.8277189,362155.9984691302,25447215.272491995
3200,801876266.8782797,359379.7046388589,24744651.857582908
3300,800068953.5021472,372986.00821365137,24806774.287629068
3400,800107509.8448561,386740.6496581316,24268275.528093066
3500,798740447.3842527,390645.62327474984,23995990.43252818
3600,799520713.4351575,401678.4499358846,23864738.58061245
3700,798292030.7279991,402838.04971163237,23800942.6454752
3800,797995329.5368668,411714.9992214169,23570788.28191874
3900,797346883.8402685,405103.5512663127,23156339.214541182
4000,797792431.8564287,411181.1254513353,22945250.582748678
4100,796091229.9295914,421540.9166175954,22787803.789729353
4200,796584183.802782,433451.37974557804,22876116.477325063
4300,795407262.0358726,450042.8441237306,22358498.13203576
4400,796875551.5864319,455536.76160133316,22200337.82499366
4500,796539459.4555708,475283.9950732246,21831234.481013365
4600,795409525.0981365,468388.45266070054,21791118.791661013
4700,794579173.0576193,483359.73142043105,21985020.498831857
4800,795037552.4109716,476662.2415282959,21320117.929682996
4900,793562546.3564519,484928.84513015434,21233110.41720483
5000,793693846.4326109,494058.7774813463,21392559.77793608
