milliseconds,S,C,V_C
0,830797379.2517192,-2991.6128922226803,32892678.331445534
100,827811758.0938939,23609.722424588297,32961734.364899352
200,826834337.4062979,14670.621179135025,32424244.170634326
300,826011356.3173835,50649.96539785598,32624941.637699984
400,824435633.42415,56371.81243837675,32363937.44996658
500,823114886.6342748,60163.44722276259,31554949.9786371
600,821601124.0011463,68027.26617420951,31242905.758850098
700,820475022.2988135,90853.20091418516,30870286.6297464
800,819309322.4627742,109613.90880756665,30917207.25650408
900,819003467.9930602,123051.75115734624,30525866.239993963
1000,817415737.9258863,122583.96822091348,30541790.172916915
1100,815759935.0658886,141156.2457171269,29701098.04027892
1200,814937583.6872152,137694.38752839825,30123066.561657578
1300,814715308.5220389,157363.44623235968,29505735.481053445
1400,813321230.3642735,164190.27697118928,29105837.48831263
1500,812708633.5775955,180948.69881357983,29044534.59913044
1600,811525318.0741965,187103.1654033811,28940820.748174254
1700,810315144.8091513,198890.59625281295,28281407.372057933
1800,809936139.7031095,204682.87463311493,28048934.139124632
1900,809692902.182832,237607.36632055376,28078747.324418165
2000,808850487.1267872,239483.66687419682,27575728.147519592
2100,807822047.5763482,257105.83594989008,27148886.61892571
2200,806403359.5586668,274684.18887051655,27233227.853895795
2300,806458646.2486464,285362.13973161957,27077655.010315116
2400,806619546.055324,291380.9825014254,26622791.23261316
2500,805004964.1870031,297905.28389538033,26831807.056766722
2600,803714334.7081057,294463.7324085544,26348646.755955424
2700,805021873.2867589,317253.05785012164,26211342.532825585
2800,803352518.4103826,311749.3732767777,25819284.32576091
2900,802995311.5833188,336613.33899319614,25241646.78320486
3000,802437977.5836977,338301.35386225616,25269241.631831508
3100,802064373.4547437,352155.1978576575,25071906.543202937
3200,802150522.7797407,350444.5155412161,24756926.84144649
3300,800634286.4581385,369651.2769878823,24952257.09074124
3400,801031422.62978,376305.156957457,24438985.864376664
3500,800182123.6882528,381827.26832513884,24234658.71563112
3600,799997845.56057,384959.54169786547,23699790.770746794
3700,798280216.7601082,401793.69422444847,23470161.871433977
3800,798378970.2752924,417284.79370154894,23910186.979145106
3900,797404671.0846812,401797.95490161347,23295519.427988876
4000,797635166.0236882,427421.4341804072,23183730.00481316
4100,796837528.9193027,441570.87425777235,22632682.394903447
4200,797626328.8053578,450122.3519883688,22659423.955665648
4300,796785870.0459812,457491.6839847359,22776517.42617642
4400,796672939.5969809,447304.4600736787,22679183.936445642
4500,796584209.0648642,454212.6779963875,22206427.421478674
4600,795136841.2719827,456221.48763646116,21632895.937256303
4700,794949827.8517957,465814.0798210807,21822970.881606974
4800,794734210.2129409,472404.6800487367,21262430.11333558
4900,794743637.272008,495992.65566335,21527462.26481644
5000,793520924.2636524,499867.2961116433,21419118.798265297
