milliseconds,S,C,V_C
0,830530582.420831,-8445.340065459735,32981184.38923628
100,827839839.2425267,7226.395537170384,32937319.994596664
200,827153963.6168126,32435.0077150714,32449654.307632767
300,825968645.2407682,36828.68071425498,32332963.36007208
400,825566608.5180174,53180.40493560323,32044353.7069998
500,824026786.5858852,76257.68054149563,31913116.0092824
600,821671366.6848931,75242.93569799069,31296176.07251699
700,820396096.479464,94572.3192060428,31014384.566899855
800,820549791.6175153,94743.65232841599,30746172.569537885
900,818458074.6939276,115805.91157696815,30651060.726060156
1000,816699702.2697667,131666.6037345103,30124312.311300453
1100,817627702.6824422,133067.61723824503,30337147.38516128
1200,815580936.3951966,151497.37635302258,29654324.9648404
1300,813950548.5225955,159582.0368100923,29797074.728085693
1400,814642512.4320852,178973.39423239717,29301731.15761144
1500,812571391.1418571,199407.24953454817,29308239.63380739
1600,812461607.8044341,199558.2342562582,28454965.825957563
1700,810440292.1008389,216988.39765577263,28407945.939996514
1800,810526221.4443048,229779.29275221648,28013966.81142382
1900,808561692.2063038,228449.29168159614,27694134.74086405
2000,808619828.0077866,233352.12237652348,27792939.264377985
2100,807218200.0069039,257110.75274359592,27587504.88153996
2200,807643053.0607814,270906.2942571531,27577284.072045643
2300,805745519.3128227,280746.0458731715,26731564.064876135
2400,805422460.5478746,268948.73730199394,26970652.559367977
2500,805323911.6716398,290316.7716440483,26640159.890581366
2600,805040130.1163514,309683.32041790313,26358046.374309607
2700,803326066.4159967,300397.54998312506,26024701.689985562
2800,803841176.869927,317413.4407083772,25741744.1924825
2900,803640154.8230133,315182.4906847775,25852831.240112346
3000,802250865.5882564,339887.03462294635,25185134.919793136
3100,801246131.2785351,360496.3886420786,25226435.898521386
3200,800590601.9793494,346132.0940463244,24787256.0946536
3300,800201302.9330199,356578.58375456574,24784730.72219846
3400,799337354.4236504,371113.00486364507,24585475.318234697
3500,799604319.6219336,376655.90089720767,24063115.554029975
3600,799923064.1455604,391575.20808937406,23719673.17729869
3700,798397879.6307557,386033.2745720539,23701842.981347688
3800,798852270.9028362,396134.7661113782,23348833.105098937
3900,797086026.6076885,418245.5872530681,23204874.31226673
4000,797980747.9404073,414279.55909922125,23367410.368875373
4100,798031631.8441837,425327.5985299176,22847432.69228728
4200,796140885.2155315,429267.0512538272,23000835.706843358
4300,796983166.6646359,456150.3938625284,22600338.50986931
4400,795090022.8280458,448479.9348469093,22081132.909047656
4500,795013610.7496421,451340.6492149456,22090322.348684072
4600,795551318.1820494,457935.8839777613,21910918.52242294
4700,794408703.9576409,478938.48407787463,21635732.85364544
4800,794654049.4913243,473123.31689513713,21764117.640908655
4900,795231474.4455338,502722.55031564186,21620526.54800284
5000,793379217.0770243,506913.73845485225,21077662.716367755
