milliseconds,S,C,V_C
0,830710632.6973007,-1439.3129861628247,33507634.98725349
100,829619232.35616,6483.016293370083,32792305.663504373
200,827586605.439485,38299.34440972933,32574625.579993337
300,826500320.8655608,32241.92234138462,32328101.77878861
400,825591841.2901126,43007.82379965792,31812378.928540412
500,823935201.331028,70155.677808608,31810288.283388976
600,821381525.0136528,82538.35345154049,31377631.270165365
700,820596540.993152,97290.76769073485,31489179.158423763
800,820885260.2450901,115150.77542742732,30650272.706054196
900,817849663.5019058,103130.89512545872,30545871.819293812
1000,818591958.8730373,124565.76596739123,30336270.592221297
1100,817384980.4626462,131329.68512559606,29985462.095130485
1200,814951948.1745111,164214.93123420098,29783885.17624402
1300,813889223.9523222,151580.6629857286,29420431.229083594
1400,814807626.4116393,182518.04790891727,29530947.552980773
1500,813426606.4579676,196877.91722051604,29188529.590301447
1600,811978382.3007717,188627.54868154117,28612210.971137885
1700,812041128.0008836,204144.0792472849,28612029.9484773
1800,810934433.2658957,221210.092860932,28311014.82791073
1900,809151742.7424432,238437.144636466,27730355.850027706
2000,809852348.1703899,228695.42669793795,27922795.362830948
2100,808595393.8016183,252750.29146465694,27452776.927011903
2200,807068379.35548,248068.20521375313,27480723.284279473
2300,807191758.6498214,283805.6939658015,26864873.189930018
2400,806985687.0391556,295029.74591550435,26401955.385859367
2500,804571400.9185585,287467.3102834783,26463127.78214466
2600,804245734.8576281,290545.75132583396,26121430.176804934
2700,803591397.1753452,309501.2478834502,26331248.009625793
2800,803859589.5610528,322135.94469662505,25683425.44008257
2900,803646839.4067804,323116.2460422584,25240956.58624495
3000,802791097.6549081,341018.4860269101,25694781.164358266
3100,802023726.9823996,356485.61183387786,25235662.64059866
3200,800376943.8021396,342952.14578464587,24911343.81128959
3300,800071068.7967302,367683.85379716917,25025831.964977738
3400,800054952.1584325,372913.43533145235,24114095.497099854
3500,799748340.861624,393824.3761276633,24206871.733102057
3600,799579271.4273252,381233.9131261918,24377946.8150332
3700,798607159.7997398,399358.1821157312,23483538.284879155
3800,798595247.8331121,397191.0010917934,23294229.25560755
3900,798905657.9333658,402870.70796183153,23039801.420110498
4000,797203601.0651207,418449.33741918544,22909901.610039093
4100,797347320.1296171,426480.78138472507,22931955.651154425
4200,795763482.2738143,454070.6300837565,22888763.391522687
4300,796238538.6311194,456351.628365806,22235895.048060156
4400,795161410.0600821,469649.5570980953,22673985.81928406
4500,796070856.7757196,453326.67524656723,21965845.666076224
4600,795899121.2550979,457582.24456464034,22058859.83817105
4700,794492661.098376,487428.05004444544,21791091.653821196
4800,795454560.7583964,487697.681159403,21369832.066052884
4900,793944358.1865617,494028.19925594,21505745.68578325
5000,794039203.8485643,509727.6572681788,21277086.980788745
