miliseconds,C,T,H,I,E
0,701837.5343608578,7634266.610570923,25091156.379999824,-62.219461775089556,-24.737744791585207
100,750386.6691531456,7642454.774244263,24091491.451111518,1276.1530052875373,274.4617700569709
200,802900.4843474253,7587420.87978911,22884229.0484581,2342.6880911110993,470.26510219468463
300,866687.4338241103,7590102.577947338,22148184.837620515,3323.9644446906227,712.6560735801874
400,931481.9046524205,7594457.184657757,21338711.619903177,4292.350950121519,881.6815028658441
500,969177.2173895731,7630934.982813303,20560342.16564007,5097.754831144629,1086.2726796767588
600,1106864.0393250803,7603078.373765767,19761111.718780763,5944.153896800878,1200.4298768570713
700,1199799.9798324143,7617874.555395684,19447522.76218908,6597.327017124821,1354.5801869054203
800,1237546.0566285518,7556229.2364547,18606720.27147348,7024.529861804999,1461.8223876091627
900,1360888.6969020278,7577302.386513484,18085977.68691725,7778.12721407544,1640.9976053549158
1000,1398054.438378941,7558517.187631551,17700844.674829684,8262.058356790729,1693.6631593477282
1100,1514869.9934258526,7589405.805734965,17297133.677860375,8575.870197950288,1812.3737808064072
1200,1679719.760715758,7643281.821635942,16914791.23550904,9072.11428518852,1908.0461664406469
1300,1757104.9858725106,7641093.5834261505,16379437.164453799,9432.243694113178,1963.751566553267
1400,1868216.8800817209,7692177.641126192,16266029.900645275,9824.517728322378,2043.8437465814345
1500,1976878.7574926908,7654872.108506082,15860549.020982973,9901.918923050358,2104.1555250193855
1600,2036357.7000469754,7682693.474049947,15318808.499326786,10103.74686812194,2159.546218978412
1700,2123372.174820285,7700560.918440226,14898396.401202701,10376.600728016014,2218.2007469354303
1800,2274074.252632415,7745521.991223072,14835932.465907967,10784.391094491692,2277.081745530619
1900,2335947.965936904,7863492.555354758,14484490.96816592,10740.893335869805,2339.8617357607814
2000,2433665.930483198,7838999.343490085,14168360.674008595,11112.848705610859,2349.620760918348
2100,2448122.5057573523,7895483.293723823,14154109.107542112,11134.761797219695,2370.799986925181
2200,2555549.203607567,7993986.392454438,13655505.274459125,11246.49467718402,2451.720297647538
2300,2620744.1699653245,8055758.094968118,13381397.492502393,11265.732591378648,2464.8736667520534
2400,2671966.0803985693,8099987.274148476,13363004.805892004,11403.612627591507,2501.2682751165553
2500,2776527.2649208517,8162055.392288161,13095430.20863891,11407.086067073331,2524.474833847699
2600,2830299.2040486257,8255103.2931725085,12755562.43074957,11576.86856262666,2513.542621613191
2700,2910668.683070305,8390650.590666214,12540575.681803891,11647.067349250608,2506.6236428220823
2800,2944956.4329737374,8432613.888168853,12481521.674551195,11420.335907391793,2562.8731441031578
2900,2977856.499795006,8532721.10480238,12164176.394555064,11691.231022745776,2585.703230465977
3000,2991225.750840591,8639561.109580278,12081633.97505407,11478.531318252231,2570.1974846684975
3100,3071024.5528847617,8644987.949033227,11949312.935425304,11586.731047108397,2632.9235689181255
3200,3061940.4237008016,8827830.899067093,11589294.60559106,11488.338087675671,2628.646086071631
3300,3129938.4557580976,8883731.611807957,11150736.884829538,11622.66836330322,2590.956061425528
3400,3142074.592662636,8974332.694771238,11384377.721035138,11596.892457267437,2651.448524126822
3500,3133885.9643769036,9056109.529143134,11139228.937964186,11414.77736115102,2655.5452678389843
3600,3154033.8259672243,9120096.929815313,10958292.337403415,11437.529615042657,2662.332120753468
3700,3162218.676817042,9284252.919451898,10579801.57388489,11197.218509428229,2673.1692645388607
3800,3174524.5932486556,9379988.274428457,10256874.22243413,11240.061802878427,2686.0686800170733
3900,3226423.8542713355,9412272.39241743,10322041.40048304,11087.363739007222,2633.59269202507
4000,3204014.35302784,9527111.993843054,9858908.970064363,11237.347303706309,2684.5363513401726
4100,3258943.1765805683,9640629.626573814,9990946.660041865,11093.661820170691,2660.497536655998
4200,3237896.8932135147,9699430.403755069,9576460.550920894,11077.658118874093,2663.2622892561053
4300,3295646.9687200696,9835525.930162033,9568596.196494214,10868.999460448695,2655.386259747554
4400,3266700.5024325117,9920014.589771923,9195167.40721572,10799.832020096595,2712.779942484377
4500,3266893.6189261223,10031904.537451498,9353620.310524374,10740.193668392365,2713.507693457508
4600,3261120.817117859,10102613.375345174,9077024.497393813,10706.672881037794,2706.2450546496334
4700,3304186.541125565,10196919.716932487,9070433.174271023,10783.745503350005,2675.719507349565
4800,3315830.7937667784,10326377.087817555,8552369.976538107,10562.545563128759,2723.656990778143
4900,3296371.3590879994,10408450.40314065,8313481.892363214,10350.88436525832,2724.5655277779824
5000,3326207.7507187114,10463987.53297192,8556679.34001452,10473.942207968255,2689.9090087016807
