milliseconds,C,T,H,I,E
0,694017.5704101602,7618117.38965867,25206760.296689376,121.35112249408166,16.502191278346
100,769229.8019698707,7607351.565026211,24137437.835133255,1236.48374373672,244.37699665651274
200,810175.6977185335,7607391.778565101,23103324.658286426,2477.499767090413,497.67445936673016
300,907834.9467483022,7566129.695659003,21883085.06843135,3292.7059246432977,724.1283815451208
400,982867.4655977043,7643310.612070925,21165643.788870085,4195.90326038597,910.8800485761075
500,1052618.1756771407,7637939.506771477,20753600.76337149,5071.87567920243,1062.8849193620174
600,1056327.8584646177,7617351.548272194,20047795.805092193,5779.042825956271,1223.2625287295004
700,1141573.1586212467,7612110.3170524975,19482036.862041913,6574.7579772965355,1349.736271880732
800,1227470.170216188,7636268.528546034,18850207.71314785,7106.6843400106445,1511.4737652181389
900,1364222.6441948416,7640146.580881336,18133258.602807414,7797.214552637234,1610.6430789262026
1000,1442482.4634082934,7556246.164982602,17854613.21548873,8150.124178123984,1687.6689754022918
1100,1551426.8323568997,7559430.411522998,17253890.188324507,8611.427729632891,1787.4437561846507
1200,1626107.2976196976,7611268.462300838,16906225.001505923,9036.4330869179,1911.955946741195
1300,1781796.4118390447,7633472.625972312,16492810.98968334,9323.166615717115,2010.322230659684
1400,1863201.541274798,7690958.626868659,15938299.497527033,9603.112700732545,2054.784113777988
1500,1984052.8350400345,7695353.275465302,15814269.470638273,9849.295692772652,2125.6204719366547
1600,2060811.3211957477,7719292.678646889,15220840.829141332,10290.13093467808,2203.330611793983
1700,2175308.498487648,7719981.643807319,14967855.709479542,10411.60284006707,2220.719848540893
1800,2251217.581369671,7814657.915279554,14746116.215323482,10688.342386711656,2259.162229140333
1900,2308761.282130453,7777090.901427514,14640339.617992196,10739.364941015017,2327.5929188354253
2000,2412478.131234536,7899492.199386012,14286649.936190812,11111.99913455421,2318.434136988431
2100,2467252.157986203,7891919.451664059,14029411.756355971,11142.514216701858,2402.0075304249312
2200,2577596.2792301285,8011491.28538573,13729345.384340698,11171.038352292859,2417.0031779890887
2300,2638984.778535287,8036041.237589135,13346986.098480254,11432.314995465527,2443.7278380959615
2400,2693295.7176533723,8110493.526498086,13355288.469995867,11484.824532665602,2508.0510299607613
2500,2740218.8510743207,8175927.056705949,13244401.824174808,11405.819761272867,2491.3771237139727
2600,2844676.2030349197,8297487.364453243,12874959.940395322,11380.335047916571,2527.5420133554917
2700,2885454.8483152,8390625.272204649,12478329.438143538,11618.024089894228,2561.566407707917
2800,2956096.41591708,8384488.84882509,12511739.304346219,11603.117917147341,2575.1818425850347
2900,2977378.938191844,8498065.940663032,12186180.829900905,11617.029863671873,2565.885456051726
3000,3051553.590536298,8615182.61432905,12157906.777957082,11446.927819983986,2617.402070840928
3100,3018760.499070015,8652841.475551067,11893593.763411418,11551.65539876609,2617.2170425063055
3200,3085680.967287947,8791815.944145426,11539382.895222487,11646.466808999256,2610.0750434094784
3300,3153449.5400090734,8895752.497424442,11184184.64726527,11494.69293875438,2619.6625476687123
3400,3138132.5171724954,8993702.416130427,11205633.78966004,11338.529253115657,2600.1990218053247
3500,3119117.32791474,9027905.673053414,11188348.958519015,11451.349127272826,2620.9157714484327
3600,3178708.717867546,9143247.220546138,10654851.982862022,11238.80158597366,2662.3418564662297
3700,3163164.3091845936,9268957.246379625,10626974.116355358,11252.96154080292,2633.440094907693
3800,3196553.5942932772,9339275.795408335,10530195.90502357,11406.00352000594,2648.01126645953
3900,3261587.0576638947,9464975.48205588,10190223.838324374,11264.635661600052,2693.870535427003
4000,3208248.164359836,9572292.744052028,9853119.661937634,11063.758711078039,2656.308578301209
4100,3254797.6618058137,9664704.154119702,9853884.01419926,11056.12881026015,2680.4288413415816
4200,3252311.6436455883,9782653.658089284,9688913.394725777,11079.95909026754,2651.2531140389824
4300,3250586.194281371,9865971.723703133,9624412.819194736,10928.130549705647,2677.2160546325254
4400,3284927.533541458,9974155.737187525,9251025.996518644,10976.769155288555,2676.315140783536
4500,3282005.071530351,10024539.232814405,9146726.083323209,10784.066868073354,2720.7793838131597
4600,3318177.8820181154,10112274.45610306,8893317.94341657,10852.482304412631,2704.202382206068
4700,3307025.4870459,10177590.167253282,8771907.786412526,10547.959377499486,2681.004850842364
4800,3317730.5079663107,10336816.395069273,8607793.718837406,10521.736056393482,2677.03197579686
4900,3323948.3783132453,10447887.733690593,8329181.052347879,10422.152313213917,2674.864264173946
5000,3330245.7137447624,10513705.627656706,8292182.315815169,10377.599200081671,2692.8856091872044
