miliseconds,C,T,H,I,E
0,769727.6332844615,7651394.189183926,25098257.852589026,-106.04446936250078,16.693359103225497
100,756504.698190947,7630274.015673294,23868640.502281204,1123.343822243629,284.8244758535026
200,870110.1155350305,7624005.536878819,22924237.04914241,2244.812091952325,466.1725882853342
300,856056.3255437505,7634053.311670382,21971825.662199017,3402.4734823824183,736.0584776641665
400,982385.1139852917,7644939.310087721,21305498.492275175,4280.383848145423,907.0069117169176
500,1004766.8526400556,7646985.7884698305,20487766.42779734,5015.864876598699,1045.1237762562382
600,1072002.7597056807,7629443.181458818,20068070.049244456,5796.274322278636,1217.6566964343972
700,1133984.6790782595,7582938.236719199,19418371.36897321,6604.0721518302635,1364.4873821104427
800,1241853.4773553705,7583616.530344656,18615384.997118514,7174.290089215271,1522.8216791253153
900,1354686.8957123477,7556097.169426486,18325176.83434283,7680.257302390355,1604.032706138603
1000,1408186.1631181627,7597204.651177778,17825597.454817224,8311.98898919086,1697.6250742950156
1100,1524198.9698462042,7648372.43033316,17394884.05251529,8744.91992892446,1833.433884710521
1200,1604431.1692591072,7613890.53235438,16790776.630781714,9041.219026485298,1879.6942460840369
1300,1772432.2342827097,7606871.674269104,16589664.44513324,9376.82123246987,2005.751725380816
1400,1879028.1929389548,7688063.367270422,16187931.368065825,9792.649483783705,2055.3075315235205
1500,1969825.0073369567,7705058.150506638,15676827.031822633,9955.89310856252,2076.9406355459832
1600,2008538.5317646132,7675327.072174093,15507359.472194549,10235.884960590047,2158.1875020436246
1700,2142019.1041644183,7761481.995544383,15097792.945973491,10473.266480905166,2243.184357652915
1800,2245472.7537113563,7762367.629496761,14828958.247131517,10614.50146528513,2242.205701658239
1900,2338816.70489137,7774846.756777852,14686883.935596207,10916.187232198066,2285.208766679214
2000,2431827.583843168,7899276.8983800495,14282475.982169025,11111.671762293976,2328.1794920354373
2100,2524931.0843522004,7877971.263709459,14030908.269764649,11167.713728552138,2412.3044757634916
2200,2559812.411228945,7954279.628251077,13715973.423944099,11176.822687767142,2384.6650580083056
2300,2610248.327209803,8018893.0413612705,13586127.198489154,11445.63116155666,2413.5358334293105
2400,2681424.1064415355,8123686.757402729,13441607.167867826,11400.19036476405,2489.224947560025
2500,2804416.9854244106,8163447.279040506,13135992.046002386,11500.206671052416,2504.174864607387
2600,2790775.54371665,8288192.124332981,12809919.112926416,11617.956388845734,2535.947002503639
2700,2866521.8723128657,8320001.456691849,12561022.403456824,11402.552280979937,2522.4868508569157
2800,2964041.6484313617,8449198.310955245,12219690.166354328,11437.389322280698,2590.9117119980415
2900,2946166.870700413,8541170.089004887,12112195.711107315,11538.820904644186,2541.587144383877
3000,3052761.3254900645,8559281.481391326,12034717.797968162,11628.300099729828,2573.264710528048
3100,3070747.549562196,8717937.780278314,11659938.422157276,11587.160329937189,2570.4355592838483
3200,3074190.5493291584,8770642.332129199,11712452.739985202,11490.992867868652,2629.5255572456854
3300,3141904.8950181906,8862710.667624712,11375921.981262118,11493.542107075125,2592.9062098617073
3400,3116958.651123324,8965710.462511886,11371995.24254417,11458.970453808892,2610.302073691747
3500,3165387.671515158,9111423.044593362,10959016.548272094,11361.498848319803,2650.2004775247574
3600,3152515.9158440283,9195310.689872634,10980466.024002977,11288.4308833015,2625.383986306066
3700,3210952.5680845375,9284598.895147137,10553095.237020288,11190.025053917456,2631.204304948912
3800,3233157.3990664193,9381831.798792716,10609446.5525228,11397.288070156083,2663.3284626817294
3900,3223418.2257726644,9470221.574111883,10319231.78122213,11141.009845882412,2641.513378919946
4000,3223598.507832447,9539392.282848133,9970649.821617682,11181.35889202142,2672.3141576193593
4100,3285238.0589928566,9619744.62304099,9983146.624325324,11115.274248767633,2696.767017312307
4200,3310071.082074349,9727543.926359557,9692752.739610303,10957.505171192048,2706.3624418418767
4300,3302235.0206370666,9857135.313159304,9435240.016276129,10938.532124780948,2695.785516843234
4400,3249039.8683750015,9935128.807991043,9179198.243290188,10961.831467998063,2662.7568238583212
4500,3276023.094007527,10075942.508175256,9055446.565314418,10853.174158447544,2687.5158853759967
4600,3281295.1080939854,10138799.43576031,9020940.821051104,10727.407581010457,2721.6840364178684
4700,3307739.5015358157,10173034.293728143,9033915.086335123,10736.275424614452,2716.557543073556
4800,3282869.207811081,10308822.778442645,8666041.018669775,10498.536416503886,2680.975873059566
4900,3355618.90549646,10375794.296405688,8487405.561270276,10411.14347101021,2682.947484127028
5000,3336615.053062666,10536910.091637343,8187501.020424868,10557.978351172536,2691.8042751613575
