miliseconds,C,T,H,I,E
0,695200.7027504344,7625619.0837210035,25051049.95245205,138.122682352065,4.609131137018917
100,783412.6019738396,7643071.126514212,23717881.84441339,1109.3810188669559,231.00204602264205
200,803287.5600650338,7647623.947689463,22794305.33455264,2404.650631480133,480.1430059202195
300,920076.7363020239,7619151.607184452,22275347.194720436,3335.4779796040166,696.4627893113169
400,908721.2510110027,7609515.478363435,21411571.377695527,4344.237044748004,885.7618987674863
500,1003511.5573977452,7578221.400838094,20656627.315458138,5201.774666154781,1070.5222210391132
600,1118328.207195614,7605976.3731871145,19737257.603478517,5779.799763381413,1197.2606611912793
700,1175881.9590703677,7565266.080342404,19149444.872745,6587.631357307564,1331.5532555084676
800,1273287.7482631064,7592582.019018054,18703519.69924822,7079.633136283403,1526.0457073674459
900,1305353.3985126915,7576746.435717343,18269033.78293585,7637.9665876373565,1604.2188936501561
1000,1405319.77300365,7556465.678323865,17762168.637199752,8192.51065287509,1703.2977039329198
1100,1535394.6962852622,7643667.6067261845,17328866.11216262,8701.725484799628,1799.200054869718
1200,1597276.0286069594,7579962.734265904,16776894.924559431,8887.214822238313,1907.4707789561007
1300,1780280.474909055,7636350.067874113,16400291.91414269,9343.944958792052,1996.1254877300692
1400,1831985.3919632116,7666781.798373206,15894283.487699457,9582.363707186247,2070.3692933783122
1500,1968389.5497792484,7632985.352080902,15871587.270682953,9975.300542952044,2140.451300120196
1600,2023517.7081680899,7692756.093301481,15231631.535330864,10377.330873320045,2181.217785300933
1700,2168725.7128923717,7769563.364971907,15197687.348340672,10505.167940702855,2244.9396054012695
1800,2197258.595991146,7747077.1912613455,14933793.252973717,10618.065428257822,2252.548852900429
1900,2327278.925720514,7831537.709433276,14502158.671670297,10879.343720639288,2277.368992434068
2000,2421046.988082982,7867598.82873876,14392342.038471222,10883.92364360264,2320.4420289950363
2100,2524268.015186212,7914557.692019212,13996723.214342937,11257.469275855552,2379.0076518173423
2200,2548573.4045923534,7998814.706577511,13824164.908219444,11298.24771538508,2426.9570281659894
2300,2601470.433994999,8041148.317505848,13724220.55469185,11204.983298322315,2424.728579188226
2400,2669659.1639264505,8137129.768052864,13362228.32370289,11459.874401589099,2473.052983015337
2500,2754965.807819231,8171468.934494399,12930540.217747113,11443.476320643922,2489.0602842689664
2600,2844272.4055127725,8270970.671075147,12836983.478323862,11584.203884709308,2542.7444721165516
2700,2867162.232508718,8304113.353093922,12447241.457624186,11547.291358919196,2534.527729187109
2800,2905071.1415713644,8435041.864895431,12479721.788567899,11701.56173047053,2522.5375743799837
2900,3008422.8506528046,8482182.915111322,12313440.604976445,11420.929650959431,2596.3285258383007
3000,3026357.4440960907,8567243.091741838,12121879.190846648,11643.728260155895,2561.313802843895
3100,3061050.483471187,8718248.685940951,11595790.181104692,11572.08505473081,2618.247186371029
3200,3113067.5518409694,8756231.061451118,11728293.064537555,11387.096616150613,2577.4496901123853
3300,3124552.365448228,8889907.113489492,11173313.989092004,11549.7307402252,2622.9903206227027
3400,3141541.4209230253,8952025.72661965,11392303.025995975,11461.706009350313,2624.217852496384
3500,3160066.645537837,9020017.793856349,11177843.704097804,11374.415515305614,2615.797916624907
3600,3172011.4302998898,9128660.144079946,10833391.822553512,11435.813388341956,2647.462197164368
3700,3209248.811244251,9293357.950555148,10797029.582791379,11195.328614482067,2649.5829735785933
3800,3198429.905787891,9373171.390307289,10483835.374223722,11141.092619731167,2632.9968694699196
3900,3234286.668423198,9492533.534271194,10253241.385561258,11073.790802060064,2653.8744891923775
4000,3212229.6202743277,9584839.381514516,9852446.363217395,11232.905039993131,2669.057564842977
4100,3294719.0249488694,9690794.22202957,9879948.417649217,11122.451952949486,2713.843361674224
4200,3279860.190284452,9754999.278459422,9827180.424172025,11108.404293169144,2695.8373620428792
4300,3321065.090146677,9881218.976166107,9368171.400004366,10843.889746797648,2687.3695326676047
4400,3288639.647905692,9894724.932900472,9406986.548375057,10722.628093097892,2678.8745774319686
4500,3292048.78445004,10031937.885823347,9129040.937925925,10885.8702667765,2697.743422654024
4600,3304571.050206569,10100469.96458924,8815143.796668077,10685.13869067578,2664.555575809684
4700,3288630.3590589357,10170411.661144435,8904399.85248716,10743.470072943026,2664.7707136285408
4800,3339580.722987541,10326002.887724714,8829768.589256065,10478.598997910762,2735.3676631053286
4900,3362183.3278453457,10371009.400885835,8651670.136257416,10404.251102013177,2734.7031935876785
5000,3288945.980509125,10526784.017442293,8452457.058052322,10424.328303308766,2734.569609585834
