milliseconds,C,T,H,I,E
0,742357.5008769288,7597291.914669838,24902679.331574194,-90.48342711997834,-6.131792765338971
100,761900.1368651518,7636547.334657793,23802385.644859027,1172.6314278539846,247.69463037120897
200,853862.003992386,7642777.131953558,22732779.490784325,2451.762495161574,525.069904429898
300,896695.905923518,7627523.85630426,21966863.365207825,3419.1551528877044,703.892458521787
400,963925.6485842209,7608206.963961939,21183752.616857972,4159.9887507957965,872.3981197962012
500,990365.4922621835,7557563.582365665,20402264.11860386,5133.670170236296,1060.3621779309296
600,1109437.2779106451,7568119.75785094,19912977.5543602,5742.338152073652,1252.7235982672084
700,1126102.592225316,7567141.785957607,19415827.81293492,6432.398584308067,1352.6009476771937
800,1235198.5481250517,7604494.473568522,18534645.135390386,7259.22176908932,1458.1832757135753
900,1321808.074736211,7640012.990433991,18400118.560468033,7588.151199369391,1618.7051799463156
1000,1416597.6413731205,7611926.152605881,17575550.480739396,8330.469464997535,1721.2003578974777
1100,1558902.4873376507,7570340.232172764,17411816.667453755,8698.92246765515,1843.6830400696158
1200,1676472.917868634,7574569.982319996,16647821.521376604,9125.93739147337,1867.7347164029984
1300,1743518.8667273012,7648546.21355233,16278504.914360043,9437.049612532575,1985.3896411750657
1400,1825390.6979345605,7608811.998174389,15968518.159326397,9832.268411443833,2024.1920295297052
1500,1900504.718893632,7689505.495841727,15556871.804510592,9937.042697155222,2083.855089230981
1600,2084831.203077453,7706807.99880154,15553379.075546594,10264.123027563328,2139.4224894719887
1700,2146524.473922073,7752845.931128326,15060256.797172887,10505.792794472574,2217.0420500977407
1800,2274106.973748588,7755626.173185375,14711351.237886464,10713.360369667216,2250.3001513249396
1900,2347536.7614389937,7796689.347426194,14399837.784822436,10880.729552124118,2312.615388842404
2000,2417849.298218451,7899750.534309102,14095348.738365151,10846.524630276035,2351.370453289971
2100,2510810.9960011328,7936248.9440612,14116999.962906698,11205.081818285196,2380.173507616366
2200,2552339.6481806487,7981356.216828432,13804166.58653941,11281.117131596831,2396.993612536368
2300,2621869.085232866,8032361.461296949,13430939.081052935,11453.980832606314,2446.1793936393397
2400,2742437.8107021186,8087363.256297939,13467044.341576952,11439.028175106965,2479.511005413495
2500,2729935.6195422653,8146647.7060555965,13132979.429035857,11466.777153546696,2464.0189742007974
2600,2858408.2806614568,8262161.092250906,12885624.245364746,11645.096799705218,2507.081993746204
2700,2854993.746822834,8339502.69158511,12632794.064455,11460.42852839365,2525.3194837805345
2800,2925173.5754882265,8405584.492101638,12197621.311196353,11520.314856408628,2530.385208424988
2900,3005056.702360723,8561656.520701816,12206180.20540824,11570.28022342879,2537.8984501784344
3000,2992941.557827084,8595233.916852387,12146303.539180353,11630.944527428112,2555.8527470759723
3100,3011950.3457262553,8725450.048901014,11857168.628002279,11533.890840731876,2568.3609706254547
3200,3117021.970348749,8809287.333526546,11488802.807541603,11544.135460157853,2607.500582829311
3300,3082277.609798007,8878813.031104421,11200102.947004916,11466.642134816688,2644.7917660245826
3400,3170240.306333942,9003947.02089802,11364806.335624194,11429.379994632774,2622.9177368848727
3500,3148367.6108313603,9060840.017397348,10917641.159649406,11506.88365065939,2635.4591943773316
3600,3154369.9476434602,9152901.164030423,10597408.237510813,11481.175941728568,2621.0022340474443
3700,3184508.2647814797,9241038.9754682,10476917.303994648,11435.906472069672,2661.5765322719876
3800,3235370.8128534066,9386338.72233714,10354803.287974315,11198.305442544519,2669.64192451347
3900,3250463.058400743,9428090.103609538,10124493.139782427,11223.643339058146,2676.729912993961
4000,3264635.6447057407,9581582.642630247,10106088.692971217,11229.02764711566,2663.3403110432096
4100,3248744.618198361,9652436.032704338,9832620.016738309,10972.104347005661,2696.9175257039624
4200,3309031.9613278056,9784092.487797111,9491092.314261729,10957.882894596161,2712.7966993658424
4300,3255974.1913377,9882463.03974582,9484455.04792087,11081.886874405825,2700.706189602184
4400,3252508.8505316796,9942854.81676452,9355762.857102584,11012.01060424896,2696.6451467000343
4500,3330728.805752139,10072495.824302852,9027617.917329941,10786.787564728429,2716.223325013365
4600,3291775.078759592,10118916.71914858,8856756.201472389,10574.422228696561,2680.205967207208
4700,3318985.7163618826,10252657.490783757,8852812.001292711,10590.960785441457,2699.049635081828
4800,3300418.8062983393,10316188.777094595,8899311.607310966,10557.806500364743,2702.581168813605
4900,3359872.388869678,10406301.117772004,8387030.1608107835,10430.826752106379,2727.3207871298096
5000,3321319.646408386,10501809.698746586,8154232.612797111,10334.690723086724,2718.147999163181
