miliseconds,R,LR,G,Gt,Gd,RG,Gbg,LRG,LRGt,RGd,RGt,LRGd,LRrgs,LRrgsG,LRrgsGd,LRrgsGt,Rrgs,RrgsG,RrgsGd,RrgsGt,rgs
0,840.9375159805566,0.0,522.0303078905281,0.0006466396051109809,-0.00026338419933480254,2.024107741435471,0.005635590756934506,0.0,0.0,0.008159025760668407,-0.008574656933534177,0.0,0.0,0.0,0.0,0.0,-0.5964907902853325,2.60282134609242,0.008905879001967843,-0.006235551424580001,165.2487370215222
100,664.5759616059968,0.0,377.82008294063235,0.023371112578980564,0.049884773114811466,131.59677907738356,0.12431480428758152,0.0,0.0,0.006716968967375021,0.018136524485334628,0.0,0.0,0.0,0.0,0.0,42.211341608146355,8.491324303112547,0.0001294671469558872,0.0031066622256054367,159.52120346717356
200,542.0313704446701,0.0,293.2097216269544,0.035902953247393225,0.07595287728758908,207.32535717754146,0.2084569034257625,0.0,0.0,0.04197605798647705,0.029551880432066253,0.0,0.0,0.0,0.0,0.0,67.19018181015187,25.798506196578142,-0.0013356323399234546,0.0026404948321232186,154.78420672207946
300,472.18430222354755,0.0,232.56975081447112,0.042343547531265846,0.08896712106265307,245.37301183668004,0.3191558593926889,0.0,0.0,0.09391956597655131,0.04269742479146719,0.0,0.0,0.0,0.0,0.0,83.13570746699472,45.51235428292626,0.02404394009112161,0.003239460394569393,151.33164140624893
400,416.84464078333014,0.0,182.81230874908567,0.04670988063678807,0.09645155026428559,269.7033535960682,0.4103981535279686,0.0,0.0,0.14630697160289668,0.0731917354037489,0.0,0.0,0.0,0.0,0.0,95.39823077033377,60.82170771035507,0.030750430654995397,0.012179291072375382,147.68443121373326
500,372.1551927067458,0.0,153.58369503906474,0.04798276801901075,0.09871838613664431,285.96561050534086,0.4960064508941029,0.0,0.0,0.1823108749453135,0.09113442951457197,0.0,0.0,0.0,0.0,0.0,103.4424468316321,77.2606615473149,0.04457311584294869,0.018541323076070412,145.20257304208758
600,345.5309571405626,0.0,132.89516148899227,0.04846082384050981,0.09932891865571482,296.0354552476993,0.5528138483673981,0.0,0.0,0.2353080537976011,0.11311603343132819,0.0,0.0,0.0,0.0,0.0,108.9647783748533,92.7798352963407,0.07413745294357907,0.029254308478510523,142.6067581960143
700,324.498586334385,0.0,111.22893688479563,0.048824417804578114,0.09899750254280695,301.5165681300909,0.7174438118960544,0.0,0.0,0.26607545134956234,0.12791648162942482,0.0,0.0,0.0,0.0,0.0,113.8100287311542,106.14670891920743,0.10245141965931827,0.03801614343761191,140.85353946292912
800,306.2516506188843,0.0,99.06372355808863,0.048035167017608404,0.09680582926248991,303.901643746195,0.8133595852854156,0.0,0.0,0.29424478501487256,0.14358024646613474,0.0,0.0,0.0,0.0,0.0,118.40042407045753,118.04897144966439,0.11955095412034934,0.05818294896881154,139.5762890987611
900,291.51474805915683,0.0,85.29025827605942,0.04777978888822439,0.095072653130459,307.2390227252796,0.8672501736782654,0.0,0.0,0.3422479428390077,0.1780355708703307,0.0,0.0,0.0,0.0,0.0,121.15147451366533,129.25247333156403,0.1481694861925409,0.060546752913348684,137.9421761858185
1000,270.679610665569,0.0,75.88099383155331,0.04724567623610968,0.0931272577717364,306.29445723615606,0.9316605568825541,0.0,0.0,0.3761669413528186,0.1928971296570664,0.0,0.0,0.0,0.0,0.0,124.89600322892527,139.2653248199149,0.16603432875399668,0.08288088877958107,136.93176659712935
1100,262.23726969422114,0.0,63.86161199542822,0.04609071785040229,0.090600785277562,307.234257544002,1.0187033470716107,0.0,0.0,0.4069843696514985,0.21036239801896872,0.0,0.0,0.0,0.0,0.0,125.6757044713681,145.9974443220177,0.20731473502046505,0.09252216279613203,135.27914114270163
1200,257.64988948955846,0.0,65.74304991591404,0.04636803327429207,0.08808141040526836,303.259321857409,1.0839625742840804,0.0,0.0,0.4343613196154839,0.228821882340691,0.0,0.0,0.0,0.0,0.0,127.91199712978568,154.15552495093428,0.2338878587673086,0.10938679770584225,134.69922427349667
1300,255.8006436707843,0.0,59.10873755055201,0.04588216169727006,0.0855931344493978,304.99159898715527,1.1692091006548468,0.0,0.0,0.4617654147691047,0.2514093148233019,0.0,0.0,0.0,0.0,0.0,129.2011011742741,155.79879308578916,0.2557202898411522,0.10802871594211064,134.05812639176685
1400,243.89821878649454,0.0,54.150390579137955,0.04427530192484819,0.08445906558891135,304.68661107318394,1.3143483813668508,0.0,0.0,0.4847392158305311,0.2664865075707382,0.0,0.0,0.0,0.0,0.0,129.93092933091177,163.8774165031386,0.2690127005186425,0.1258451717842775,133.24067202971304
