milliseconds,ADAMTS4_mRNA,cFos,cFos_mRNA,cJun,cJun_mRNA,DUSP16,IRAK2,IRAK2_TRAF6,IRAK2_TRAF6_PP4,JAK1,JAK1_P,JNK,JNK_P,Matriptase,MKP1,MMP1_mRNA,MMP3_mRNA,MMP13_mRNA,p38,p38_P,PP4,proMMP1,proMMP3,proMMP13,PTPRT,SOCS3,SOCS3_mRNA,STAT3_cyt,STAT3_P_cyt,TIMP1_mRNA,TIMP3_mRNA,TRAF6,TRAF6_PP4,ADAMTS4,ADAMTS4_TIMP1,ADAMTS4_TIMP3,Aggrecan,Aggrecan_Collagen2,AggFrag,ColFrag,Collagen2,IL1,MMP1,MMP1_TIMP1,MMP1_TIMP3,MMP3,MMP3_TIMP1,MMP3_TIMP3,MMP13,MMP13_TIMP1,MMP13_TIMP3,OSM,TIMP1,TIMP3,IL1_IL1R,IL1_IL1Ra,IL1_IL1R_IRAK2,IL1R,IL1Ra,OSM_OSMR,OSM_OSMRa,OSMR_SOCS3,OSMR,OSMRa,cFos_cJun,cFos_P,cJun_P,cJun_dimer,SP1,SP1_TIMP1_DNA,STAT3_nuc,STAT3_P_nuc,TIMP1_DNA
0,4.763746813604341e-21,1.7695285748040953e-12,1.0204352399325793e-08,99.99999999996061,5.0,5.234940731811872e-19,99.99842289316935,2.4642516154926392e-06,7.170211594901844e-26,100.00005788897087,0.0002530714016073477,99.99999997112221,1.9119773318144254e-08,100.00002535152996,3.6402807113192954e-21,-7.057629960297453e-19,2.0585996708409844e-19,-6.180701119913283e-20,99.999999981077,2.2578326421368272e-08,1.3190924125443478e-20,-4.0662329037484855e-23,9.160475509364197e-24,-2.7330857349225837e-26,-8.205756983797037e-12,6.301672680944021e-13,8.171716230241408e-10,100.00009125464244,0.00010717751147344526,19.99999999997462,20.000000000007166,99.99999890057614,2.1573867109584078e-19,2.881500887575412e-24,8.919558484601668e-28,-1.7226569451011905e-25,0.0,100000.0,6.082836657150271e-28,1.460628987485318e-66,-6.927543044202117e-27,100.0366813571208,2.2901574601803323e-30,1.0559002942180602e-35,4.1313102070811776e-36,2.359170047062617e-27,-7.242667683653179e-32,8.146488805657062e-34,8.829511124511692e-58,-2.417324601483816e-63,-3.698562127532332e-64,1000.1310630256371,200.0,199.9999160494427,-0.07534818149880822,0.0,-0.0011982704899705357,100.01090262343641,0.0,-0.06834341889189602,0.0,-2.2878346327619035e-13,100.12130797417467,0.0,-2.0868252271610052e-37,-1.9510647781514155e-24,9.242349449324606e-11,-4.812319586339206e-15,-3.5844132705589806e-44,-1.5242879654877778e-47,7.632934394574846e-15,6.423726915754502e-08,2.0
100,6.82027949771897e-21,-4.010419676737227e-12,3.022418342472034e-09,99.99999999999011,5.0,-3.7705289203700566e-19,99.99951443652797,-7.520143210287103e-08,-4.455690611392831e-25,99.99969805141168,-0.00026761247500052754,100.0000000109708,-6.71164419762147e-10,99.99981497417085,1.581861796061408e-21,-1.9237990413345458e-19,6.994873072521182e-19,5.308791791053052e-20,100.0000000161246,-2.7447304749929803e-08,-1.7881254462084693e-21,-8.195691241157574e-23,9.222825549640983e-24,-3.802614626696999e-26,2.6510005931829326e-11,5.262807682213119e-13,1.6825005935817231e-09,100.00007254877559,0.00020737119072270044,20.00000000001636,19.999999999989672,99.99999838762825,8.187707093937251e-21,3.582753344597918e-24,1.1046995005508133e-27,-8.035040093910925e-26,0.0,100000.0,-3.677601311156237e-27,-7.190983341436457e-67,-8.924093667358302e-28,99.95591348238773,-2.0651708347583888e-30,1.0497607264247073e-34,3.882140652481119e-36,-2.9732539277065632e-27,1.0472278265641277e-31,9.504727155270301e-34,2.1513783633776488e-58,-2.1929450611092898e-62,-7.448916737774783e-64,999.9453332804829,200.0,200.00067169075209,0.10969189797959852,0.0,-0.0016369528120248656,99.88698853305566,0.0,0.051355868352537005,0.0,3.144908538742623e-13,99.89470157365233,0.0,4.646371931393427e-37,-5.877474344638617e-25,-4.532223303766614e-11,-4.039721862394687e-15,-2.183671248750186e-42,-1.84774512434746e-48,-1.0945338865355329e-14,1.240185968283059e-08,2.0
200,1.8015782563879473e-21,5.4203280162247605e-14,-7.529504682620248e-09,100.00000000001744,5.0,-6.588584934392507e-19,100.00106615178181,2.7793303948968327e-06,-8.223313171032838e-26,100.00032102438112,0.0002566948835636606,100.00000000658325,-1.0854494568005004e-08,99.99984316425066,-1.7116644923498793e-21,5.728315487609237e-19,-7.206281604659171e-19,4.751660704801891e-20,100.00000002034136,-1.766540669077481e-08,-3.818725005126979e-22,5.331390919609287e-23,-8.261391870828156e-24,5.52523633887829e-25,-1.703216790322267e-11,1.109549520417173e-12,4.200772148256129e-10,99.99994456255445,5.481828279496587e-05,19.99999999999777,19.999999999993783,100.00000246439981,-5.6871920457711795e-19,2.042329897402326e-24,1.1453051491181664e-27,-2.79207150150972e-25,0.0,100000.0,5.054196271297226e-28,1.1643679815654808e-66,-1.603437303576393e-27,99.79101246370247,4.149705842053756e-30,8.33783495433289e-35,1.5094325717568016e-36,-3.9216155556964164e-28,-1.5278956315078818e-32,-1.6678187998192183e-33,1.131477636055639e-57,-8.112628024972497e-63,5.611447666498615e-64,999.869022659234,200.0,200.0004531002587,0.1751827743470111,0.0,-0.0014709974555487844,99.8923939413588,0.0,0.2654105655422886,0.0,4.179034902348628e-14,99.73076562916877,0.0,-2.3320817363381326e-37,1.8163187562431653e-24,2.170589420875998e-10,-3.683451580300592e-15,-2.38744254377901e-42,1.0704867609757866e-47,-4.506276874699354e-15,2.625537373343056e-07,2.0
300,3.040443205508083e-21,1.2310751140372294e-11,-1.0562816684471055e-08,100.00000000013722,5.0,-7.556554000179301e-19,99.99917998210518,-1.2724118240126708e-06,5.577428836141987e-25,100.00006847676053,-0.0001777540548095064,99.99999999005743,-4.3661884880234245e-09,99.99984314175221,-1.4403637164832248e-21,2.898795978682409e-19,-6.801891891977812e-19,5.3988668715701195e-20,100.0000000193791,1.555816110860049e-08,2.0525466877870555e-20,6.124456279912083e-23,9.010530303677003e-24,-4.339859201590958e-25,1.4053610796733471e-11,-4.757508049444784e-13,6.994349226635321e-10,99.9999579793663,-2.3806549070378447e-05,20.00000000000547,20.00000000001178,100.00000259298041,-5.888072742996494e-19,-2.9801679158483388e-24,7.529530380816594e-28,1.089723551074015e-25,0.0,100000.0,7.635884133063895e-27,1.6327942967135155e-66,-3.821386022826297e-27,99.59901612992618,1.4963453058226935e-30,-9.36431315281477e-35,1.6883359060656824e-36,3.2805773794559724e-28,-1.4557651787160935e-32,-2.4512035145442407e-33,-5.230261327367719e-58,1.5255411959112977e-62,3.0192961125562042e-64,999.6092005193424,200.0,200.00144235818289,0.203207788147947,0.0,0.0004999132586407684,99.7667328609467,0.0,0.41354951790375083,0.0,1.330001446062818e-13,99.58412848681705,0.0,-1.834369016787254e-37,-8.862205299082586e-25,-2.583881653045598e-10,2.098421426814379e-15,-1.097837183570869e-42,4.359067490280189e-48,-1.5204474749313172e-14,-2.539914509494758e-07,2.0
400,6.963912375112986e-21,8.301609397953339e-13,-8.008580229618958e-09,100.00000000013058,5.0,2.914963322296849e-19,100.00008889143947,-1.1332961610919905e-06,-6.148793732101353e-26,100.00024874842562,9.379353352728506e-05,100.00000001166458,-1.0332112732192606e-08,99.99970697425452,-1.7477855125924943e-21,7.991455587462274e-19,-1.7305319112256695e-19,-8.068700795678545e-20,100.00000003454292,4.974176640470348e-09,2.237029668267157e-20,-4.968750778387338e-23,1.1038123774555915e-23,-3.4440734918757665e-25,9.688668785540141e-12,1.0206852504773113e-12,-1.4401230773201935e-10,100.00026239921827,0.00017216460498513294,19.999999999983576,20.00000000001252,100.00000164647473,2.8291838679980447e-19,7.039619174842878e-25,1.7597524283845162e-28,1.945396913079372e-25,0.0,100000.0,6.55779825396428e-27,3.725884640337549e-67,1.501464436998535e-27,99.57195954004627,-4.295061815690642e-30,-1.3014649415916487e-34,6.24363413891302e-37,-1.6973100568131854e-27,2.525434562821668e-33,-1.884690678515679e-33,1.0685747435075478e-57,-1.5165126538447731e-62,6.726102864929822e-64,999.4414793030854,200.0,200.00193415074995,0.26306097812074924,0.0,0.0009750635441663202,99.71649228192254,0.0,0.3275629678697217,0.0,4.147611508130442e-13,99.72309251372597,0.0,-5.151651944820057e-37,1.2939515430348198e-24,1.992850524528378e-10,6.12347257350258e-16,-4.128932729105454e-43,1.8577920216703392e-48,2.9245406097590754e-14,-2.3375928646328075e-07,2.0
500,2.331217983206326e-23,6.1685810599853695e-12,-6.494934833608222e-09,100.00000000023533,5.0,-2.7515142515376447e-19,99.99783906157964,9.439984896167144e-07,2.5046449506762143e-25,99.99952494114231,0.00021427658211860268,99.99999997633047,-3.399350234996647e-09,99.99952328789608,2.8666325961252152e-21,-5.509393873246181e-19,3.8038172461538807e-20,5.232956251958203e-20,99.99999997350032,2.8251801508279033e-11,-9.771806067179696e-21,-6.931441345408986e-24,1.5991690538923707e-23,3.096556835891799e-25,-6.295695379827166e-12,-4.0226298721825186e-13,-9.733620004593502e-10,99.99975994362174,-2.9626306420573194e-05,19.999999999980282,19.99999999999195,99.9999984895779,1.4689331874052217e-19,-1.2005231390310685e-24,1.1906580731509418e-27,-2.648934969785047e-25,0.0,100000.0,-1.4350131074656983e-27,2.1967018321072103e-67,7.488476677984662e-27,99.3550669448581,3.2499668351339935e-30,-1.0290777438938911e-34,1.0010453012956615e-36,6.179892041177704e-28,-6.17277299613479e-32,2.5109272983717252e-33,-1.3163958474433872e-57,-5.118666448090576e-63,-5.7018075357436975e-64,999.6193358477891,200.0,200.00249332791537,0.5536354154315282,0.0,8.542817869581956e-05,99.38855072377612,0.0,0.5834189114229966,0.0,-1.7642852667738934e-13,99.48104987688484,0.0,-3.996019738102178e-37,8.682197161077286e-25,-7.867475595748363e-11,5.506846830092654e-15,2.073678412931996e-42,-1.765571637443309e-48,2.512493985681779e-16,-1.434614725692075e-07,2.0
600,-3.676194156150366e-21,1.0279511882776935e-11,-6.135035157386607e-09,99.99999999981182,5.0,4.2098480788392944e-19,99.99940480982275,-1.2630489696220126e-06,-2.3026674718755233e-25,99.99989502513043,0.0002969649913939296,100.00000001699298,1.4554292668799588e-08,99.99956749273504,2.1526040388327176e-21,1.2155422358339742e-19,5.849682668014652e-19,7.188523407191701e-20,99.99999998166325,2.1970794111871095e-08,2.2437950446564957e-20,5.700125969424587e-24,-1.3679268904364228e-23,-6.242665402806002e-26,-1.2628625135678391e-11,9.286767382170454e-13,4.4375976347246434e-10,99.99989718895527,-9.781941291619258e-05,20.00000000001405,19.999999999987335,100.00000058351702,4.304221039356424e-19,4.173882410461102e-25,-2.0812612961516774e-28,2.8918593997329834e-26,0.0,100000.0,-7.190272462577992e-27,1.4225823027051554e-66,-6.284913548753636e-27,99.51685343012592,4.2536517342715805e-30,-1.1920831286827576e-34,-1.3933156347835758e-36,-9.84488282856975e-28,-2.586079609074912e-32,-1.4657797230882222e-33,-9.975715296495684e-58,3.856318518144615e-63,-1.435606886966378e-64,999.4057554041201,200.0,200.00257467434824,0.6426595009481739,0.0,0.001679542923313978,99.39152717180883,0.0,0.6245120498609845,0.0,5.935552645742523e-14,99.35420096639476,0.0,5.060987660191734e-37,-1.9806947669324995e-24,2.383473867599398e-10,3.408799035747674e-16,-1.9938677117176196e-42,1.2682054617837356e-47,2.8433775696110604e-14,2.2246676115081788e-07,2.0
700,-1.7635284581012615e-20,5.635123639602932e-12,-1.991886344323784e-10,99.99999999970079,5.0,-8.80722132367196e-19,99.99746120619108,3.618914175722258e-07,5.684583129776203e-25,100.00005861100534,-6.912368363167897e-05,99.999999974168,1.7873395665221756e-08,99.99945969578019,-2.7776284691860073e-21,8.951092453774104e-19,2.358095945418867e-19,4.8758831265426434e-20,99.99999998827137,-8.248921145690294e-09,1.0557530296493374e-20,-1.5670029264699071e-23,1.1058848189829645e-23,7.463626616875e-25,1.60089731946001e-11,2.1867559328863468e-13,1.6171794225543516e-09,99.99970950427716,0.00019907721390260757,19.999999999975117,19.99999999999553,100.00000039740121,-7.969647433987332e-19,-4.135259823425619e-24,1.3233659819156891e-27,7.284567533007467e-26,0.0,100000.0,-7.906692576521167e-28,1.101249869394094e-66,5.639447819994034e-27,99.17622333942934,1.1378018333090202e-30,2.6507270933867826e-35,4.0492548497227454e-36,1.901926808435646e-27,1.4030122065821056e-32,3.3215509864381035e-33,-3.5105056646183674e-58,2.077377209152769e-62,-7.676341373496975e-65,999.3017411971248,200.0,200.00244636077105,0.7535311607592042,0.0,0.0015742697486403059,99.39833387560257,0.0,0.6787651399730422,0.0,-3.075335507890117e-13,99.32638355599914,0.0,5.5376330432254805e-37,-2.2570966903888353e-24,2.873531282288923e-10,1.1774076469252276e-15,-2.0527662951964953e-42,1.6208326816255627e-47,1.3749196073612946e-14,-3.110559157045554e-08,2.0
800,-7.889790329907024e-21,-6.692197996159032e-12,-8.12585598639524e-09,99.99999999992126,5.0,-9.022020112166233e-20,99.99951173023753,-1.3203851059942843e-06,2.429328401765776e-25,99.9997769452509,-4.189375039873657e-05,100.00000002544924,2.206917933833756e-08,99.99929995968812,1.023436291489408e-21,-4.820246657634625e-19,8.990946183380859e-19,5.54394174103851e-20,99.999999966207,6.333060838853231e-09,5.966312796370225e-22,1.1625608989054549e-23,-1.0951242214306086e-23,-6.75841359512344e-25,3.0111680721683096e-11,1.0127265959732393e-12,9.084440842634285e-10,99.99969835205445,2.4148038864580272e-05,19.999999999976108,19.999999999991942,100.00000031960757,5.451721026945304e-19,2.6149394565752367e-24,7.011005511463081e-28,2.375057533111551e-25,0.0,100000.0,4.680494886860092e-27,-3.50413137042163e-67,8.182728027067348e-27,99.26885107638812,3.9215780777576386e-30,3.189913798498973e-35,1.675081778170331e-36,2.9690361103886552e-27,-6.897436816680781e-32,-7.5435459833729705e-34,-6.548864620473912e-58,7.585363185345313e-63,-3.785830378172949e-64,999.1053551115109,200.0,200.0037478822799,0.9137546166703986,0.0,0.0029021736436956745,99.17702369506111,0.0,0.7064328713560164,0.0,2.2747450178007517e-13,99.21239702234303,0.0,-4.8866160524196515e-37,2.918921748460675e-24,-2.1698600163722104e-10,-5.0338720239226995e-15,1.2684269718939425e-42,-2.372130277420066e-48,1.934780316340695e-14,1.1814018935108934e-07,2.0
900,1.1526042162181115e-20,1.2206328073754655e-11,9.270504678043296e-09,99.99999999974396,5.0,5.366632452594266e-19,99.99772679471357,1.604182295481307e-06,-3.788457918254751e-25,99.99963317033966,0.0006194270038953902,100.00000000252597,-2.839976510504997e-09,99.99935243254735,-3.50233450925591e-21,-5.840272151631297e-19,3.850747502862177e-19,5.5586096898624055e-21,99.9999999996013,3.183828874037557e-08,1.3962173214708573e-20,5.797619964709836e-23,1.2408510334978607e-23,6.945007468758563e-25,1.1254568908266091e-11,-1.1680036218435714e-12,4.845871012450777e-10,100.00000871320024,0.00020874811165612898,19.999999999995847,19.999999999997012,100.00000050195213,-7.883734797891876e-19,1.3758572715831247e-24,1.8586678541773875e-28,1.950552713585135e-26,0.0,100000.0,-3.49788757243396e-27,4.9733317095813496e-67,4.84059548867934e-27,99.14377233297766,3.6165215548726695e-30,1.0798140509197238e-34,-3.435814019418978e-36,-1.8165894865062284e-27,1.2180329186458446e-32,-3.11905183256487e-33,-1.2382446330880757e-57,8.580800961214939e-63,5.463677974827645e-64,998.9582790072615,200.0,200.00320877724093,0.7935307307166009,0.0,0.0023881810771099136,99.12274894405097,0.0,0.9299195003096572,0.0,3.525073205385003e-13,99.0531764503305,0.0,-1.3004210637674519e-37,1.279559909020338e-24,2.765300963158308e-10,5.094660585287799e-15,5.191845169591599e-43,-1.6388437067281133e-48,-1.8176306841981183e-14,1.8058255508649252e-07,2.0
